Aluno,Data,Dia_Semana,Check-in,Tempo_Treino_Min
Aluno_88,2024-01-15,Terça,Sim,46.0
Aluno_47,2024-03-09,Terça,Sim,104.0
Aluno_53,2024-01-13,Quarta,Sim,42.0
Aluno_43,2024-03-21,Segunda,Sim,52.0
Aluno_33,2024-03-06,Quinta,Sim,114.0
Aluno_92,2024-02-22,Segunda,Sim,105.0
Aluno_89,2024-03-18,Segunda,Não,51.0
Aluno_86,2024-02-24,Quinta,Sim,53.0
Aluno_70,2024-02-12,Sábado,Sim,63.0
Aluno_11,2024-03-01,Terça,Sim,52.0
Aluno_84,2024-02-20,Sábado,Sim,26.0
Aluno_25,2024-03-20,Sábado,Não,22.0
Aluno_2,2024-01-09,Terça,Sim,86.0
Aluno_67,2024-01-04,Sexta,Sim,93.0
Aluno_67,2024-03-03,Segunda,Não,64.0
Aluno_66,2024-01-04,Quarta,Sim,61.0
Aluno_96,2024-03-13,Sexta,Sim,22.0
Aluno_89,2024-03-22,Quinta,Sim,45.0
Aluno_5,2024-03-07,Sábado,Não,63.0
Aluno_6,2024-02-29,Sábado,Sim,34.0
Aluno_53,2024-03-21,Segunda,Sim,61.0
Aluno_8,2024-02-18,Sexta,Sim,27.0
Aluno_44,2024-01-27,Quinta,Sim,47.0
Aluno_46,2024-01-29,Quarta,Sim,99.0
Aluno_36,2024-03-29,Sexta,Sim,44.0
Aluno_51,2024-03-01,Sexta,Sim,22.0
Aluno_73,2024-02-16,Segunda,Sim,79.0
Aluno_93,2024-01-30,Segunda,Sim,76.0
Aluno_66,2024-03-08,Sexta,Sim,105.0
Aluno_32,2024-03-02,Sexta,Sim,113.0
Aluno_7,2024-02-05,Sábado,Sim,67.0
Aluno_50,2024-01-14,Sábado,Sim,115.0
Aluno_89,2024-02-13,Segunda,Não,69.0
Aluno_89,2024-03-17,Sexta,Sim,74.0
Aluno_69,2024-02-26,Terça,Sim,112.0
Aluno_23,2024-01-11,Quinta,Sim,83.0
Aluno_2,2024-03-16,Sexta,Sim,69.0
Aluno_87,2024-02-23,Sábado,Sim,62.0
Aluno_31,2024-01-30,Sexta,Sim,118.0
Aluno_36,2024-01-08,Sexta,Não,25.0
Aluno_35,2024-01-18,Quinta,Sim,62.0
Aluno_24,2024-03-20,Sexta,Sim,98.0
Aluno_28,2024-01-05,Quarta,Sim,91.0
Aluno_69,2024-02-07,Terça,Sim,79.0
Aluno_79,2024-03-26,Quarta,Sim,81.0
Aluno_82,2024-03-25,Quarta,Sim,89.0
Aluno_81,2024-02-05,Quinta,Sim,100.0
Aluno_53,2024-03-11,Sábado,Sim,60.0
Aluno_38,2024-02-22,Terça,Sim,44.0
Aluno_55,2024-03-22,Segunda,Sim,61.0
Aluno_6,2024-03-21,Terça,Sim,33.0
Aluno_28,2024-03-08,Terça,Sim,88.0
Aluno_8,2024-02-27,Quinta,Sim,103.0
Aluno_55,2024-01-05,Quarta,Sim,73.0
Aluno_5,2024-03-22,Sexta,Sim,94.0
Aluno_33,2024-03-11,Terça,Sim,85.0
Aluno_15,2024-03-13,Sábado,Sim,92.0
Aluno_88,2024-02-11,Segunda,Sim,109.0
Aluno_90,2024-02-25,Quinta,Sim,46.0
Aluno_66,2024-01-10,Sexta,Sim,54.0
Aluno_42,2024-01-10,Sábado,Sim,90.0
Aluno_95,2024-02-20,Quinta,Sim,98.0
Aluno_7,2024-01-27,Quinta,Sim,43.0
Aluno_33,2024-03-19,Segunda,Sim,86.0
Aluno_54,2024-01-16,Sexta,Sim,76.0
Aluno_9,2024-01-22,Quinta,Sim,49.0
Aluno_44,2024-03-30,Sexta,Sim,87.0
Aluno_3,2024-02-01,Segunda,Sim,84.0
Aluno_77,2024-03-07,Quinta,Sim,58.0
Aluno_85,2024-01-28,Segunda,Sim,42.0
Aluno_84,2024-02-20,Quinta,Sim,106.0
Aluno_95,2024-03-10,Segunda,Sim,50.0
Aluno_31,2024-03-22,Terça,Sim,33.0
Aluno_48,2024-01-07,Segunda,Sim,76.0
Aluno_3,2024-01-12,Sábado,Sim,30.0
Aluno_96,2024-03-29,Sábado,Sim,66.0
Aluno_100,2024-03-07,Sábado,Sim,113.0
Aluno_40,2024-01-29,Sexta,Sim,49.0
Aluno_65,2024-01-23,Sexta,Sim,45.0
Aluno_91,2024-02-20,Segunda,Sim,112.0
Aluno_55,2024-02-26,Segunda,Sim,64.0
Aluno_16,2024-02-21,Quinta,Não,33.0
Aluno_29,2024-02-06,Terça,Sim,61.0
Aluno_95,2024-02-28,Quarta,Sim,94.0
Aluno_32,2024-02-22,Quinta,Sim,34.0
Aluno_57,2024-01-19,Segunda,Sim,20.0
Aluno_82,2024-03-28,Quinta,Sim,108.0
Aluno_74,2024-02-18,Sábado,Sim,87.0
Aluno_97,2024-01-31,Terça,Sim,96.0
Aluno_98,2024-03-13,Sábado,Não,93.0
Aluno_66,2024-02-03,Sábado,Não,45.0
Aluno_80,2024-03-19,Segunda,Sim,93.0
Aluno_4,2024-03-13,Quarta,Sim,114.0
Aluno_81,2024-02-01,Quinta,Sim,26.0
Aluno_35,2024-02-07,Sexta,Sim,96.0
Aluno_56,2024-03-12,Quinta,Sim,31.0
Aluno_8,2024-02-19,Sexta,Sim,111.0
Aluno_10,2024-02-06,Sexta,Sim,46.0
Aluno_61,2024-01-25,Quarta,Não,113.0
Aluno_3,2024-02-01,Terça,Sim,44.0
Aluno_35,2024-03-31,Sexta,Sim,35.0
Aluno_24,2024-03-26,Quarta,Sim,25.0
Aluno_70,2024-01-22,Quinta,Sim,53.0
Aluno_47,2024-01-26,Quarta,Sim,23.0
Aluno_100,2024-03-22,Quarta,Sim,53.0
Aluno_96,2024-01-07,Segunda,Sim,105.0
Aluno_80,2024-01-08,Quinta,Não,44.0
Aluno_5,2024-01-28,Quarta,Não,67.0
Aluno_68,2024-01-29,Quarta,Sim,77.0
Aluno_45,2024-02-08,Sexta,Sim,79.0
Aluno_24,2024-01-30,Terça,Sim,94.0
Aluno_17,2024-03-29,Segunda,Sim,53.0
Aluno_1,2024-02-11,Quinta,Sim,75.0
Aluno_68,2024-01-29,Quinta,Sim,84.0
Aluno_12,2024-01-27,Sábado,Sim,70.0
Aluno_40,2024-03-20,Segunda,Sim,24.0
Aluno_80,2024-01-06,Sexta,Não,102.0
Aluno_74,2024-03-01,Quinta,Sim,70.0
Aluno_88,2024-01-17,Quinta,Sim,112.0
Aluno_50,2024-02-16,Quarta,Sim,52.0
Aluno_9,2024-01-07,Terça,Sim,76.0
Aluno_15,2024-03-27,Segunda,Sim,115.0
Aluno_3,2024-03-09,Quarta,Sim,36.0
Aluno_69,2024-02-06,Quinta,Sim,87.0
Aluno_20,2024-03-27,Quinta,Sim,55.0
Aluno_53,2024-03-26,Quarta,Sim,60.0
Aluno_77,2024-01-08,Sexta,Sim,27.0
Aluno_86,2024-03-09,Segunda,Não,118.0
Aluno_69,2024-02-01,Sábado,Sim,34.0
Aluno_9,2024-03-26,Segunda,Sim,64.0
Aluno_79,2024-03-13,Segunda,Sim,39.0
Aluno_38,2024-02-02,Quinta,Sim,79.0
Aluno_90,2024-01-30,Terça,Sim,31.0
Aluno_62,2024-01-02,Sexta,Sim,82.0
Aluno_74,2024-02-10,Quarta,Sim,94.0
Aluno_13,2024-03-16,Segunda,Sim,24.0
Aluno_64,2024-03-17,Sexta,Sim,116.0
Aluno_91,2024-03-29,Sexta,Sim,70.0
Aluno_37,2024-01-03,Quarta,Sim,48.0
Aluno_95,2024-03-02,Quinta,Não,112.0
Aluno_84,2024-03-14,Quinta,Sim,92.0
Aluno_42,2024-02-23,Terça,Sim,97.0
Aluno_97,2024-03-24,Quinta,Sim,111.0
Aluno_44,2024-03-29,Quarta,Sim,91.0
Aluno_78,2024-03-11,Quarta,Sim,37.0
Aluno_74,2024-02-27,Sábado,Sim,47.0
Aluno_98,2024-01-03,Quarta,Sim,67.0
Aluno_76,2024-03-16,Sábado,Sim,69.0
Aluno_34,2024-03-02,Terça,Sim,109.0
Aluno_30,2024-02-05,Terça,Sim,70.0
Aluno_44,2024-01-18,Quarta,Sim,80.0
Aluno_80,2024-03-19,Segunda,Sim,99.0
Aluno_15,2024-02-02,Terça,Sim,45.0
Aluno_32,2024-01-19,Segunda,Sim,27.0
Aluno_37,2024-03-24,Sexta,Sim,59.0
Aluno_56,2024-03-20,Terça,Sim,26.0
Aluno_26,2024-02-20,Quarta,Sim,40.0
Aluno_78,2024-02-03,Terça,Sim,62.0
Aluno_34,2024-01-07,Segunda,Sim,103.0
Aluno_23,2024-01-24,Sábado,Sim,109.0
Aluno_44,2024-01-13,Quarta,Sim,62.0
Aluno_62,2024-02-12,Terça,Sim,40.0
Aluno_55,2024-02-14,Sexta,Sim,118.0
Aluno_16,2024-03-27,Sexta,Sim,64.0
Aluno_98,2024-03-24,Quinta,Não,100.0
Aluno_65,2024-01-08,Terça,Sim,49.0
Aluno_2,2024-01-14,Terça,Sim,39.0
Aluno_99,2024-02-17,Quinta,Sim,89.0
Aluno_35,2024-01-20,Sábado,Não,86.0
Aluno_83,2024-03-24,Quarta,Sim,94.0
Aluno_40,2024-03-02,Quarta,Sim,95.0
Aluno_82,2024-03-04,Quarta,Sim,74.0
Aluno_12,2024-02-26,Sábado,Sim,106.0
Aluno_91,2024-03-10,Terça,Sim,117.0
Aluno_23,2024-02-09,Quinta,Sim,92.0
Aluno_29,2024-02-27,Sábado,Sim,27.0
Aluno_2,2024-02-15,Sábado,Sim,50.0
Aluno_7,2024-03-16,Quinta,Sim,119.0
Aluno_75,2024-03-07,Sábado,Sim,28.0
Aluno_58,2024-03-24,Quinta,Não,30.0
Aluno_18,2024-01-14,Terça,Sim,91.0
Aluno_32,2024-03-17,Segunda,Sim,114.0
Aluno_81,2024-03-13,Sexta,Não,24.0
Aluno_34,2024-01-06,Sexta,Sim,117.0
Aluno_94,2024-01-07,Quarta,Sim,60.0
Aluno_5,2024-01-20,Terça,Sim,30.0
Aluno_88,2024-02-09,Sábado,Sim,63.0
Aluno_51,2024-01-12,Segunda,Sim,29.0
Aluno_54,2024-02-12,Terça,Sim,56.0
Aluno_63,2024-02-29,Terça,Sim,113.0
Aluno_10,2024-03-01,Segunda,Sim,21.0
Aluno_64,2024-01-14,Sexta,Não,85.0
Aluno_46,2024-03-24,Sábado,Não,42.0
Aluno_42,2024-03-06,Terça,Sim,81.0
Aluno_75,2024-02-05,Quinta,Sim,105.0
Aluno_62,2024-02-26,Sexta,Sim,29.0
Aluno_8,2024-03-11,Quarta,Sim,30.0
Aluno_40,2024-01-20,Terça,Sim,86.0
Aluno_35,2024-03-26,Quinta,Sim,28.0
Aluno_45,2024-01-18,Quinta,Sim,85.0
Aluno_30,2024-02-13,Terça,Sim,23.0
Aluno_57,2024-01-04,Terça,Sim,108.0
Aluno_63,2024-03-10,Sábado,Sim,93.0
Aluno_93,2024-01-04,Quinta,Sim,87.0
Aluno_55,2024-03-18,Sábado,Sim,109.0
Aluno_69,2024-01-30,Sábado,Sim,45.0
Aluno_72,2024-03-01,Terça,Sim,38.0
Aluno_48,2024-03-15,Quinta,Sim,25.0
Aluno_23,2024-02-09,Quinta,Sim,31.0
Aluno_57,2024-01-24,Quarta,Não,58.0
Aluno_38,2024-02-19,Segunda,Sim,43.0
Aluno_35,2024-02-20,Sexta,Não,38.0
Aluno_66,2024-02-28,Sábado,Sim,25.0
Aluno_7,2024-01-25,Quarta,Sim,24.0
Aluno_81,2024-02-24,Quarta,Não,32.0
Aluno_14,2024-03-15,Terça,Sim,62.0
Aluno_84,2024-03-27,Sábado,Sim,73.0
Aluno_29,2024-01-30,Sábado,Sim,84.0
Aluno_45,2024-03-13,Sexta,Não,50.0
Aluno_12,2024-03-18,Sábado,Sim,100.0
Aluno_89,2024-01-02,Terça,Sim,21.0
Aluno_2,2024-02-03,Quarta,Não,117.0
Aluno_7,2024-02-05,Quinta,Sim,34.0
Aluno_36,2024-03-30,Sexta,Sim,20.0
Aluno_69,2024-03-05,Segunda,Não,93.0
Aluno_42,2024-03-13,Terça,Sim,63.0
Aluno_70,2024-02-06,Terça,Sim,47.0
Aluno_10,2024-02-09,Sábado,Sim,42.0
Aluno_24,2024-02-04,Segunda,Sim,32.0
Aluno_56,2024-02-09,Sexta,Sim,37.0
Aluno_4,2024-03-14,Sábado,Sim,100.0
Aluno_39,2024-02-28,Terça,Sim,61.0
Aluno_94,2024-02-03,Terça,Sim,58.0
Aluno_98,2024-02-01,Segunda,Sim,65.0
Aluno_38,2024-01-14,Terça,Sim,95.0
Aluno_95,2024-01-14,Sexta,Sim,112.0
Aluno_77,2024-03-01,Sábado,Sim,112.0
Aluno_3,2024-02-28,Segunda,Sim,35.0
Aluno_92,2024-01-24,Segunda,Sim,75.0
Aluno_57,2024-02-02,Quinta,Sim,98.0
Aluno_80,2024-01-27,Quinta,Sim,105.0
Aluno_89,2024-02-17,Segunda,Sim,64.0
Aluno_82,2024-02-09,Terça,Não,40.0
Aluno_78,2024-02-02,Sábado,Sim,87.0
Aluno_2,2024-03-04,Segunda,Sim,117.0
Aluno_24,2024-01-10,Terça,Sim,88.0
Aluno_17,2024-02-05,Sexta,Sim,109.0
Aluno_34,2024-01-06,Terça,Sim,72.0
Aluno_57,2024-03-27,Sexta,Sim,65.0
Aluno_42,2024-03-13,Segunda,Sim,76.0
Aluno_21,2024-01-12,Quinta,Sim,38.0
Aluno_21,2024-01-25,Terça,Sim,65.0
Aluno_1,2024-01-13,Segunda,Sim,76.0
Aluno_62,2024-01-24,Terça,Sim,47.0
Aluno_37,2024-03-19,Quinta,Sim,85.0
Aluno_47,2024-02-11,Sexta,Sim,66.0
Aluno_49,2024-02-02,Quinta,Sim,119.0
Aluno_50,2024-01-10,Quinta,Sim,37.0
Aluno_95,2024-03-19,Sábado,Sim,71.0
Aluno_5,2024-03-04,Sábado,Sim,69.0
Aluno_26,2024-03-12,Sexta,Sim,39.0
Aluno_78,2024-02-18,Sábado,Sim,111.0
Aluno_7,2024-02-21,Quarta,Não,27.0
Aluno_66,2024-02-27,Segunda,Sim,40.0
Aluno_98,2024-03-19,Terça,Sim,24.0
Aluno_57,2024-01-30,Segunda,Sim,95.0
Aluno_46,2024-01-29,Terça,Sim,71.0
Aluno_82,2024-03-27,Quarta,Sim,91.0
Aluno_82,2024-01-15,Quarta,Sim,48.0
Aluno_58,2024-02-09,Sexta,Sim,50.0
Aluno_90,2024-01-26,Segunda,Não,50.0
Aluno_66,2024-03-06,Sábado,Sim,70.0
Aluno_67,2024-01-16,Segunda,Sim,44.0
Aluno_49,2024-02-16,Sexta,Não,38.0
Aluno_80,2024-03-14,Quarta,Sim,70.0
Aluno_55,2024-02-17,Sábado,Sim,100.0
Aluno_51,2024-01-23,Quinta,Sim,52.0
Aluno_88,2024-03-22,Sexta,Sim,66.0
Aluno_91,2024-02-15,Segunda,Sim,53.0
Aluno_43,2024-02-04,Sexta,Sim,61.0
Aluno_14,2024-03-21,Sábado,Sim,76.0
Aluno_4,2024-01-11,Terça,Sim,106.0
