id_venda,categoria,valor,forma_pagamento,tempo_entrega_dias,status_entrega,reclamacao
7936,Casa,240.3,Boleto,1.0,,Não
2923,Roupas,7.92,Cartão,13.0,Entregue,Não
9611,Livros,299.56,Transferência,17.0,Cancelado,Não
8876,Casa,291.68,Transferência,3.0,Cancelado,Não
8555,Casa,61.67,Cartão,5.0,Em trânsito,Não
5036,Roupas,152.52,Cartão,12.0,Em trânsito,Não
8460,Roupas,307.66,Boleto,12.0,Em trânsito,Sim
9999,Eletrônicos,311.21,Pix,11.0,Cancelado,Não
9676,Eletrônicos,285.95,Boleto,4.0,,Sim
2983,Casa,158.25,Transferência,2.0,,Não
2990,Esportes,227.53,Boleto,18.0,,Não
4979,Livros,157.96,Boleto,4.0,Entregue,Não
3552,Livros,148.87,Transferência,,,Não
9740,Roupas,177.46,Transferência,14.0,,Não
1143,Roupas,322.57,Boleto,15.0,Entregue,Não
8760,Casa,59.91,Pix,13.0,Entregue,Não
5748,Esportes,249.72,Cartão,1.0,,Sim
5903,Eletrônicos,311.21,Cartão,3.0,Em trânsito,Sim
9674,Livros,222.94,Transferência,13.0,,Não
7336,Roupas,172.31,Cartão,17.0,,Não
7189,Casa,151.64,Pix,17.0,,Não
9655,Eletrônicos,123.95,Pix,19.0,Em trânsito,Não
3509,Eletrônicos,138.07,Transferência,3.0,Entregue,Não
3247,Roupas,105.08,Transferência,13.0,Em trânsito,Não
1619,Livros,128.37,Boleto,17.0,Em trânsito,Não
9677,Roupas,237.14,Cartão,3.0,Em trânsito,Sim
4562,Livros,219.85,Boleto,,Cancelado,Não
7452,Casa,1422.6,Boleto,8.0,,Sim
7291,Casa,92.88,Cartão,7.0,Cancelado,Não
5480,Eletrônicos,138.07,Boleto,18.0,,Não
6530,Casa,304.92,Pix,15.0,Entregue,Não
7111,Casa,201.35,Pix,1.0,Cancelado,Não
6546,Eletrônicos,249.58,Transferência,19.0,Cancelado,Sim
6093,Casa,149.89,Pix,4.0,,Não
6652,Eletrônicos,51.88,Pix,,,Não
6036,Livros,341.78,Boleto,6.0,Cancelado,Não
8769,Livros,142.28,Cartão,12.0,,Não
3534,Eletrônicos,287.23,Transferência,6.0,Em trânsito,Não
2757,Livros,136.59,Boleto,14.0,,Não
2155,Roupas,68.36,Boleto,17.0,Cancelado,Não
9734,Livros,152.52,Pix,11.0,Entregue,Não
9734,Eletrônicos,2046.2,Pix,20.0,Cancelado,Não
6489,Casa,107.93,Pix,15.0,Em trânsito,Sim
9950,Eletrônicos,315.76,Boleto,16.0,,Sim
8053,Casa,218.5,Boleto,18.0,Entregue,Não
7687,Eletrônicos,149.43,Boleto,7.0,Em trânsito,Não
8762,Livros,2300.4,Cartão,3.0,Cancelado,Não
9893,Livros,146.42,Pix,11.0,Em trânsito,Sim
1361,Esportes,312.48,Boleto,2.0,Cancelado,Não
8010,Esportes,138.11,Transferência,12.0,Cancelado,Não
4451,Roupas,252.21,Transferência,2.0,Em trânsito,Não
3330,Casa,235.01,Cartão,10.0,Em trânsito,Não
6006,Roupas,217.19,Boleto,15.0,Cancelado,Sim
8447,Roupas,235.62,Cartão,14.0,,Não
6436,Roupas,195.63,Pix,2.0,Cancelado,Não
1516,Esportes,404.11,Transferência,17.0,Entregue,Não
6468,Esportes,182.19,Cartão,19.0,,Não
5022,Eletrônicos,234.24,Transferência,,Entregue,Sim
3602,Casa,42.65,Cartão,9.0,Cancelado,Não
5016,Roupas,257.86,Transferência,4.0,Cancelado,Não
9525,Roupas,206.02,Boleto,12.0,Em trânsito,Não
6786,Livros,178.56,Cartão,3.0,Cancelado,Não
1032,Roupas,309.41,Pix,,Em trânsito,Sim
7058,Esportes,130.68,Boleto,20.0,,Não
5056,Casa,267.01,Boleto,10.0,Cancelado,Sim
2593,Casa,232.1,Pix,8.0,Entregue,Não
9197,Roupas,265.63,Transferência,13.0,Em trânsito,Não
7575,Esportes,242.32,Boleto,17.0,Em trânsito,Sim
8013,Roupas,124.34,Cartão,17.0,Entregue,Não
6503,Eletrônicos,168.67,Boleto,,Entregue,Não
9635,Eletrônicos,276.48,Cartão,2.0,,Não
6608,Esportes,192.16,Transferência,12.0,Em trânsito,Não
8418,Eletrônicos,89.05,Cartão,11.0,Entregue,Não
5630,Casa,186.9,Boleto,3.0,Em trânsito,Não
8309,Casa,264.3,Transferência,12.0,Em trânsito,Não
4189,Roupas,198.04,Transferência,8.0,,Não
3939,Roupas,21.52,Transferência,7.0,Em trânsito,Não
8022,Livros,247.71,Pix,14.0,Em trânsito,Não
7418,Esportes,343.88,Cartão,18.0,Cancelado,Não
8540,Casa,205.65,Transferência,1.0,Em trânsito,Não
6386,Eletrônicos,98.39,Boleto,8.0,,Não
5562,Livros,152.16,Pix,3.0,,Não
7131,Roupas,240.14,Transferência,10.0,,Não
7990,Casa,274.51,Pix,,Cancelado,Sim
1897,Livros,164.88,Boleto,15.0,Cancelado,Não
7713,Eletrônicos,311.08,Pix,1.0,Cancelado,Não
6621,Eletrônicos,242.77,Boleto,,Cancelado,Não
5007,Casa,349.08,Boleto,5.0,Cancelado,Não
2621,Livros,132.36,Transferência,,Cancelado,Sim
1703,Esportes,263.6,Pix,16.0,Cancelado,Não
9829,Livros,257.68,Cartão,4.0,Entregue,Não
6713,Livros,270.42,Pix,3.0,Cancelado,Sim
8475,Livros,150.41,Transferência,18.0,Em trânsito,Não
1975,Eletrônicos,264.49,Cartão,6.0,Em trânsito,Não
6735,Esportes,356.36,Boleto,2.0,Entregue,Não
9863,Esportes,203.33,Transferência,6.0,Em trânsito,Não
8865,Livros,16.1,Pix,12.0,,Não
3886,Eletrônicos,296.2,Pix,17.0,Entregue,Não
5477,Casa,310.92,Cartão,17.0,Entregue,Não
7660,Eletrônicos,184.44,Boleto,9.0,Entregue,Não
9118,Roupas,108.52,Transferência,20.0,Cancelado,Não
5317,Casa,30.63,Cartão,7.0,Entregue,Sim
4265,Esportes,139.6,Pix,19.0,Cancelado,Não
1500,Roupas,43.54,Boleto,9.0,Entregue,Não
6066,Roupas,303.8,Pix,9.0,Em trânsito,Não
2431,Eletrônicos,102.39,Pix,13.0,,Sim
6587,Roupas,233.2,Transferência,15.0,Cancelado,Não
2153,Casa,236.9,Pix,11.0,Cancelado,Não
7038,Esportes,256.8,Pix,4.0,Entregue,Não
7015,Roupas,15.47,Transferência,15.0,Em trânsito,Não
1926,Esportes,211.12,Cartão,11.0,,Não
7014,Eletrônicos,428.0,Cartão,6.0,Cancelado,Não
2178,Casa,112.54,Cartão,6.0,Cancelado,Não
1217,Eletrônicos,205.73,Transferência,5.0,Em trânsito,Não
8178,Eletrônicos,197.31,Boleto,5.0,Entregue,Não
2049,Casa,123.87,Boleto,19.0,Em trânsito,Não
5786,Eletrônicos,194.34,Transferência,,Em trânsito,Não
7478,Livros,2612.6,Cartão,9.0,Em trânsito,Sim
2902,Casa,331.04,Transferência,5.0,,Não
3090,Livros,215.39,Transferência,5.0,Entregue,Não
9155,Casa,95.28,Transferência,3.0,Em trânsito,Não
7859,Esportes,241.91,Transferência,1.0,,Não
3696,Casa,348.28,Boleto,15.0,,Não
9942,Eletrônicos,353.34,Boleto,14.0,,Sim
9523,Eletrônicos,343.5,Cartão,4.0,Entregue,Não
3178,Roupas,115.52,Pix,6.0,,Não
4769,Eletrônicos,159.0,Cartão,18.0,Cancelado,Não
5646,Esportes,252.0,Pix,16.0,,Não
1276,Roupas,290.18,Boleto,10.0,Entregue,Não
1783,Eletrônicos,63.77,Cartão,3.0,Cancelado,Não
5103,Livros,205.7,Transferência,19.0,Em trânsito,Não
7998,Livros,419.66,Pix,2.0,Cancelado,Não
7957,Livros,2.2,Transferência,18.0,Cancelado,Não
9538,Casa,183.37,Pix,18.0,Entregue,Não
8385,Roupas,297.79,Transferência,13.0,Entregue,Sim
9793,Roupas,130.79,Boleto,14.0,,Não
4775,Roupas,180.41,Transferência,9.0,Entregue,Sim
1453,Livros,208.42,Boleto,19.0,,Não
3978,Esportes,209.93,Transferência,11.0,Em trânsito,Sim
4673,Esportes,148.18,Boleto,15.0,Entregue,Não
5819,Roupas,194.24,Boleto,13.0,Cancelado,Não
5267,Eletrônicos,114.35,Boleto,17.0,Cancelado,Não
6825,Casa,173.32,Boleto,5.0,Cancelado,Não
6945,Esportes,224.41,Transferência,19.0,Entregue,Não
4752,Livros,146.54,Transferência,14.0,,Sim
8584,Roupas,320.48,Pix,1.0,Entregue,Não
9189,Eletrônicos,203.72,Pix,7.0,Em trânsito,Não
7364,Eletrônicos,43.77,Transferência,5.0,Cancelado,Não
4721,Esportes,185.97,Cartão,14.0,Entregue,Não
8578,Eletrônicos,282.41,Cartão,20.0,Em trânsito,Não
5578,Casa,305.98,Cartão,1.0,,Não
7423,Casa,333.37,Transferência,8.0,Cancelado,Sim
6758,Eletrônicos,252.76,Boleto,19.0,Cancelado,Não
4899,Esportes,183.47,Boleto,2.0,Cancelado,Não
3963,Roupas,270.4,Cartão,7.0,,Sim
9394,Esportes,117.62,Pix,6.0,Em trânsito,Não
8791,Roupas,184.66,Pix,12.0,Cancelado,Não
9581,Eletrônicos,321.42,Transferência,,Entregue,Sim
9527,Casa,271.67,Boleto,19.0,,Sim
5590,Casa,131.87,Transferência,16.0,Cancelado,Não
4638,Esportes,163.96,Pix,,Em trânsito,Não
2538,Eletrônicos,134.93,Transferência,15.0,Cancelado,Sim
3307,Roupas,302.98,Boleto,,Entregue,Não
7069,Livros,201.15,Cartão,18.0,Em trânsito,Não
9944,Livros,212.41,Transferência,15.0,Em trânsito,Não
2575,Casa,214.89,Pix,17.0,Cancelado,Não
5590,Roupas,374.13,Pix,1.0,Entregue,Não
2743,Eletrônicos,412.75,Boleto,,,Sim
7503,Esportes,40.93,Transferência,5.0,,Não
9569,Livros,38.04,Pix,19.0,,Sim
7471,Esportes,283.42,Cartão,8.0,Entregue,Não
5059,Eletrônicos,179.25,Cartão,10.0,Em trânsito,Não
5723,Eletrônicos,285.49,Cartão,12.0,Entregue,Não
3040,Eletrônicos,204.88,Cartão,5.0,Cancelado,Não
6138,Casa,98.94,Boleto,20.0,Em trânsito,Não
2968,Eletrônicos,96.9,Cartão,5.0,Entregue,Não
6644,Livros,96.03,Transferência,,Entregue,Não
9132,Casa,168.98,Cartão,4.0,Cancelado,Não
4722,Roupas,162.75,Transferência,15.0,Em trânsito,Não
6045,Casa,261.19,Boleto,14.0,Cancelado,Não
2106,Roupas,52.3,Cartão,18.0,Em trânsito,Não
2049,Casa,123.87,Boleto,19.0,Em trânsito,Não
5059,Eletrônicos,179.25,Cartão,10.0,Em trânsito,Não
5293,Roupas,146.83,Boleto,16.0,Em trânsito,Não
5786,Eletrônicos,194.34,Transferência,,Em trânsito,Não
7621,Livros,163.69,Pix,9.0,Cancelado,Não
4542,Esportes,4.78,Transferência,9.0,Em trânsito,Sim
7423,Casa,333.37,Transferência,8.0,Cancelado,Sim
