id_reserva,dia_checkin,tipo_quarto,meio_reserva,num_noites,avaliacao_hospede
107,Segunda,Suíte,App,3.0,5.0
108,Domingo,Luxo,Site,1.0,1.0
109,Terça,Luxo,App,6.0,2.0
110,Sexta,Suíte,App,6.0,5.0
111,Terça,Standard,Site,6.0,2.0
112,Terça,Executivo,Agência,1.0,2.0
113,Quinta,Suíte,Telefone,2.0,3.0
114,Sexta,Suíte,Site,5.0,4.0
115,Domingo,Luxo,App,5.0,4.0
116,Sexta,Executivo,Telefone,2.0,3.0
117,Domingo,Luxo,App,2.0,5.0
118,Quinta,Standard,Site,3.0,4.0
119,Terça,Standard,Site,3.0,3.0
120,Quarta,Luxo,Site,4.0,2.0
121,Sábado,Standard,Telefone,6.0,4.0
122,Terça,Executivo,App,6.0,4.0
123,Segunda,Suíte,App,5.0,2.0
124,Sábado,Executivo,Site,6.0,3.0
125,Quarta,Executivo,Site,3.0,4.0
126,Quinta,Standard,Telefone,4.0,4.0
127,Sexta,Executivo,Site,3.0,3.0
128,Terça,Luxo,Telefone,3.0,5.0
129,Sábado,Standard,App,4.0,4.0
130,Segunda,Executivo,Site,5.0,5.0
131,Domingo,Standard,Site,1.0,5.0
132,Sábado,Standard,Telefone,2.0,2.0
133,Quinta,Suíte,Agência,1.0,4.0
134,Terça,Luxo,Site,6.0,3.0
135,Quarta,Luxo,App,4.0,3.0
136,Quinta,Standard,Site,7.0,4.0
137,Quinta,Executivo,Site,6.0,3.0
138,Terça,Executivo,Site,7.0,2.0
139,Quarta,Standard,Site,4.0,4.0
140,Sexta,Luxo,Telefone,1.0,1.0
141,Sexta,Executivo,App,,1.0
142,Sexta,Executivo,Site,6.0,4.0
143,Quarta,Suíte,Site,1.0,4.0
144,Quarta,Suíte,App,4.0,
145,Quarta,Luxo,Site,4.0,5.0
146,Sábado,Luxo,Telefone,1.0,4.0
147,Segunda,Luxo,Telefone,3.0,2.0
148,Domingo,Standard,App,5.0,3.0
149,Quarta,Suíte,Site,4.0,5.0
150,Sábado,Suíte,Site,3.0,
151,Sexta,Executivo,Telefone,4.0,
152,Terça,Standard,Site,6.0,4.0
153,Terça,Standard,Telefone,4.0,4.0
154,Sexta,Luxo,Telefone,1.0,4.0
155,Sábado,Suíte,App,4.0,2.0
156,Domingo,Suíte,App,6.0,2.0
157,Quarta,Suíte,Site,2.0,4.0
158,Terça,Suíte,Telefone,1.0,4.0
159,Terça,Executivo,Site,2.0,5.0
160,Sexta,Standard,App,2.0,4.0
161,Terça,Suíte,App,4.0,5.0
162,Sábado,Luxo,Agência,6.0,2.0
163,Domingo,Executivo,Agência,2.0,4.0
164,Terça,Luxo,Site,5.0,4.0
165,Terça,Luxo,Telefone,6.0,3.0
166,Segunda,Standard,Site,7.0,4.0
167,Segunda,Suíte,Telefone,1.0,3.0
168,Quinta,Suíte,Site,7.0,2.0
169,Quarta,Standard,App,4.0,1.0
170,Terça,Suíte,Site,4.0,1.0
171,Sexta,Standard,Telefone,5.0,4.0
172,Sábado,Executivo,Agência,7.0,4.0
173,Quinta,Luxo,Agência,1.0,4.0
174,Segunda,Suíte,Site,2.0,4.0
175,Quinta,Suíte,Site,7.0,
176,Terça,Suíte,Site,4.0,4.0
177,Quinta,Executivo,App,4.0,4.0
178,Segunda,Standard,Site,5.0,4.0
179,Sábado,Executivo,Telefone,1.0,4.0
180,Domingo,Executivo,App,4.0,4.0
181,Domingo,Suíte,Site,3.0,4.0
182,Quarta,Suíte,App,2.0,3.0
183,Segunda,Executivo,Telefone,5.0,5.0
184,Domingo,Standard,App,4.0,3.0
185,Quarta,Executivo,Site,1.0,4.0
186,Sexta,Executivo,Site,6.0,4.0
187,Sábado,Executivo,App,4.0,4.0
188,Sábado,Luxo,App,7.0,
189,Segunda,Suíte,App,4.0,3.0
190,Sábado,Executivo,Site,3.0,5.0
191,Quinta,Executivo,App,7.0,4.0
192,Quinta,Suíte,Site,5.0,3.0
193,Quarta,Executivo,Site,5.0,3.0
194,Segunda,Standard,Site,1.0,4.0
195,Quarta,Suíte,Site,2.0,3.0
196,Sexta,Executivo,App,7.0,3.0
197,Quarta,Suíte,Agência,2.0,2.0
198,Sábado,Luxo,Telefone,5.0,4.0
199,Sábado,Executivo,App,5.0,5.0
200,Sexta,Executivo,Site,3.0,4.0
201,Quarta,Standard,Site,4.0,3.0
202,Segunda,Luxo,Agência,7.0,3.0
203,Segunda,Suíte,Site,4.0,3.0
204,Quinta,Luxo,Site,6.0,4.0
205,Quinta,Luxo,Telefone,2.0,5.0
206,Domingo,Standard,Site,5.0,3.0
207,Segunda,Executivo,App,1.0,4.0
208,Quinta,Luxo,Site,6.0,5.0
209,Domingo,Suíte,App,4.0,4.0
210,Segunda,Luxo,Agência,2.0,4.0
211,Segunda,Executivo,Telefone,2.0,2.0
212,Quarta,Executivo,App,6.0,1.0
213,Sábado,Luxo,Telefone,,5.0
214,Quarta,Suíte,Agência,3.0,4.0
215,Segunda,Luxo,Telefone,4.0,3.0
216,Sábado,Suíte,Site,6.0,3.0
217,Quarta,Luxo,App,3.0,4.0
218,Sexta,Luxo,App,3.0,4.0
219,Quarta,Executivo,App,1.0,4.0
220,Sexta,Standard,Agência,7.0,3.0
221,Sexta,Suíte,Site,1.0,4.0
222,Segunda,Luxo,Site,,3.0
223,Sábado,Executivo,Site,2.0,5.0
224,Sexta,Standard,Telefone,7.0,5.0
225,Sexta,Executivo,Site,5.0,4.0
226,Terça,Standard,Telefone,3.0,4.0
227,Terça,Executivo,App,5.0,5.0
228,Sábado,Executivo,Telefone,7.0,4.0
229,Segunda,Luxo,App,7.0,4.0
230,Segunda,Standard,Telefone,2.0,4.0
231,Quinta,Standard,Site,5.0,4.0
232,Segunda,Executivo,Site,1.0,4.0
233,Sábado,Suíte,Telefone,7.0,3.0
234,Sábado,Executivo,App,5.0,4.0
235,Sexta,Suíte,Site,2.0,3.0
236,Quinta,Luxo,Site,5.0,4.0
237,Quinta,Standard,App,,3.0
238,Sábado,Executivo,Site,2.0,3.0
239,Quarta,Suíte,Site,4.0,4.0
240,Terça,Standard,App,5.0,
241,Quarta,Standard,Site,7.0,3.0
242,Domingo,Executivo,Telefone,6.0,4.0
243,Quinta,Suíte,Site,5.0,4.0
244,Sexta,Suíte,Site,6.0,4.0
245,Quinta,Luxo,Site,6.0,4.0
246,Sexta,Standard,Site,7.0,4.0
247,Terça,Standard,App,,4.0
248,Quinta,Standard,Agência,4.0,1.0
249,Quinta,Luxo,Site,3.0,5.0
250,Terça,Standard,Agência,7.0,1.0
251,Terça,Executivo,Site,1.0,2.0
252,Quinta,Executivo,Site,2.0,3.0
253,Sexta,Executivo,App,6.0,4.0
254,Sábado,Executivo,App,7.0,4.0
255,Segunda,Suíte,Site,2.0,4.0
256,Quinta,Luxo,Telefone,2.0,1.0
257,Quinta,Executivo,App,2.0,4.0
258,Sexta,Standard,Site,7.0,4.0
259,Sexta,Executivo,Telefone,2.0,5.0
260,Segunda,Luxo,Site,7.0,4.0
261,Segunda,Luxo,Telefone,6.0,5.0
262,Domingo,Suíte,App,5.0,4.0
263,Sábado,Executivo,Site,4.0,4.0
264,Quinta,Executivo,Site,3.0,5.0
265,Terça,Executivo,Site,,1.0
266,Sexta,Luxo,Telefone,2.0,3.0
267,Sábado,Executivo,App,6.0,5.0
268,Domingo,Executivo,Site,6.0,4.0
269,Sexta,Standard,App,5.0,5.0
270,Sábado,Standard,Site,7.0,2.0
271,Sábado,Suíte,Site,3.0,3.0
272,Quarta,Executivo,Site,2.0,
273,Quinta,Luxo,App,3.0,4.0
274,Quarta,Suíte,App,3.0,5.0
275,Quarta,Suíte,App,7.0,4.0
276,Sábado,Standard,Agência,4.0,4.0
277,Segunda,Standard,Agência,5.0,4.0
278,Segunda,Luxo,App,5.0,4.0
279,Terça,Standard,App,6.0,4.0
280,Domingo,Standard,Site,5.0,5.0
281,Terça,Executivo,Site,7.0,5.0
282,Sexta,Standard,App,5.0,3.0
283,Quarta,Executivo,Telefone,3.0,4.0
284,Quarta,Suíte,App,4.0,
285,Sexta,Suíte,Telefone,6.0,1.0
286,Segunda,Luxo,Site,3.0,5.0
287,Domingo,Executivo,App,2.0,5.0
288,Domingo,Standard,Site,4.0,4.0
289,Terça,Executivo,App,4.0,5.0
290,Terça,Suíte,Site,4.0,4.0
291,Segunda,Standard,Telefone,1.0,4.0
292,Quinta,Luxo,Site,2.0,4.0
293,Sexta,Luxo,App,6.0,4.0
294,Terça,Executivo,App,,1.0
295,Segunda,Luxo,Site,1.0,4.0
296,Terça,Luxo,Site,1.0,4.0
297,Domingo,Suíte,Telefone,4.0,4.0
298,Quinta,Luxo,App,5.0,3.0
299,Terça,Standard,App,6.0,4.0
300,Terça,Luxo,Site,3.0,4.0
301,Quarta,Standard,Agência,7.0,5.0
302,Segunda,Luxo,App,5.0,4.0
303,Quinta,Executivo,App,2.0,
304,Domingo,Executivo,Site,5.0,4.0
305,Segunda,Luxo,Site,2.0,5.0
306,Terça,Executivo,Site,7.0,3.0
307,Terça,Luxo,Site,4.0,2.0
308,Sábado,Suíte,App,1.0,4.0
309,Segunda,Luxo,Site,5.0,4.0
310,Terça,Executivo,App,,4.0
311,Quinta,Suíte,Site,,5.0
312,Sábado,Suíte,Site,4.0,2.0
313,Segunda,Luxo,Site,1.0,4.0
314,Quinta,Standard,Telefone,2.0,4.0
315,Sexta,Luxo,App,1.0,5.0
316,Terça,Suíte,App,6.0,4.0
317,Domingo,Executivo,Telefone,4.0,4.0
318,Terça,Suíte,Site,6.0,
319,Segunda,Executivo,Site,4.0,4.0
320,Segunda,Suíte,App,5.0,5.0
321,Sexta,Executivo,App,2.0,3.0
322,Quinta,Executivo,Site,6.0,5.0
323,Sexta,Suíte,Site,5.0,5.0
324,Sábado,Executivo,App,1.0,3.0
325,Domingo,Suíte,Agência,2.0,3.0
326,Sexta,Luxo,Agência,2.0,3.0
327,Segunda,Executivo,Site,2.0,4.0
328,Segunda,Luxo,Site,4.0,4.0
329,Terça,Suíte,Site,6.0,1.0
330,Segunda,Executivo,Site,5.0,5.0
331,Sábado,Luxo,Site,2.0,4.0
332,Domingo,Executivo,Site,3.0,4.0
333,Terça,Luxo,App,6.0,5.0
334,Terça,Luxo,Site,4.0,3.0
335,Segunda,Luxo,App,5.0,4.0
336,Sexta,Suíte,Telefone,7.0,4.0
337,Terça,Luxo,Site,3.0,1.0
338,Quarta,Luxo,Agência,5.0,5.0
339,Quinta,Luxo,App,7.0,3.0
340,Terça,Standard,App,5.0,5.0
341,Sexta,Standard,Telefone,6.0,4.0
342,Quinta,Standard,Site,5.0,3.0
343,Quinta,Executivo,Telefone,6.0,5.0
344,Quinta,Executivo,App,6.0,4.0
345,Terça,Standard,Site,,3.0
346,Segunda,Luxo,Telefone,1.0,4.0
347,Domingo,Luxo,Agência,7.0,3.0
348,Quinta,Standard,Telefone,,3.0
349,Quarta,Suíte,App,7.0,3.0
350,Quinta,Standard,App,4.0,4.0
351,Terça,Luxo,App,2.0,5.0
352,Segunda,Luxo,Site,5.0,3.0
353,Segunda,Suíte,Site,7.0,4.0
354,Domingo,Suíte,Site,7.0,3.0
355,Segunda,Suíte,App,2.0,4.0
356,Sexta,Luxo,Telefone,6.0,5.0
357,Terça,Standard,Site,3.0,4.0
358,Terça,Executivo,Site,3.0,4.0
359,Quinta,Suíte,Site,6.0,1.0
360,Quinta,Suíte,Agência,7.0,3.0
361,Sábado,Luxo,Agência,6.0,3.0
362,Sexta,Executivo,Telefone,6.0,4.0
363,Terça,Executivo,Telefone,7.0,4.0
364,Quinta,Standard,App,7.0,5.0
365,Quarta,Standard,Agência,1.0,3.0
366,Quinta,Luxo,App,2.0,3.0
367,Segunda,Luxo,App,6.0,5.0
368,Sábado,Suíte,Site,5.0,5.0
369,Domingo,Suíte,Site,6.0,3.0
370,Domingo,Executivo,App,2.0,4.0
371,Sexta,Executivo,App,2.0,5.0
372,Segunda,Suíte,Telefone,5.0,5.0
373,Quarta,Suíte,Telefone,5.0,5.0
374,Quinta,Suíte,Site,4.0,4.0
375,Domingo,Executivo,Telefone,7.0,4.0
376,Quinta,Suíte,Site,6.0,4.0
377,Domingo,Standard,Telefone,5.0,5.0
378,Quinta,Suíte,Telefone,2.0,3.0
379,Segunda,Suíte,App,6.0,5.0
380,Terça,Suíte,Site,4.0,3.0
381,Domingo,Suíte,Site,2.0,4.0
382,Sexta,Luxo,Telefone,4.0,5.0
383,Domingo,Standard,Telefone,4.0,4.0
384,Domingo,Suíte,Agência,6.0,4.0
385,Segunda,Luxo,Site,5.0,3.0
386,Quarta,Suíte,Site,2.0,1.0
387,Domingo,Luxo,Site,5.0,2.0
388,Quinta,Standard,Agência,7.0,2.0
389,Terça,Executivo,Agência,7.0,4.0
390,Terça,Luxo,Site,2.0,4.0
391,Terça,Standard,Agência,5.0,3.0
392,Sexta,Luxo,Site,,4.0
393,Terça,Suíte,App,3.0,5.0
394,Quinta,Suíte,Site,1.0,3.0
395,Sábado,Suíte,Agência,7.0,4.0
396,Sábado,Luxo,App,5.0,4.0
397,Sexta,Executivo,Site,6.0,3.0
398,Quinta,Standard,Site,5.0,2.0
399,Quinta,Executivo,Telefone,4.0,4.0
400,Segunda,Luxo,Site,5.0,4.0
401,Quarta,Standard,Site,4.0,4.0
402,Domingo,Luxo,Site,1.0,4.0
403,Quarta,Standard,App,5.0,4.0
404,Segunda,Executivo,App,1.0,5.0
405,Segunda,Standard,Site,2.0,3.0
406,Sábado,Suíte,Site,2.0,4.0
407,Quinta,Executivo,Site,5.0,4.0
408,Sábado,Suíte,Site,7.0,5.0
409,Sexta,Suíte,Site,5.0,3.0
410,Quarta,Suíte,Site,,3.0
411,Sábado,Standard,App,2.0,3.0
412,Domingo,Luxo,Site,1.0,5.0
413,Sábado,Standard,App,2.0,
414,Sábado,Suíte,Telefone,4.0,4.0
415,Terça,Executivo,Telefone,2.0,4.0
416,Segunda,Standard,Site,3.0,
417,Quarta,Suíte,Agência,5.0,3.0
418,Quarta,Executivo,App,6.0,4.0
419,Segunda,Suíte,Site,3.0,2.0
420,Quarta,Luxo,Telefone,7.0,
421,Quarta,Executivo,Site,1.0,3.0
422,Sexta,Executivo,App,4.0,1.0
423,Quinta,Executivo,App,3.0,2.0
424,Sábado,Luxo,Agência,7.0,3.0
425,Segunda,Suíte,Site,1.0,2.0
426,Sexta,Luxo,App,,1.0
427,Sábado,Suíte,Site,4.0,4.0
428,Domingo,Luxo,Site,1.0,4.0
429,Sábado,Suíte,Telefone,5.0,5.0
430,Sexta,Executivo,Site,3.0,2.0
431,Segunda,Standard,App,6.0,4.0
432,Quarta,Suíte,App,,3.0
433,Quarta,Suíte,Agência,7.0,5.0
434,Domingo,Executivo,Site,7.0,4.0
435,Terça,Luxo,App,2.0,1.0
436,Sexta,Luxo,Site,7.0,4.0
437,Quarta,Luxo,Site,1.0,5.0
438,Terça,Luxo,Telefone,6.0,3.0
439,Quarta,Standard,Site,7.0,5.0
440,Quarta,Executivo,Site,7.0,3.0
441,Domingo,Executivo,Agência,5.0,4.0
442,Sábado,Executivo,Telefone,5.0,4.0
443,Domingo,Luxo,App,3.0,4.0
444,Quinta,Standard,Site,7.0,4.0
445,Quinta,Standard,App,3.0,
446,Domingo,Luxo,Site,5.0,3.0
447,Sexta,Executivo,App,7.0,4.0
448,Sábado,Standard,Site,2.0,1.0
449,Domingo,Standard,Site,4.0,5.0
450,Terça,Luxo,App,3.0,4.0
451,Domingo,Luxo,App,5.0,5.0
452,Sexta,Executivo,Site,3.0,4.0
453,Domingo,Suíte,Telefone,7.0,4.0
454,Sábado,Suíte,Telefone,5.0,5.0
455,Sábado,Luxo,App,7.0,4.0
456,Quarta,Executivo,Agência,2.0,5.0
457,Quinta,Suíte,Site,1.0,3.0
458,Sexta,Luxo,Telefone,6.0,3.0
459,Domingo,Standard,Site,,4.0
460,Sábado,Suíte,Site,4.0,5.0
461,Quinta,Executivo,Site,1.0,5.0
462,Segunda,Standard,Agência,1.0,3.0
463,Sexta,Suíte,Telefone,1.0,4.0
464,Sexta,Executivo,Agência,6.0,4.0
465,Quarta,Standard,Site,6.0,4.0
466,Quinta,Standard,App,3.0,3.0
467,Terça,Luxo,Telefone,7.0,3.0
468,Sábado,Executivo,App,7.0,5.0
469,Quarta,Standard,Site,1.0,5.0
470,Quarta,Executivo,Site,4.0,5.0
471,Quinta,Executivo,App,6.0,5.0
472,Quinta,Suíte,Site,3.0,4.0
473,Domingo,Executivo,App,3.0,4.0
474,Quinta,Standard,Site,4.0,4.0
475,Quarta,Standard,App,7.0,3.0
476,Domingo,Standard,Telefone,5.0,1.0
477,Segunda,Luxo,App,7.0,4.0
478,Segunda,Executivo,App,4.0,3.0
479,Segunda,Executivo,Telefone,1.0,4.0
480,Sexta,Executivo,Site,2.0,5.0
481,Segunda,Luxo,Telefone,4.0,
482,Terça,Luxo,App,3.0,4.0
483,Domingo,Luxo,Site,1.0,4.0
484,Sábado,Luxo,Telefone,1.0,5.0
485,Sábado,Luxo,Site,5.0,4.0
486,Sexta,Standard,Agência,4.0,3.0
487,Terça,Suíte,Telefone,7.0,5.0
488,Sábado,Standard,Agência,2.0,5.0
489,Sábado,Standard,Telefone,3.0,1.0
490,Sábado,Suíte,Site,6.0,4.0
491,Domingo,Executivo,App,1.0,5.0
492,Segunda,Standard,App,4.0,5.0
493,Quinta,Executivo,Site,7.0,4.0
494,Sábado,Luxo,Site,5.0,4.0
495,Segunda,Suíte,App,7.0,2.0
496,Segunda,Suíte,Telefone,2.0,4.0
497,Sábado,Luxo,Telefone,7.0,5.0
498,Domingo,Standard,Site,3.0,4.0
499,Quinta,Suíte,Telefone,3.0,3.0
500,Quarta,Executivo,Site,3.0,4.0
