Ano,Estado,Cultura,Clima,Area_Produtiva_ha,Producao_Toneladas
2021,MG,Algodão,Subtropical,8147.9,
2022,RS,Algodão,Tropical,6654.1,38060.9
2021,MG,SOJA,Subtropical,9753.17,84663.37
2019,SP,Arroz,Equatorial,9417.75,87193.57
2020,GO,Café,Tropical,821.82,91467.19
2024,GO,Algodão,Subtropical,6646.64,49926.66
2021,GO,Milho,Tropical,7441.11,114046.01
2020,GO,Soja,Equatorial,4976.23,4363.83
2021,GO,Café,Equatorial,7984.97,118770.91
2020,MG,Soja,Tropical,2708.45,16576.73
2024,PR,Algodão,Tropical,130.8,18005.17
2021,MG,Soja,Equatorial,5043.5,51597.09
2022,PR,Milho,Tropical,2111.44,98299.36
2023,PR,Soja,Tropical,7407.82,22123.63
2021,RS,Soja,Equatorial,7592.53,57414.5
2021,PR,Café,Equatorial,,86452.73
2024,MG,Soja,Subtropical,1553.7,37429.22
2023,MG,Arroz,Equatorial,1997.03,2844.82
2021,SP,Soja,Subtropical,2023.5,105563.38
2022,RS,Café,Subtropical,234.23,95188.52
2021,PR,Milho,Equatorial,4408.72,26355.2
2020,RS,Algodão,Equatorial,272.25,35811.9
2018,SP,Milho,Equatorial,1893.27,109949.85
2019,GO,Algodão,Tropical,5404.22,
2021,RS,Milho,Subtropical,7878.16,35054.49
