id_participante,genero,idade,evento,dia_semana,avaliacao_evento
8150,Feminino,36,Teatro,Segunda,4.0
8151,Outro,32,Cinema,Sexta,3.0
8152,Feminino,54,Teatro,Sexta,2.0
8153,Outro,61,Exposição,Quarta,4.0
8154,Feminino,57,Show,Domingo,4.0
8155,Feminino,49,Teatro,Segunda,4.0
8156,Feminino,49,Exposição,Sábado,2.0
8157,Feminino,55,Show,Sábado,5.0
8158,Outro,51,Show,Domingo,5.0
8159,Outro,52,Festival,Quarta,5.0
8160,Outro,33,Show,Quinta,5.0
8161,Feminino,37,Cinema,Sexta,3.0
8162,Feminino,27,Festival,Quinta,3.0
8163,Feminino,62,Teatro,Sábado,4.0
8164,Masculino,38,Teatro,Segunda,2.0
8165,Masculino,50,Teatro,Domingo,1.0
8166,Feminino,45,Show,Sábado,
8167,Feminino,18,Show,Quarta,5.0
8168,Masculino,43,Festival,Domingo,5.0
8169,Feminino,31,Teatro,Quarta,5.0
8170,Masculino,17,Festival,Quinta,4.0
8171,Outro,41,Festival,Terça,4.0
8172,Masculino,48,Cinema,Sábado,5.0
8173,Masculino,51,Festival,Segunda,4.0
8174,Feminino,29,Show,Sexta,4.0
8175,Feminino,48,Exposição,Sexta,3.0
8176,Feminino,62,Exposição,Terça,5.0
8177,Masculino,58,Teatro,Quinta,4.0
8178,Feminino,52,Show,Quinta,3.0
8179,Outro,31,Teatro,Sábado,4.0
8180,Masculino,17,Cinema,Sexta,4.0
8181,Outro,37,Festival,Sábado,4.0
8182,Masculino,60,Show,Sexta,3.0
8183,Masculino,60,Cinema,Sexta,5.0
8184,Outro,38,Festival,Segunda,4.0
8185,Outro,67,Show,Segunda,1.0
8186,Outro,67,Exposição,Quarta,5.0
8187,Masculino,66,Cinema,Sábado,3.0
8188,Masculino,43,Teatro,Terça,1.0
8189,Feminino,33,Exposição,Domingo,4.0
8190,Outro,19,Show,Terça,4.0
8191,Feminino,31,Exposição,Quinta,5.0
8192,Outro,69,Cinema,Segunda,5.0
8193,Feminino,62,Cinema,Quarta,1.0
8194,Outro,68,Festival,Domingo,5.0
8195,Outro,25,Festival,Sábado,4.0
8196,Feminino,34,Exposição,Domingo,4.0
8197,Masculino,16,Cinema,Quarta,2.0
8198,Masculino,34,Festival,Quarta,4.0
8199,Feminino,45,Exposição,Sábado,3.0
8200,Outro,45,Teatro,Quinta,4.0
8201,Feminino,39,Exposição,Sexta,3.0
8202,Feminino,23,Festival,Domingo,4.0
8203,Masculino,32,Teatro,Terça,5.0
8204,Outro,45,Festival,Sexta,5.0
8205,Masculino,49,Show,Sábado,5.0
8206,Feminino,59,Festival,Segunda,4.0
8207,Masculino,37,Exposição,Quinta,4.0
8208,Masculino,34,Cinema,Quinta,2.0
8209,Masculino,53,Teatro,Domingo,4.0
8210,Masculino,67,Cinema,Quinta,5.0
8211,Feminino,40,Exposição,Segunda,1.0
8212,Feminino,49,Teatro,Quarta,3.0
8213,Outro,37,Exposição,Quarta,5.0
8214,Feminino,42,Cinema,Quarta,3.0
8215,Feminino,32,Cinema,Sábado,3.0
8216,Outro,45,Cinema,Sexta,3.0
8217,Masculino,50,Show,Sexta,2.0
8218,Feminino,60,Exposição,Quinta,5.0
8219,Outro,23,Cinema,Quinta,2.0
8220,Feminino,24,Cinema,Domingo,4.0
8221,Masculino,19,Cinema,Quinta,2.0
8222,Outro,22,Festival,Sábado,4.0
8223,Outro,36,Show,Domingo,4.0
8224,Feminino,42,Exposição,Quarta,5.0
8225,Feminino,40,Show,Terça,4.0
8226,Outro,57,Show,Domingo,2.0
8227,Feminino,23,Cinema,Quarta,2.0
8228,Feminino,44,Teatro,Domingo,3.0
8229,Masculino,64,Show,Quinta,4.0
8230,Masculino,17,Teatro,Domingo,5.0
8231,Outro,69,Festival,Sexta,3.0
8232,Masculino,26,Exposição,Sábado,3.0
8233,Masculino,30,Festival,Sábado,3.0
8234,Outro,49,Teatro,Segunda,4.0
8235,Outro,34,Teatro,Quarta,4.0
8236,Feminino,56,Cinema,Sexta,4.0
8237,Outro,61,Show,Sábado,5.0
8238,Feminino,47,Exposição,Segunda,4.0
8239,Outro,54,Festival,Segunda,3.0
8240,Outro,41,Festival,Quinta,1.0
8241,Feminino,56,Teatro,Domingo,1.0
8242,Outro,56,Festival,Quarta,3.0
8243,Masculino,58,Cinema,Quarta,5.0
8244,Feminino,46,Cinema,Domingo,5.0
8245,Masculino,57,Exposição,Sexta,5.0
8246,Masculino,62,Cinema,Domingo,
8247,Outro,59,Festival,Quinta,3.0
8248,Feminino,47,Exposição,Terça,4.0
8249,Outro,63,Show,Domingo,5.0
8250,Outro,50,Exposição,Terça,1.0
8251,Feminino,48,Cinema,Quarta,4.0
8252,Masculino,52,Festival,Quarta,3.0
8253,Outro,64,Show,Segunda,3.0
8254,Outro,65,Exposição,Sexta,5.0
8255,Feminino,54,Exposição,Quinta,5.0
8256,Masculino,25,Teatro,Quarta,4.0
8257,Outro,60,Cinema,Terça,
8258,Outro,31,Cinema,Sábado,4.0
8259,Feminino,51,Festival,Sábado,4.0
8260,Feminino,53,Show,Sexta,2.0
8261,Masculino,16,Teatro,Sexta,3.0
8262,Masculino,34,Exposição,Terça,3.0
8263,Masculino,35,Show,Quinta,3.0
8264,Feminino,28,Cinema,Domingo,4.0
8265,Outro,19,Show,Domingo,3.0
8266,Masculino,54,Exposição,Segunda,2.0
8267,Masculino,35,Festival,Sábado,4.0
8268,Masculino,40,Teatro,Quinta,5.0
8269,Masculino,63,Festival,Quarta,5.0
8270,Outro,50,Show,Segunda,4.0
8271,Feminino,16,Exposição,Terça,1.0
8272,Feminino,20,Exposição,Domingo,5.0
8273,Feminino,52,Cinema,Domingo,5.0
8274,Outro,46,Exposição,Domingo,4.0
8275,Feminino,48,Exposição,Segunda,4.0
8276,Outro,47,Exposição,Sábado,4.0
8277,Feminino,37,Exposição,Sábado,4.0
8278,Masculino,29,Teatro,Terça,4.0
8279,Outro,25,Festival,Quinta,3.0
8280,Feminino,67,Show,Domingo,4.0
8281,Masculino,62,Festival,Segunda,5.0
8282,Outro,60,Show,Terça,4.0
8283,Outro,64,Teatro,Quarta,5.0
8284,Masculino,59,Teatro,Quarta,
8285,Masculino,48,Show,Sexta,
8286,Masculino,48,Festival,Quarta,2.0
8287,Masculino,40,Show,Quarta,5.0
8288,Outro,24,Show,Domingo,3.0
8289,Masculino,18,Show,Domingo,3.0
8290,Feminino,36,Exposição,Quinta,4.0
8291,Outro,33,Festival,Sexta,3.0
8292,Outro,37,Festival,Terça,5.0
8293,Feminino,51,Exposição,Segunda,5.0
8294,Feminino,62,Teatro,Segunda,5.0
8295,Outro,57,Festival,Domingo,4.0
8296,Feminino,30,Cinema,Terça,4.0
8297,Feminino,26,Festival,Quarta,4.0
8298,Masculino,29,Festival,Terça,4.0
8299,Masculino,58,Show,Terça,2.0
8300,Outro,18,Teatro,Quarta,5.0
8301,Outro,17,Festival,Sexta,1.0
8302,Feminino,48,Festival,Quinta,5.0
8303,Feminino,56,Exposição,Segunda,5.0
8304,Feminino,69,Show,Quarta,1.0
8305,Feminino,67,Show,Sexta,5.0
8306,Feminino,27,Festival,Sábado,5.0
8307,Masculino,58,Show,Terça,5.0
8308,Outro,48,Festival,Segunda,4.0
8309,Outro,46,Teatro,Domingo,2.0
8310,Feminino,16,Festival,Segunda,2.0
8311,Outro,52,Teatro,Domingo,4.0
8312,Feminino,52,Show,Sexta,
8313,Outro,27,Exposição,Quarta,1.0
8314,Masculino,40,Festival,Segunda,3.0
8315,Masculino,38,Cinema,Domingo,1.0
8316,Masculino,63,Show,Domingo,
8317,Masculino,40,Teatro,Domingo,4.0
8318,Masculino,38,Cinema,Quarta,3.0
8319,Masculino,52,Cinema,Sexta,5.0
8320,Outro,18,Show,Domingo,2.0
8321,Masculino,19,Teatro,Domingo,1.0
8322,Outro,60,Teatro,Terça,1.0
8323,Masculino,67,Festival,Quarta,4.0
8324,Outro,48,Show,Segunda,5.0
8325,Outro,32,Show,Segunda,4.0
8326,Feminino,52,Festival,Sexta,3.0
8327,Outro,35,Exposição,Terça,4.0
8328,Outro,19,Festival,Segunda,4.0
8329,Outro,39,Show,Sábado,4.0
8330,Masculino,59,Exposição,Segunda,4.0
8331,Masculino,25,Show,Sexta,1.0
8332,Masculino,55,Cinema,Terça,
8333,Masculino,22,Show,Sábado,2.0
8334,Feminino,25,Festival,Quinta,4.0
8335,Feminino,44,Exposição,Sábado,3.0
8336,Masculino,31,Cinema,Sábado,1.0
8337,Outro,56,Cinema,Quinta,3.0
8338,Feminino,19,Cinema,Quinta,5.0
8339,Outro,36,Exposição,Quarta,4.0
8340,Masculino,33,Teatro,Segunda,5.0
8341,Feminino,39,Exposição,Domingo,4.0
8342,Masculino,21,Cinema,Domingo,4.0
8343,Outro,66,Festival,Domingo,4.0
8344,Feminino,27,Festival,Segunda,4.0
8345,Outro,57,Teatro,Domingo,5.0
8346,Outro,19,Cinema,Sexta,2.0
8347,Masculino,17,Show,Quarta,2.0
8348,Feminino,61,Festival,Quinta,5.0
8349,Masculino,23,Exposição,Quarta,5.0
8350,Feminino,31,Teatro,Segunda,2.0
8351,Feminino,59,Show,Domingo,4.0
8352,Outro,20,Festival,Quarta,5.0
8353,Feminino,36,Cinema,Terça,4.0
8354,Masculino,39,Cinema,Sexta,3.0
8355,Masculino,34,Show,Quarta,4.0
8356,Masculino,67,Show,Sexta,4.0
8357,Outro,19,Festival,Quinta,
8358,Feminino,49,Show,Segunda,4.0
8359,Feminino,21,Teatro,Quinta,4.0
8360,Masculino,40,Exposição,Sexta,4.0
8361,Outro,50,Cinema,Terça,4.0
8362,Feminino,57,Exposição,Sexta,1.0
8363,Masculino,66,Cinema,Sexta,5.0
8364,Feminino,36,Exposição,Domingo,4.0
8365,Masculino,16,Show,Quinta,4.0
8366,Masculino,43,Teatro,Segunda,4.0
8367,Feminino,58,Cinema,Domingo,3.0
8368,Masculino,43,Cinema,Terça,5.0
8369,Outro,18,Cinema,Domingo,5.0
8370,Masculino,49,Cinema,Quarta,5.0
8371,Outro,30,Cinema,Quarta,4.0
8372,Masculino,60,Cinema,Domingo,
8373,Feminino,47,Cinema,Domingo,3.0
8374,Feminino,31,Teatro,Segunda,5.0
8375,Masculino,29,Show,Quarta,4.0
8376,Outro,29,Cinema,Terça,3.0
8377,Outro,46,Teatro,Sexta,5.0
8378,Masculino,16,Festival,Quinta,1.0
8379,Feminino,65,Teatro,Quinta,5.0
8380,Masculino,27,Festival,Sábado,5.0
8381,Masculino,47,Festival,Sábado,3.0
8382,Feminino,27,Festival,Terça,4.0
8383,Masculino,60,Exposição,Domingo,5.0
8384,Outro,22,Cinema,Sábado,5.0
8385,Masculino,32,Cinema,Quarta,3.0
8386,Masculino,46,Cinema,Segunda,
8387,Outro,38,Cinema,Sexta,5.0
8388,Outro,24,Cinema,Terça,3.0
8389,Outro,43,Show,Quinta,4.0
8390,Feminino,66,Teatro,Sábado,4.0
8391,Outro,59,Teatro,Domingo,2.0
8392,Outro,21,Teatro,Domingo,
8393,Feminino,64,Cinema,Segunda,4.0
8394,Outro,29,Festival,Quarta,4.0
8395,Masculino,27,Teatro,Sexta,
8396,Outro,34,Teatro,Sábado,4.0
8397,Outro,63,Festival,Quarta,4.0
8398,Feminino,30,Show,Quarta,4.0
8399,Feminino,23,Festival,Terça,4.0
8400,Feminino,52,Cinema,Quarta,2.0
8401,Feminino,63,Cinema,Segunda,5.0
8402,Masculino,24,Cinema,Quarta,5.0
8403,Outro,52,Festival,Domingo,
8404,Masculino,16,Teatro,Sexta,5.0
8405,Feminino,59,Festival,Sábado,2.0
8406,Outro,42,Festival,Terça,1.0
8407,Outro,68,Show,Sexta,5.0
8408,Masculino,66,Cinema,Terça,4.0
8409,Outro,40,Show,Segunda,1.0
8410,Outro,64,Cinema,Quarta,3.0
8411,Masculino,25,Exposição,Quinta,4.0
8412,Outro,64,Show,Quinta,4.0
8413,Feminino,31,Exposição,Sexta,4.0
8414,Outro,48,Festival,Domingo,3.0
8415,Feminino,33,Teatro,Terça,4.0
8416,Masculino,69,Festival,Sexta,3.0
8417,Masculino,56,Exposição,Segunda,3.0
8418,Masculino,58,Show,Sábado,5.0
8419,Feminino,67,Show,Quarta,5.0
8420,Feminino,58,Cinema,Terça,5.0
8421,Masculino,35,Exposição,Sexta,4.0
8422,Outro,28,Teatro,Quarta,4.0
8423,Masculino,28,Festival,Terça,4.0
8424,Feminino,61,Cinema,Sábado,4.0
8425,Outro,30,Teatro,Domingo,4.0
8426,Outro,50,Show,Quinta,3.0
8427,Outro,46,Cinema,Sexta,5.0
8428,Feminino,17,Exposição,Terça,5.0
8429,Feminino,21,Show,Sexta,4.0
8430,Feminino,68,Exposição,Sexta,4.0
8431,Outro,26,Show,Segunda,4.0
8432,Masculino,69,Cinema,Terça,3.0
8433,Outro,67,Show,Sábado,4.0
8434,Outro,56,Festival,Sábado,3.0
8435,Feminino,16,Exposição,Sábado,3.0
8436,Outro,52,Teatro,Segunda,5.0
8437,Feminino,41,Cinema,Segunda,2.0
8438,Feminino,47,Exposição,Segunda,4.0
8439,Outro,34,Cinema,Terça,3.0
8440,Outro,31,Exposição,Quarta,4.0
8441,Outro,32,Festival,Domingo,5.0
8442,Outro,62,Cinema,Terça,4.0
8443,Feminino,69,Festival,Quinta,3.0
8444,Outro,25,Festival,Terça,5.0
8445,Masculino,54,Exposição,Sexta,3.0
8446,Feminino,69,Teatro,Domingo,4.0
8447,Outro,23,Teatro,Sexta,2.0
8448,Outro,38,Cinema,Terça,4.0
8449,Masculino,32,Cinema,Segunda,4.0
8450,Outro,24,Exposição,Terça,4.0
8451,Feminino,26,Show,Domingo,4.0
8452,Feminino,19,Show,Quinta,3.0
8453,Outro,53,Festival,Domingo,5.0
8454,Masculino,65,Cinema,Quinta,1.0
8455,Outro,55,Show,Sábado,4.0
8456,Masculino,25,Festival,Sexta,3.0
8457,Feminino,64,Cinema,Sábado,3.0
8458,Outro,31,Exposição,Quinta,5.0
8459,Masculino,51,Show,Sábado,2.0
8460,Feminino,51,Festival,Terça,4.0
8461,Outro,66,Festival,Quinta,4.0
8462,Masculino,55,Show,Segunda,4.0
8463,Feminino,48,Teatro,Sexta,1.0
8464,Outro,18,Festival,Quarta,4.0
8465,Feminino,58,Teatro,Quarta,2.0
8466,Feminino,57,Festival,Domingo,3.0
8467,Feminino,16,Exposição,Quinta,5.0
8468,Feminino,52,Show,Segunda,2.0
8469,Masculino,52,Festival,Quinta,4.0
8470,Masculino,20,Teatro,Domingo,1.0
8471,Masculino,43,Cinema,Domingo,4.0
8472,Masculino,19,Teatro,Segunda,3.0
8473,Outro,41,Cinema,Quinta,4.0
8474,Feminino,42,Exposição,Segunda,3.0
8475,Outro,55,Cinema,Quarta,3.0
8476,Outro,19,Show,Domingo,4.0
8477,Masculino,19,Show,Sexta,3.0
8478,Outro,61,Show,Segunda,4.0
8479,Outro,63,Festival,Quinta,5.0
8480,Outro,37,Teatro,Sábado,5.0
8481,Masculino,26,Show,Domingo,1.0
8482,Outro,50,Cinema,Segunda,4.0
8483,Outro,37,Festival,Quarta,1.0
8484,Feminino,50,Festival,Segunda,1.0
8485,Outro,28,Teatro,Sexta,2.0
8486,Feminino,63,Show,Quarta,4.0
8487,Outro,54,Festival,Quinta,3.0
8488,Feminino,69,Show,Terça,5.0
8489,Outro,16,Cinema,Domingo,3.0
8490,Feminino,53,Teatro,Sexta,4.0
8491,Masculino,29,Show,Quarta,4.0
8492,Feminino,36,Exposição,Terça,4.0
8493,Outro,27,Teatro,Quinta,4.0
8494,Outro,37,Teatro,Terça,4.0
8495,Masculino,25,Festival,Quinta,4.0
8496,Outro,65,Exposição,Quinta,5.0
8497,Outro,58,Exposição,Terça,4.0
8498,Outro,66,Teatro,Quinta,3.0
8499,Masculino,24,Exposição,Quinta,2.0
