Produto,Região,Categoria,Quantidade,Valor_Unitario,Data_Venda
Produto_4,Nordeste,Roupas,40,,2024-12-20
Produto_4,Nordeste,Móveis,24,200.0,2024-09-08
Produto_10,Sul,Eletrônicos,27,490.0,2024-12-11
Produto_11,Norte,Alimentos,6,410.0,2024-07-23
Produto_11,Nordeste,Alimentos,40,140.0,2024-08-22
Produto_5,Nordeste,Móveis,31,420.0,2025-01-01
Produto_12,Sudeste,Eletrônicos,46,220.0,2025-01-28
Produto_16,Centro-Oeste,Eletrônicos,32,220.0,2025-01-11
Produto_14,Centro-Oeste,Roupas,5,60.0,2024-09-08
Produto_13,Sul,Eletrônicos,5,90.0,2024-08-22
Produto_5,Nordeste,Eletrônicos,49,350.0,2024-12-08
Produto_6,Sul,Eletrônicos,49,130.0,2024-10-05
Produto_2,Sul,Brinquedos,24,210.0,2024-10-24
Produto_11,Norte,Móveis,35,100.0,2024-08-20
Produto_10,Nordeste,Brinquedos,15,140.0,2024-07-02
Produto_8,Nordeste,Eletrônicos,24,210.0,2024-09-02
Produto_14,Centro-Oeste,Roupas,13,240.0,2024-12-29
Produto_8,Norte,Eletrônicos,31,350.0,2024-11-29
Produto_16,Nordeste,Alimentos,3,380.0,2024-12-17
Produto_9,Nordeste,Eletrônicos,45,60.0,2025-01-05
Produto_16,Nordeste,Roupas,31,80.0,2024-08-20
Produto_16,Norte,Móveis,7,40.0,2024-10-21
Produto_18,Sudeste,Roupas,22,70.0,2024-12-24
Produto_18,Nordeste,Roupas,5,230.0,2025-01-21
Produto_5,Norte,Roupas,11,290.0,2025-01-10
Produto_16,Sul,Roupas,5,440.0,2024-08-26
Produto_17,Sul,Roupas,25,110.0,2024-08-20
Produto_8,Sudeste,Alimentos,9,420.0,2024-07-30
Produto_18,Sudeste,Brinquedos,20,490.0,2024-12-02
Produto_21,Norte,Eletrônicos,11,420.0,2024-08-26
Produto_8,Centro-Oeste,Móveis,25,,2024-11-02
Produto_4,Nordeste,Móveis,28,260.0,2024-08-24
Produto_6,Sudeste,Roupas,49,360.0,2024-12-26
Produto_13,Centro-Oeste,Brinquedos,4,80.0,2024-07-15
Produto_19,Sul,Móveis,5,480.0,2024-07-13
Produto_20,Sudeste,Eletrônicos,42,330.0,2024-10-28
Produto_20,Norte,Brinquedos,22,310.0,2024-11-26
Produto_21,Sudeste,Eletrônicos,22,470.0,2024-11-09
Produto_15,Nordeste,Alimentos,46,490.0,2024-08-31
Produto_8,Sul,Eletrônicos,26,260.0,2024-07-08
Produto_7,Sudeste,Roupas,28,150.0,2024-08-13
Produto_9,Centro-Oeste,Alimentos,43,320.0,2024-11-06
Produto_13,Nordeste,Eletrônicos,3,420.0,2024-12-23
Produto_10,Sudeste,Eletrônicos,19,240.0,2025-01-13
Produto_11,Centro-Oeste,Brinquedos,9,230.0,2025-01-18
Produto_7,Nordeste,Brinquedos,34,250.0,2024-08-12
Produto_12,Sul,Alimentos,1,220.0,2024-08-05
Produto_20,Sudeste,Móveis,34,480.0,2024-12-04
Produto_11,Sul,Móveis,35,450.0,2024-10-22
Produto_19,Norte,Eletrônicos,4,90.0,2025-01-10
Produto_9,Norte,Roupas,45,20.0,2025-01-20
Produto_7,Centro-Oeste,Móveis,6,230.0,2024-10-08
Produto_11,Centro-Oeste,Roupas,5,480.0,2024-08-25
Produto_19,Norte,Roupas,10,270.0,2024-07-21
Produto_12,Sudeste,Móveis,20,20.0,2025-01-03
Produto_11,Norte,Eletrônicos,15,320.0,2024-09-11
Produto_7,Nordeste,Eletrônicos,12,290.0,2024-10-21
Produto_16,Sul,Móveis,30,280.0,2024-09-08
Produto_9,Sul,Eletrônicos,41,330.0,2025-01-03
Produto_4,Centro-Oeste,Roupas,31,90.0,2024-10-25
Produto_9,Centro-Oeste,Eletrônicos,25,270.0,2024-11-03
Produto_21,Nordeste,Brinquedos,22,90.0,2024-10-03
Produto_13,Sudeste,Móveis,35,30.0,2025-01-21
Produto_17,Norte,Eletrônicos,40,nan,2024-10-25
Produto_4,Sudeste,Alimentos,17,40.0,2024-12-12
Produto_10,Sul,Móveis,17,250.0,2024-10-21
Produto_11,Nordeste,Móveis,33,440.0,2024-11-26
Produto_13,Nordeste,Roupas,23,460.0,2024-09-11
Produto_8,Centro-Oeste,Móveis,46,360.0,2024-07-17
Produto_17,Sudeste,Eletrônicos,39,430.0,2025-01-14
Produto_14,Sudeste,Brinquedos,7,270.0,2024-12-31
Produto_17,Sudeste,Alimentos,33,440.0,2025-01-15
Produto_21,Centro-Oeste,Brinquedos,20,190.0,2024-09-23
Produto_14,Norte,Eletrônicos,46,230.0,2024-09-11
Produto_5,Nordeste,Brinquedos,44,380.0,2024-09-17
Produto_16,Sul,Brinquedos,24,260.0,2025-01-09
Produto_9,Norte,Brinquedos,18,110.0,2025-01-17
Produto_5,Centro-Oeste,Eletrônicos,46,350.0,2024-12-27
Produto_19,Sudeste,Alimentos,49,330.0,2025-01-31
Produto_10,Centro-Oeste,Móveis,46,,2024-08-07
Produto_6,Sul,Roupas,1,50.0,2024-10-14
Produto_20,Sul,Alimentos,15,280.0,2024-11-18
Produto_18,Centro-Oeste,Roupas,46,110.0,2025-01-22
Produto_13,Sul,Alimentos,42,20.0,2024-10-15
Produto_11,Norte,Roupas,12,180.0,2024-07-22
Produto_19,Sul,Eletrônicos,4,490.0,2024-08-28
Produto_10,Sul,Móveis,17,500.0,2025-01-06
Produto_12,Centro-Oeste,Roupas,21,330.0,2024-07-06
Produto_7,Sul,Alimentos,31,160.0,2024-10-27
Produto_8,Sudeste,Alimentos,9,400.0,2024-08-02
Produto_11,Sudeste,Móveis,6,440.0,2024-07-30
Produto_6,Centro-Oeste,Roupas,2,erro,2025-01-06
Produto_5,Nordeste,Eletrônicos,47,50.0,2024-07-14
Produto_2,Centro-Oeste,Eletrônicos,23,440.0,2024-11-28
Produto_5,Sul,Eletrônicos,48,20.0,2025-01-11
Produto_9,Sul,Alimentos,49,380.0,2024-11-19
Produto_6,Sul,Móveis,40,270.0,2024-10-28
Produto_14,Centro-Oeste,Eletrônicos,21,210.0,2024-12-16
Produto_12,Norte,Brinquedos,39,120.0,2025-01-27
Produto_19,Nordeste,Móveis,40,350.0,2024-08-27
Produto_6,Sul,Roupas,10,nan,2024-07-22
Produto_14,Centro-Oeste,Móveis,25,70.0,2024-08-21
Produto_18,Nordeste,Alimentos,41,460.0,2024-11-21
Produto_17,Centro-Oeste,Móveis,7,230.0,2024-07-22
Produto_18,Sul,Roupas,29,260.0,2024-08-10
Produto_2,Centro-Oeste,Roupas,5,70.0,2024-08-09
Produto_12,Sul,Roupas,37,290.0,2024-08-10
Produto_17,Sudeste,Brinquedos,31,70.0,2025-01-20
Produto_15,Centro-Oeste,Móveis,44,240.0,2024-12-16
Produto_7,Sul,Móveis,30,190.0,2024-08-19
Produto_11,Sudeste,Brinquedos,1,190.0,2025-01-27
Produto_9,Centro-Oeste,Alimentos,32,110.0,2025-01-30
Produto_5,Sul,Alimentos,33,470.0,2025-01-07
Produto_21,Sudeste,Roupas,40,270.0,2024-09-12
Produto_9,Centro-Oeste,Brinquedos,8,220.0,2024-12-26
Produto_14,Centro-Oeste,Eletrônicos,45,,2025-01-25
Produto_10,Nordeste,Alimentos,45,430.0,2024-12-22
Produto_15,Nordeste,Eletrônicos,39,430.0,2025-01-12
Produto_16,Sul,Alimentos,14,370.0,2024-09-07
Produto_15,Nordeste,Eletrônicos,40,290.0,2024-11-23
Produto_14,Sul,Móveis,21,50.0,2024-08-26
Produto_7,Norte,Brinquedos,47,390.0,2024-12-02
Produto_15,Sul,Móveis,5,350.0,2024-09-29
Produto_13,Norte,Brinquedos,43,260.0,2024-07-16
Produto_20,Sudeste,Alimentos,13,50.0,2024-08-24
Produto_6,Sul,Móveis,42,340.0,2024-07-20
Produto_5,Sudeste,Móveis,36,60.0,2024-11-26
Produto_7,Nordeste,Móveis,27,150.0,2025-01-11
Produto_11,Sul,Móveis,3,140.0,2024-08-13
Produto_2,Sul,Eletrônicos,20,450.0,2024-07-13
Produto_9,Centro-Oeste,Brinquedos,31,190.0,2024-10-29
Produto_4,Norte,Alimentos,13,230.0,2024-08-27
Produto_16,Nordeste,Móveis,42,,2024-10-21
Produto_17,Sudeste,Roupas,10,350.0,2024-12-01
Produto_13,Norte,Alimentos,18,40.0,2024-11-04
Produto_15,Sul,Eletrônicos,36,450.0,2024-09-28
Produto_5,Sul,Roupas,30,450.0,2024-09-18
Produto_20,Centro-Oeste,Brinquedos,39,110.0,2025-01-15
Produto_17,Sudeste,Móveis,14,250.0,2024-09-25
Produto_2,Sudeste,Roupas,33,190.0,2024-12-09
Produto_11,Sul,Alimentos,17,40.0,2024-09-16
Produto_3,Norte,Móveis,43,330.0,2024-11-03
Produto_4,Sul,Brinquedos,22,320.0,2024-07-13
Produto_7,Sul,Brinquedos,19,90.0,2025-01-03
Produto_3,Sul,Móveis,40,470.0,2024-07-11
Produto_21,Sudeste,Roupas,35,410.0,2024-09-03
Produto_16,Sudeste,Brinquedos,48,100.0,2024-08-07
Produto_9,Norte,Móveis,13,30.0,2024-08-24
Produto_17,Norte,Móveis,15,340.0,2024-11-02
Produto_14,Norte,Brinquedos,19,170.0,2024-11-24
Produto_14,Sul,Móveis,33,10.0,2024-08-13
Produto_7,Nordeste,Móveis,41,370.0,2024-08-04
Produto_6,Nordeste,Eletrônicos,12,410.0,2024-09-03
Produto_3,Sul,Alimentos,14,450.0,2024-07-17
Produto_16,Centro-Oeste,Alimentos,7,200.0,2024-08-31
Produto_20,Nordeste,Eletrônicos,40,340.0,2024-12-17
Produto_9,Sul,Móveis,6,270.0,2024-11-07
Produto_19,Sul,Brinquedos,40,210.0,2024-10-13
Produto_11,Nordeste,Móveis,34,460.0,2024-07-01
Produto_9,Sul,Brinquedos,37,100.0,2024-11-22
Produto_19,Sul,Brinquedos,15,erro,2025-01-31
Produto_12,Nordeste,Roupas,39,330.0,2024-08-13
Produto_20,Centro-Oeste,Eletrônicos,10,500.0,2024-12-24
Produto_4,Centro-Oeste,Móveis,5,410.0,2025-01-24
Produto_3,Sudeste,Brinquedos,35,220.0,2024-12-10
Produto_6,Nordeste,Brinquedos,7,270.0,2024-07-24
Produto_10,Centro-Oeste,Roupas,43,390.0,2024-07-16
Produto_14,Sudeste,Eletrônicos,49,360.0,2025-01-20
Produto_12,Norte,Brinquedos,47,460.0,2025-01-16
Produto_16,Norte,Alimentos,16,150.0,2024-10-06
Produto_15,Sudeste,Roupas,45,400.0,2025-01-22
Produto_17,Norte,Roupas,28,340.0,2024-10-15
Produto_4,Sudeste,Brinquedos,43,390.0,2024-11-26
Produto_13,Nordeste,Alimentos,44,500.0,2024-08-06
Produto_20,Centro-Oeste,Móveis,3,280.0,2024-08-23
Produto_8,Centro-Oeste,Brinquedos,48,70.0,2024-10-26
Produto_4,Nordeste,Móveis,20,340.0,2024-10-09
Produto_19,Sudeste,Roupas,1,470.0,2024-12-04
Produto_18,Sul,Eletrônicos,18,370.0,2024-10-27
Produto_20,Norte,Alimentos,36,50.0,2025-01-16
Produto_4,Sudeste,Móveis,42,40.0,2024-11-16
Produto_11,Nordeste,Brinquedos,4,400.0,2024-10-24
Produto_9,Sul,Roupas,41,480.0,2024-12-09
Produto_4,Nordeste,Móveis,16,400.0,2024-09-05
Produto_14,Centro-Oeste,Roupas,4,420.0,2024-08-08
Produto_17,Sul,Brinquedos,19,320.0,2025-01-23
Produto_16,Sudeste,Alimentos,29,60.0,2024-11-12
Produto_14,Centro-Oeste,Eletrônicos,40,20.0,2024-09-25
Produto_7,Sul,Brinquedos,18,180.0,2024-07-25
Produto_5,Norte,Roupas,39,370.0,2024-12-06
Produto_14,Sul,Roupas,2,170.0,2024-11-30
Produto_18,Norte,Roupas,34,160.0,2024-11-05
Produto_11,Norte,Roupas,49,40.0,2024-11-28
Produto_14,Sudeste,Móveis,14,140.0,2024-07-24
Produto_11,Nordeste,Móveis,39,50.0,2024-11-26
Produto_2,Sul,Eletrônicos,44,290.0,2024-08-14
Produto_19,Nordeste,Alimentos,19,240.0,2024-07-09
Produto_6,Sudeste,Eletrônicos,48,80.0,2024-10-16
Produto_2,Norte,Roupas,9,130.0,2024-10-14
Produto_9,Nordeste,Eletrônicos,2,30.0,2024-12-27
Produto_10,Norte,Alimentos,9,390.0,2024-08-01
Produto_10,Norte,Brinquedos,48,190.0,2024-12-22
Produto_4,Sudeste,Móveis,40,380.0,2024-11-03
Produto_4,Sul,Brinquedos,30,380.0,2024-11-26
Produto_4,Norte,Eletrônicos,13,380.0,2024-12-26
Produto_5,Centro-Oeste,Brinquedos,31,230.0,2024-12-29
Produto_21,Sul,Roupas,42,170.0,2024-08-18
Produto_10,Norte,Brinquedos,15,350.0,2025-01-12
Produto_11,Norte,Alimentos,38,140.0,2024-07-27
Produto_18,Sul,Brinquedos,28,270.0,2024-08-28
Produto_17,Sudeste,Móveis,34,310.0,2024-08-02
Produto_11,Sudeste,Alimentos,2,70.0,2024-09-13
Produto_12,Centro-Oeste,Alimentos,3,30.0,2024-07-31
Produto_18,Nordeste,Roupas,30,330.0,2024-09-01
Produto_15,Centro-Oeste,Alimentos,40,450.0,2024-07-03
Produto_12,Sul,Alimentos,16,50.0,2025-01-01
Produto_2,Centro-Oeste,Alimentos,30,60.0,2024-11-10
Produto_5,Nordeste,Móveis,37,320.0,2025-01-08
Produto_16,Sudeste,Roupas,16,,2024-07-22
Produto_7,Nordeste,Roupas,18,300.0,2024-10-23
Produto_13,Sul,Móveis,36,360.0,2024-11-26
Produto_16,Sul,Brinquedos,24,90.0,2024-10-14
Produto_10,Sudeste,Roupas,11,150.0,2024-08-05
Produto_12,Norte,Eletrônicos,32,40.0,2024-11-14
