ID_Venda,Data_Venda,Produto,Região,Quantidade,Valor_Total
89,2024-02-05,Produto_2,Sul,9,1616.56
90,2024-12-31,Produto_1,Centro-Oeste,2,129.92
91,2024-03-27,Produto_3,Sul,9,1127.04
92,2024-10-22,Produto_5,Norte,1,1409.37
93,2024-05-16,Produto_4,Oeste,5,1481.73
94,2024-03-07,Produto_9,Oeste,1,1846.86
95,2024-12-24,Produto_7,Leste,13,144.78
96,2024-03-20,Produto_5,Centro-Oeste,12,29.09
97,2024-02-27,Produto_8,Leste,11,1653.55
98,2024-01-26,Produto_6,Leste,1,58.84
99,2024-07-30,Produto_2,Centro-Oeste,18,133.69
100,2024-11-07,Produto_7,Centro-Oeste,9,916.8
101,2024-09-28,Produto_9,Norte,4,234.77
102,2024-08-19,Produto_5,Sul,1,720.68
103,2024-08-26,Produto_5,Oeste,12,1377.24
104,2024-10-15,Produto_6,Sul,8,1596.0
105,2024-06-05,Produto_3,Norte,15,57.48
106,2024-11-09,Produto_1,Sul,16,154.15
107,2024-05-29,Produto_9,Leste,18,415.36
108,2024-05-21,Produto_1,Leste,1,953.78
109,2024-02-05,Produto_9,Centro-Oeste,10,474.82
110,2024-12-15,Produto_5,Leste,8,1092.52
111,2024-09-28,Produto_4,Norte,5,265.6
112,2024-04-19,Produto_3,Norte,1,1783.55
113,2024-08-17,Produto_6,Norte,6,806.08
114,2024-09-14,Produto_10,Oeste,4,1248.08
115,2024-02-20,Produto_6,Oeste,7,140.78
116,2024-04-26,Produto_6,Sul,16,478.0
117,2024-04-30,Produto_7,Centro-Oeste,8,494.89
118,2024-08-01,Produto_1,Leste,1,676.78
119,2024-11-25,Produto_6,Oeste,8,1881.27
120,2024-09-28,Produto_3,Sul,13,688.34
121,2024-10-23,Produto_3,Norte,9,462.62
122,2024-01-15,Produto_4,Oeste,6,226.05
123,2024-09-04,Produto_2,Leste,7,1520.13
124,2024-05-20,Produto_10,Sul,9,566.04
125,2024-03-21,Produto_1,Sul,4,822.39
126,2024-01-18,Produto_10,Centro-Oeste,11,151.32
127,2024-12-10,Produto_7,Norte,14,1273.15
128,2024-12-15,Produto_2,Sul,4,1937.08
129,2024-06-09,Produto_7,Norte,1,893.94
130,2024-04-22,Produto_9,Leste,3,717.42
131,2024-09-29,Produto_1,Norte,19,37.65
132,2024-08-01,Produto_10,Oeste,15,403.66
133,2024-06-21,Produto_8,Oeste,2,159.04
134,2024-04-05,Produto_5,Norte,13,863.17
135,2024-05-20,Produto_6,Centro-Oeste,1,1162.52
136,2024-04-12,Produto_9,Norte,18,103.51
137,2024-06-19,Produto_4,Oeste,1,601.5
138,2024-07-24,Produto_2,Centro-Oeste,1,1849.64
139,2024-08-14,Produto_9,Sul,2,1688.72
140,2024-06-22,Produto_5,Oeste,18,1364.05
141,2024-01-10,Produto_3,Norte,1,727.95
142,2024-12-18,Produto_5,Oeste,11,499.61
143,2024-07-17,Produto_10,Leste,11,1091.54
144,2024-08-19,Produto_7,Norte,7,1490.34
145,2024-10-23,Produto_9,Oeste,6,862.85
146,2024-11-07,Produto_4,Centro-Oeste,6,407.36
147,2024-12-30,Produto_6,Centro-Oeste,7,1348.42
148,2024-04-20,Produto_2,Sul,14,210.14
149,2024-03-18,Produto_5,Sul,10,244.84
150,2024-03-07,Produto_3,Norte,8,136.11
151,2024-10-12,Produto_3,Centro-Oeste,1,1707.75
152,2024-06-30,Produto_3,Centro-Oeste,1,1621.26
153,2024-11-06,Produto_3,Sul,16,798.87
154,2024-04-07,Produto_4,Sul,14,1432.37
155,2024-01-06,Produto_8,Leste,14,1917.21
156,2024-08-10,Produto_5,Oeste,10,285.08
157,2024-10-11,Produto_7,Oeste,4,380.31
158,2024-04-02,Produto_5,Leste,6,256.32
159,2024-01-18,Produto_4,Leste,11,517.46
160,2024-09-08,Produto_3,Sul,8,770.67
161,2024-01-18,Produto_9,Oeste,1,658.2
162,2024-09-23,Produto_7,Norte,6,1532.94
163,2024-04-15,Produto_8,Leste,10,638.05
164,2024-04-10,Produto_10,Oeste,15,455.34
165,2024-01-04,Produto_4,Centro-Oeste,12,1941.77
166,2024-01-20,Produto_2,Centro-Oeste,17,487.95
167,2024-09-21,Produto_7,Oeste,7,1543.85
168,2024-05-24,Produto_10,Oeste,18,757.37
169,2024-01-13,Produto_4,Centro-Oeste,10,1217.68
170,2024-10-03,Produto_10,Centro-Oeste,17,1382.73
171,2024-06-20,Produto_2,Oeste,6,549.16
172,2024-02-10,Produto_6,Centro-Oeste,5,618.38
173,2024-07-10,Produto_5,Norte,6,797.35
174,2024-10-03,Produto_2,Centro-Oeste,14,508.47
175,2024-11-01,Produto_7,Centro-Oeste,18,1322.96
176,2024-05-03,Produto_5,Sul,14,874.89
177,2024-05-08,Produto_9,Oeste,19,665.24
178,2024-07-10,Produto_5,Oeste,8,475.37
179,2024-08-13,Produto_1,Norte,13,241.72
180,2024-12-02,Produto_7,Leste,13,180.97
181,2024-07-25,Produto_10,Oeste,11,151.79
182,2024-07-02,Produto_2,Oeste,4,1865.42
183,2024-05-11,Produto_7,Norte,10,114.12
184,2024-05-01,Produto_10,Sul,4,931.48
185,2024-11-23,Produto_7,Sul,2,52.97
186,2024-01-29,Produto_4,Sul,3,1292.33
187,2024-11-03,Produto_6,Sul,1,1209.32
188,2024-06-25,Produto_7,Sul,19,1556.68
189,2024-09-28,Produto_8,Centro-Oeste,11,177.92
190,2024-11-28,Produto_1,Oeste,10,1142.82
191,2024-07-24,Produto_5,Leste,11,1716.01
192,2024-12-23,Produto_2,Norte,5,1910.79
193,2024-02-12,Produto_10,Sul,9,383.31
194,2024-08-26,Produto_10,Norte,11,1106.88
195,2024-12-15,Produto_2,Sul,13,1555.86
196,2024-11-18,Produto_6,Sul,15,1769.22
197,2024-12-18,Produto_8,Sul,12,1615.24
198,2024-05-24,Produto_7,Oeste,12,1730.41
199,2024-01-02,Produto_8,Oeste,13,1465.6
200,2024-09-09,Produto_1,Norte,2,1067.8
