Cliente,Mês,Categoria,Valor
Cliente_5,Mai,Saúde,4100.0
Cliente_3,Jan,Saúde,2900.0
Cliente_58,Abr,Moradia,1500.0
Cliente_51,Fev,Moradia,4100.0
Cliente_22,Mai,Educação,3950.0
Cliente_18,Jun,Lazer,1000.0
Cliente_34,Mar,Saúde,1850.0
Cliente_30,Abr,Saúde,2700.0
Cliente_29,Fev,Saúde,650.0
Cliente_55,Jan,Transporte,1350.0
Cliente_4,Jun,Transporte,1400.0
Cliente_7,Mar,Transporte,700.0
Cliente_36,Abr,Educação,450.0
Cliente_7,Mar,Moradia,2700.0
Cliente_13,Jun,Saúde,2600.0
Cliente_41,Fev,Educação,400.0
Cliente_8,Jan,Saúde,1050.0
Cliente_57,Mai,Educação,300.0
Cliente_47,Jun,Transporte,1950.0
Cliente_13,Jan,Transporte,1850.0
Cliente_22,Mar,Educação,4550.0
Cliente_23,Mar,Alimentação,4000.0
Cliente_24,Jan,Transporte,300.0
Cliente_5,Mar,Saúde,2250.0
Cliente_33,Jun,Transporte,2900.0
Cliente_17,Jan,Transporte,700.0
Cliente_36,Jan,Alimentação,2400.0
Cliente_11,Jun,Lazer,1750.0
Cliente_13,Jun,Alimentação,850.0
Cliente_20,Mar,Educação,1600.0
Cliente_33,Fev,Transporte,850.0
Cliente_31,Jan,Transporte,150.0
Cliente_32,Mar,Transporte,3650.0
Cliente_5,Fev,Moradia,2150.0
Cliente_14,Jan,Lazer,4100.0
Cliente_51,Mar,Saúde,800.0
Cliente_46,Fev,Lazer,5000.0
Cliente_21,Jun,Transporte,3550.0
Cliente_10,Fev,Educação,650.0
Cliente_5,Fev,Transporte,1250.0
Cliente_7,Fev,Transporte,3050.0
Cliente_55,Mai,Moradia,1300.0
Cliente_24,Jun,Moradia,2350.0
Cliente_43,Mai,Lazer,1650.0
Cliente_26,Jun,Lazer,1200.0
Cliente_2,Mar,Alimentação,900.0
Cliente_15,Mai,Lazer,3750.0
Cliente_39,Abr,Educação,4300.0
Cliente_54,Mar,Transporte,4100.0
Cliente_51,Fev,Saúde,450.0
Cliente_30,Jan,Moradia,4800.0
Cliente_16,Abr,Moradia,3000.0
Cliente_2,Mar,Moradia,100.0
Cliente_34,Jun,Educação,2800.0
Cliente_18,Fev,Alimentação,200.0
Cliente_13,Jan,Transporte,4650.0
Cliente_35,Jan,Educação,750.0
Cliente_7,Mar,Saúde,2900.0
Cliente_53,Abr,Transporte,1850.0
Cliente_53,Mai,Educação,3350.0
Cliente_37,Mar,Lazer,1600.0
Cliente_15,Mai,Saúde,4000.0
Cliente_17,Fev,Alimentação,1350.0
Cliente_45,Fev,Saúde,3400.0
Cliente_44,Mai,Lazer,3850.0
Cliente_38,Jan,Saúde,3200.0
Cliente_61,Mar,Educação,3300.0
Cliente_40,Mai,Transporte,4050.0
Cliente_35,Jun,Moradia,3750.0
Cliente_61,Mar,Alimentação,200.0
Cliente_60,Abr,Alimentação,3800.0
Cliente_61,Mar,Moradia,100.0
Cliente_54,Jun,Saúde,700.0
Cliente_20,Jun,Lazer,2050.0
Cliente_47,Fev,Saúde,4800.0
Cliente_6,Jan,Lazer,nan
Cliente_38,Abr,Lazer,2850.0
Cliente_52,Jun,Educação,1650.0
Cliente_34,Abr,Educação,950.0
