ONG,Cidade,Valor_Doacao,Forma_Pagamento,Tipo_Doador,Data_Doacao
Ajuda Animal,Belo Horizonte,4487.53,Cartão de Crédito,Empresa,2024-02-16
Lar dos Idosos,Belo Horizonte,3876.58,Boleto,Pessoa Física,2024-02-17
Lar dos Idosos,Porto Alegre,47.7,Pix,Empresa,2024-02-18
Lar dos Idosos,Rio de Janeiro,2745.48,Pix,Pessoa Física,2024-02-19
Saúde e Vida,Rio de Janeiro,4207.59,Pix,Empresa,2024-02-20
Ajuda Animal,Belo Horizonte,4373.76,Transferência,Pessoa Física,2024-02-21
Ajuda Animal,Porto Alegre,4400.55,Boleto,Pessoa Física,2024-02-22
Meio Ambiente Já,São Paulo,3054.9,Pix,Empresa,2024-02-23
Saúde e Vida,Porto Alegre,3330.18,Cartão de Crédito,Empresa,2024-02-24
Meio Ambiente Já,Belo Horizonte,2364.89,Pix,Empresa,2024-02-25
Ajuda Animal,Rio de Janeiro,1464.61,Transferência,Pessoa Física,2024-02-26
Educar para o Futuro,Rio de Janeiro,992.67,Boleto,Pessoa Física,2024-02-27
Educar para o Futuro,Recife,3343.01,Boleto,Empresa,2024-02-28
Educar para o Futuro,Rio de Janeiro,1240.55,Boleto,Pessoa Física,2024-02-29
Educar para o Futuro,São Paulo,4142.11,Transferência,Pessoa Física,2024-03-01
Educar para o Futuro,Rio de Janeiro,4685.55,Boleto,Pessoa Física,2024-03-02
Ajuda Animal,Porto Alegre,3317.08,Transferência,Pessoa Física,2024-03-03
Educar para o Futuro,Belo Horizonte,4869.55,Cartão de Crédito,Empresa,2024-03-04
Saúde e Vida,Porto Alegre,1638.58,Cartão de Crédito,Empresa,2024-03-05
Lar dos Idosos,Belo Horizonte,2251.05,Transferência,Pessoa Física,2024-03-06
Ajuda Animal,Porto Alegre,709.36,Cartão de Crédito,Empresa,2024-03-07
Saúde e Vida,Belo Horizonte,4571.56,Cartão de Crédito,Empresa,2024-03-08
Educar para o Futuro,Porto Alegre,1977.14,Cartão de Crédito,Empresa,2024-03-09
Lar dos Idosos,São Paulo,2045.73,Cartão de Crédito,Empresa,2024-03-10
Saúde e Vida,Rio de Janeiro,544.5,Pix,Pessoa Física,2024-03-11
Lar dos Idosos,Recife,822.52,Transferência,Empresa,2024-03-12
Ajuda Animal,Belo Horizonte,2102.89,Boleto,Pessoa Física,2024-03-13
Meio Ambiente Já,Rio de Janeiro,3938.61,Boleto,Empresa,2024-03-14
Ajuda Animal,Belo Horizonte,4723.39,Transferência,Empresa,2024-03-15
Ajuda Animal,Porto Alegre,2786.32,Transferência,Empresa,2024-03-16
Lar dos Idosos,Porto Alegre,2981.83,Pix,Empresa,2024-03-17
Lar dos Idosos,São Paulo,394.87,Boleto,Pessoa Física,2024-03-18
Meio Ambiente Já,Rio de Janeiro,4313.63,Cartão de Crédito,Pessoa Física,2024-03-19
Meio Ambiente Já,Rio de Janeiro,2836.99,Pix,Pessoa Física,2024-03-20
Educar para o Futuro,Porto Alegre,1678.25,Cartão de Crédito,Empresa,2024-03-21
Saúde e Vida,Recife,1980.63,Boleto,Pessoa Física,2024-03-22
Saúde e Vida,Rio de Janeiro,1680.28,Boleto,Pessoa Física,2024-03-23
Saúde e Vida,Recife,81.68,Boleto,Pessoa Física,2024-03-24
Lar dos Idosos,São Paulo,3211.27,Transferência,Pessoa Física,2024-03-25
Meio Ambiente Já,Recife,2722.99,Boleto,Empresa,2024-03-26
Lar dos Idosos,Belo Horizonte,1015.84,Cartão de Crédito,Empresa,2024-03-27
Ajuda Animal,Recife,1719.88,Cartão de Crédito,Pessoa Física,2024-03-28
Educar para o Futuro,São Paulo,3091.59,Pix,Empresa,2024-03-29
Ajuda Animal,Rio de Janeiro,69.64,Boleto,Pessoa Física,2024-03-30
Saúde e Vida,Porto Alegre,4011.53,Pix,Empresa,2024-03-31
Ajuda Animal,Recife,249.75,Pix,Empresa,2024-04-01
Educar para o Futuro,Recife,2035.35,Pix,Pessoa Física,2024-04-02
Lar dos Idosos,São Paulo,4293.44,Pix,Pessoa Física,2024-04-03
Saúde e Vida,Belo Horizonte,3959.23,Pix,Pessoa Física,2024-04-04
Educar para o Futuro,Porto Alegre,4195.57,Pix,Empresa,2024-04-05
Educar para o Futuro,Belo Horizonte,2858.91,Transferência,Empresa,2024-04-06
Lar dos Idosos,Rio de Janeiro,3484.4,Boleto,Empresa,2024-04-07
Ajuda Animal,São Paulo,1816.16,Cartão de Crédito,Pessoa Física,2024-04-08
Lar dos Idosos,Porto Alegre,2503.86,Boleto,Pessoa Física,2024-04-09
Saúde e Vida,Belo Horizonte,250.74,Transferência,Pessoa Física,2024-04-10
Saúde e Vida,Porto Alegre,871.48,Cartão de Crédito,Empresa,2024-04-11
Ajuda Animal,São Paulo,4608.23,Cartão de Crédito,Pessoa Física,2024-04-12
Educar para o Futuro,Belo Horizonte,2822.83,Transferência,Pessoa Física,2024-04-13
Educar para o Futuro,Porto Alegre,1485.5,Boleto,Pessoa Física,2024-04-14
Meio Ambiente Já,Recife,1543.13,Transferência,Empresa,2024-04-15
Educar para o Futuro,Belo Horizonte,2940.24,Transferência,Pessoa Física,2024-04-16
Ajuda Animal,Belo Horizonte,3624.45,Boleto,Pessoa Física,2024-04-17
Educar para o Futuro,Porto Alegre,2771.22,Pix,Empresa,2024-04-18
Ajuda Animal,Rio de Janeiro,4487.31,Cartão de Crédito,Empresa,2024-04-19
Meio Ambiente Já,Porto Alegre,1110.51,Boleto,Pessoa Física,2024-04-20
Ajuda Animal,Porto Alegre,90.97,Boleto,Empresa,2024-04-21
Educar para o Futuro,Porto Alegre,3832.32,Cartão de Crédito,Empresa,2024-04-22
Educar para o Futuro,Porto Alegre,2059.08,Transferência,Empresa,2024-04-23
Meio Ambiente Já,Rio de Janeiro,1412.74,Cartão de Crédito,Pessoa Física,2024-04-24
Lar dos Idosos,Porto Alegre,4408.12,Cartão de Crédito,Pessoa Física,2024-04-25
Educar para o Futuro,Recife,4285.64,Cartão de Crédito,Empresa,2024-04-26
Lar dos Idosos,Porto Alegre,2477.14,Cartão de Crédito,Empresa,2024-04-27
Saúde e Vida,Rio de Janeiro,338.34,Transferência,Pessoa Física,2024-04-28
Lar dos Idosos,Rio de Janeiro,396.66,Boleto,Pessoa Física,2024-04-29
