ID_Usuario,Data_Acesso,Hora_Acesso,Sessao_ID,Secao_Visitada,Dispositivo,Tempo_Sessao_segundos
U057,2024-01-21,08:00,S0053,Entretenimento,Mobile,259
U023,2024-01-11,16:45,S0054,Política,Tablet,781
U053,2024-01-21,23:45,S0055,Internacional,Tablet,100
U030,2024-01-03,23:45,S0056,Economia,Desktop,2
U001,2024-01-01,13:15,S0057,Entretenimento,Desktop,196
U058,2024-01-08,17:45,S0058,Esportes,Mobile,38
U041,2024-01-12,19:30,S0059,Política,Tablet,6
U013,2024-01-12,18:30,S0060,Economia,Mobile,568
U044,2024-01-21,02:00,S0061,Economia,Mobile,36
U029,2024-01-05,05:45,S0062,Economia,Mobile,183
U020,2024-01-03,23:15,S0063,Internacional,Desktop,389
U059,2024-01-23,01:45,S0064,Internacional,Tablet,37
U008,2024-01-23,05:30,S0065,Entretenimento,Desktop,238
U051,2024-01-27,01:15,S0066,Economia,Mobile,30
U027,2024-01-28,17:00,S0067,Esportes,Tablet,1322
U021,2024-01-08,03:45,S0068,Entretenimento,Desktop,160
U004,2024-01-02,00:30,S0069,Internacional,Desktop,599
U010,2024-01-22,00:30,S0070,Entretenimento,Mobile,69
U003,2024-01-14,08:30,S0071,Política,Desktop,85
U045,2024-01-05,09:15,S0072,Política,Desktop,350
U059,2024-01-10,04:45,S0073,Política,Mobile,260
U054,2024-01-23,00:45,S0074,Economia,Tablet,138
U008,2024-01-10,14:00,S0075,Internacional,Mobile,184
U060,2024-01-28,13:30,S0076,Entretenimento,Mobile,258
U040,2024-01-02,15:30,S0077,Internacional,Mobile,162
U009,2024-01-16,06:45,S0078,Economia,Desktop,247
U015,2024-01-10,10:45,S0079,Economia,Tablet,235
U039,2024-01-14,10:15,S0080,Esportes,Tablet,126
U006,2024-01-02,23:15,S0081,Tecnologia,Desktop,153
U048,2024-01-20,15:45,S0082,Política,Desktop,116
U048,2024-01-07,21:30,S0083,Política,Mobile,357
U035,2024-01-05,01:15,S0084,Tecnologia,Mobile,575
U022,2024-01-17,00:00,S0085,Política,Mobile,115
U022,2024-01-29,04:45,S0086,Esportes,Tablet,298
U047,2024-01-20,16:30,S0087,Economia,Mobile,579
U030,2024-01-22,13:30,S0088,Economia,Desktop,23
U035,2024-01-13,14:15,S0089,Tecnologia,Desktop,969
U044,2024-01-25,00:00,S0090,Esportes,Mobile,10
U019,2024-01-08,06:15,S0091,Entretenimento,Tablet,62
U060,2024-01-01,22:30,S0092,Política,Mobile,257
U002,2024-01-15,12:30,S0093,Economia,Desktop,49
U053,2024-01-04,12:45,S0094,Esportes,Mobile,811
U026,2024-01-19,06:15,S0095,Esportes,Tablet,40
U013,2024-01-28,10:30,S0096,Internacional,Tablet,426
U019,2024-01-12,19:30,S0097,Tecnologia,Desktop,293
U017,2024-01-09,05:00,S0098,Política,Desktop,69
U031,2024-01-13,00:30,S0099,Esportes,Mobile,97
U047,2024-01-27,09:45,S0100,Economia,Desktop,480
U022,2024-01-15,08:30,S0101,Economia,Desktop,175
U055,2024-01-06,22:00,S0102,Política,Mobile,349
U009,2024-01-09,23:00,S0103,Esportes,Mobile,7
U054,2024-01-05,10:15,S0104,Esportes,Desktop,50
U014,2024-01-25,15:45,S0105,Esportes,Mobile,468
U032,2024-01-30,10:15,S0106,Esportes,Desktop,491
U011,2024-01-23,10:15,S0107,Internacional,Desktop,114
U007,2024-01-18,10:45,S0108,Internacional,Mobile,267
U006,2024-01-20,11:15,S0109,Internacional,Mobile,290
U004,2024-01-15,09:45,S0110,Tecnologia,Desktop,83
U039,2024-01-27,19:30,S0111,Política,Mobile,110
U005,2024-01-18,23:45,S0112,Internacional,Mobile,41
U033,2024-01-01,10:30,S0113,Entretenimento,Tablet,1511
U007,2024-01-15,02:30,S0114,Internacional,Tablet,1216
U020,2024-01-15,23:30,S0115,Internacional,Mobile,47
U001,2024-01-10,15:00,S0116,Entretenimento,Mobile,220
U010,2024-01-25,21:45,S0117,Política,Mobile,162
U003,2024-01-10,23:30,S0118,Internacional,Desktop,120
U032,2024-01-09,07:15,S0119,Esportes,Tablet,62
U057,2024-01-19,05:00,S0120,Tecnologia,Mobile,33
