Renda,Idade,Score_Credito,Dividas,Tempo_Emprego,Aprovado
2008.2,53,709.0,2,2.9,0
2166.79,64,494.0,1,0.0,0
5103.36,67,601.0,0,2.1,1
2810.06,18,688.0,1,0.7,0
2159.04,22,504.0,1,4.8,0
4515.86,68,539.0,4,3.8,0
2581.49,44,437.0,1,4.8,0
2108.46,60,569.0,4,3.9,0
4403.08,42,605.0,1,3.8,1
3327.62,48,595.0,0,3.5,1
4032.79,59,612.0,0,1.8,1
3709.66,29,607.0,2,7.9,1
6428.43,52,700.0,0,4.9,1
4543.47,38,675.0,4,3.4,0
4382.81,32,634.0,2,2.8,1
5314.13,26,609.0,0,3.9,1
3681.98,30,726.0,3,0.6,0
4854.04,39,694.0,1,3.1,1
3317.83,46,618.0,4,3.4,0
1799.21,23,448.0,3,3.5,0
4512.25,61,765.0,4,2.7,0
2833.78,18,536.0,0,4.3,0
2575.61,42,561.0,2,2.1,0
2385.82,29,556.0,4,3.1,0
2269.33,39,599.0,1,7.7,0
7696.85,58,659.0,4,2.0,0
3658.71,39,513.0,0,2.9,0
4887.63,27,642.0,4,3.1,0
3844.19,49,565.0,2,1.4,1
2173.07,24,689.0,2,3.5,0
4924.81,69,634.0,0,0.2,1
2835.53,52,668.0,2,3.5,0
3582.62,59,546.0,4,1.6,0
3526.79,25,514.0,3,1.4,0
2925.88,19,392.0,4,7.9,0
3835.48,47,774.0,4,1.3,0
2561.53,54,557.0,2,3.4,0
3400.84,23,600.0,3,5.9,0
2076.32,36,598.0,1,0.0,0
2942.58,34,646.0,2,1.3,0
3787.93,49,629.0,4,3.9,0
4854.72,35,668.0,1,4.2,1
3495.55,33,531.0,2,3.7,0
5246.1,54,663.0,3,2.1,0
3102.12,55,722.0,2,3.8,1
1755.72,28,778.0,2,6.3,0
6108.41,30,420.0,4,2.5,0
1604.46,40,606.0,1,2.6,0
3037.18,46,634.0,4,1.6,0
4620.43,61,545.0,2,4.4,0
3618.02,49,588.0,2,4.7,1
3036.77,28,786.0,1,0.7,1
2962.24,46,384.0,0,5.9,0
3556.67,52,625.0,0,4.2,1
2470.61,36,399.0,1,0.6,0
2972.62,48,644.0,1,1.1,0
1316.62,27,718.0,4,4.1,0
5336.68,38,595.0,0,4.2,1
3654.42,46,348.0,3,6.8,0
2522.07,26,850.0,2,4.9,0
4169.22,32,451.0,3,3.8,0
3123.08,66,704.0,3,4.8,0
4374.1,36,546.0,0,3.0,0
1755.17,18,530.0,3,3.6,0
2167.99,26,516.0,4,4.2,0
4511.96,32,686.0,2,4.6,1
3444.81,49,612.0,3,2.1,0
4343.62,44,697.0,1,0.0,1
3890.81,69,546.0,3,3.9,0
4948.17,59,746.0,3,6.7,0
4641.93,19,485.0,1,6.7,0
3158.58,18,661.0,4,2.0,0
4989.55,55,745.0,2,0.0,1
6887.64,37,790.0,3,2.1,0
4416.42,21,617.0,0,4.3,1
2911.12,34,633.0,1,1.3,0
4291.93,40,712.0,4,3.9,0
5460.27,67,580.0,4,7.6,0
2884.92,64,668.0,3,4.3,0
3865.83,52,573.0,4,1.4,0
4611.0,51,545.0,4,5.9,0
3286.99,69,626.0,3,3.3,0
2652.59,48,706.0,3,1.2,0
2804.14,50,541.0,4,5.4,0
3189.46,60,645.0,2,2.0,1
3240.02,29,544.0,2,3.0,0
3428.06,43,601.0,1,5.4,1
4913.28,66,742.0,2,2.1,1
2500.03,55,689.0,4,1.1,0
3025.63,62,546.0,2,2.0,0
4736.87,26,679.0,3,4.2,0
3289.8,54,474.0,1,2.3,0
3510.75,24,602.0,1,4.9,1
