Usuario,Data,Página,Tempo_Sessao_Seg
usuario_98,2025-02-03,produtos,873.03
usuario_48,2025-02-20,produtos,567.37
usuario_74,2025-02-09,contato,882.02
usuario_42,2025-01-20,home,72.93
usuario_47,2025-03-07,contato,765.15
usuario_86,2025-02-22,contato,207.78
usuario_46,2025-03-02,blog,erro
usuario_6,2025-03-04,login,387.58
usuario_61,2025-02-16,home,387.58
usuario_10,2025-02-25,produtos,504.44
usuario_12,2025-03-05,contato,495.45
usuario_35,2025-02-23,produtos,72.93
usuario_7,2025-01-23,sobre,297.68
usuario_25,2025-01-10,sobre,594.34
usuario_40,2025-03-13,sobre,144.85
usuario_34,2025-01-08,produtos,783.13
usuario_58,2025-03-12,login,216.77
usuario_27,2025-03-30,sobre,72.93
usuario_38,2025-03-02,home,198.79
usuario_68,2025-03-23,sobre,333.64
usuario_38,2025-03-13,contato,810.1
usuario_40,2025-01-24,sobre,837.07
usuario_100,2025-01-14,sobre,189.8
usuario_11,2025-02-19,home,36.97
usuario_48,2025-01-27,home,342.63
usuario_77,2025-01-12,home,135.86
usuario_84,2025-02-05,sobre,27.98
usuario_66,2025-01-02,home,369.6
usuario_72,2025-01-13,contato,486.46
usuario_22,2025-01-25,login,513.43
usuario_60,2025-03-21,contato,279.7
usuario_87,2025-01-08,contato,207.78
usuario_51,2025-01-24,login,27.98
usuario_89,2025-01-18,sobre,432.53
usuario_75,2025-02-06,sobre,72.93
usuario_95,2025-03-18,produtos,531.41
usuario_41,2025-01-20,blog,684.24
usuario_83,2025-02-13,produtos,720.2
usuario_90,2025-02-28,home,450.51
usuario_61,2025-02-16,produtos,549.39
usuario_24,2025-01-22,sobre,nan
usuario_30,2025-03-24,contato,531.41
usuario_83,2025-03-21,blog,891.01
usuario_49,2025-01-21,contato,90.91
usuario_12,2025-03-13,blog,234.75
usuario_47,2025-02-09,home,423.54
usuario_20,2025-03-09,blog,648.28
usuario_81,2025-02-03,home,459.49
usuario_26,2025-01-10,produtos,270.71
usuario_5,2025-03-31,blog,432.53
usuario_46,2025-02-05,home,234.75
usuario_35,2025-01-14,home,720.2
usuario_56,2025-01-04,produtos,63.94
usuario_19,2025-03-23,produtos,90.91
usuario_90,2025-02-28,login,819.09
usuario_24,2025-01-25,home,711.21
usuario_44,2025-03-09,home,747.17
usuario_32,2025-01-05,produtos,468.48
usuario_14,2025-01-11,contato,216.77
usuario_13,2025-01-14,blog,855.05
usuario_54,2025-01-25,home,333.64
usuario_67,2025-03-01,contato,882.02
usuario_16,2025-03-01,login,702.22
usuario_40,2025-02-14,login,693.23
usuario_48,2025-02-10,contato,279.7
usuario_37,2025-01-21,contato,261.72
usuario_49,2025-01-08,login,27.98
usuario_54,2025-03-01,produtos,621.31
usuario_77,2025-02-12,sobre,27.98
usuario_61,2025-01-13,home,675.25
usuario_88,2025-03-31,produtos,441.52
usuario_17,2025-03-14,home,36.97
usuario_16,2025-01-29,login,405.56
usuario_3,2025-03-15,login,747.17
usuario_3,2025-01-01,contato,801.11
usuario_23,2025-02-12,home,513.43
usuario_23,2025-01-23,blog,810.1
usuario_98,2025-02-07,sobre,801.11
usuario_11,2025-03-08,home,108.89
usuario_79,2025-02-09,sobre,792.12
usuario_30,2025-01-15,login,225.76
usuario_29,2025-02-11,home,747.17
usuario_68,2025-02-24,contato,342.63
usuario_7,2025-02-12,login,270.71
usuario_40,2025-02-13,sobre,153.84
usuario_51,2025-03-12,produtos,126.87
usuario_28,2025-01-24,home,468.48
usuario_13,2025-02-03,produtos,225.76
usuario_30,2025-01-19,home,630.3
usuario_100,2025-01-24,home,648.28
usuario_2,2025-03-09,login,855.05
usuario_28,2025-03-10,produtos,441.52
usuario_16,2025-03-14,produtos,666.26
usuario_83,2025-03-31,produtos,180.81
usuario_42,2025-03-18,login,882.02
usuario_47,2025-02-26,blog,189.8
usuario_20,2025-01-17,login,468.48
usuario_71,2025-01-26,login,414.55
usuario_57,2025-01-25,contato,351.62
usuario_27,2025-02-05,sobre,882.02
usuario_59,2025-03-12,contato,126.87
usuario_2,2025-02-23,sobre,erro
usuario_56,2025-03-23,produtos,792.12
usuario_13,2025-01-22,home,441.52
usuario_12,2025-03-14,home,erro
usuario_54,2025-02-21,login,504.44
usuario_6,2025-03-11,contato,756.16
usuario_39,2025-03-17,home,207.78
usuario_47,2025-01-26,home,747.17
usuario_42,2025-01-16,produtos,387.58
usuario_94,2025-03-18,blog,414.55
usuario_37,2025-01-20,produtos,288.69
usuario_23,2025-03-07,produtos,450.51
usuario_60,2025-01-21,contato,549.39
usuario_46,2025-03-15,blog,657.27
usuario_16,2025-02-28,blog,432.53
usuario_100,2025-02-21,sobre,675.25
usuario_96,2025-02-22,login,513.43
usuario_60,2025-03-04,produtos,846.06
usuario_62,2025-03-02,contato,513.43
usuario_63,2025-01-01,produtos,162.83
usuario_77,2025-02-15,sobre,414.55
usuario_67,2025-02-01,contato,162.83
usuario_50,2025-01-19,home,270.71
usuario_75,2025-02-17,produtos,369.6
usuario_10,2025-03-07,sobre,576.36
usuario_83,2025-03-16,login,783.13
usuario_73,2025-01-03,blog,459.49
usuario_18,2025-01-08,contato,828.08
usuario_97,2025-01-29,blog,666.26
usuario_58,2025-03-28,contato,279.7
usuario_16,2025-01-25,login,135.86
usuario_80,2025-01-07,blog,270.71
usuario_4,2025-03-06,sobre,27.98
usuario_71,2025-01-10,login,126.87
usuario_8,2025-01-10,home,684.24
usuario_95,2025-02-03,sobre,54.95
usuario_31,2025-03-25,login,792.12
usuario_21,2025-02-02,produtos,513.43
usuario_54,2025-02-19,sobre,360.61
usuario_61,2025-02-14,home,738.18
usuario_62,2025-03-20,home,erro
usuario_95,2025-02-28,home,864.04
usuario_47,2025-03-21,contato,27.98
usuario_47,2025-01-30,blog,675.25
usuario_28,2025-02-05,contato,351.62
usuario_29,2025-02-16,produtos,432.53
usuario_51,2025-02-20,login,693.23
usuario_26,2025-02-20,home,180.81
usuario_31,2025-02-28,login,288.69
usuario_55,2025-01-12,contato,792.12
usuario_24,2025-03-19,sobre,486.46
usuario_45,2025-03-12,sobre,594.34
usuario_72,2025-01-11,login,54.95
usuario_97,2025-02-27,contato,585.35
usuario_55,2025-03-28,login,846.06
usuario_51,2025-01-08,login,288.69
usuario_80,2025-02-19,contato,486.46
usuario_50,2025-03-19,login,513.43
usuario_22,2025-01-22,sobre,207.78
usuario_31,2025-03-05,contato,81.92
usuario_26,2025-01-29,produtos,nan
usuario_62,2025-02-02,login,495.45
usuario_59,2025-02-02,home,189.8
usuario_72,2025-03-09,login,855.05
usuario_92,2025-02-23,produtos,360.61
usuario_91,2025-02-01,blog,720.2
usuario_58,2025-01-18,produtos,648.28
usuario_77,2025-02-18,produtos,144.85
usuario_89,2025-02-06,login,90.91
usuario_74,2025-02-24,home,207.78
usuario_33,2025-03-20,produtos,540.4
usuario_69,2025-02-19,contato,10.0
usuario_60,2025-03-20,produtos,261.72
usuario_89,2025-01-19,home,288.69
usuario_58,2025-01-04,blog,855.05
usuario_76,2025-01-11,login,738.18
usuario_24,2025-02-21,login,522.42
usuario_27,2025-01-05,blog,180.81
usuario_63,2025-01-22,sobre,nan
usuario_51,2025-01-03,home,765.15
usuario_94,2025-03-28,home,630.3
usuario_2,2025-02-03,produtos,621.31
usuario_58,2025-01-31,sobre,477.47
usuario_13,2025-01-21,blog,648.28
usuario_47,2025-02-22,home,513.43
usuario_62,2025-01-16,home,531.41
usuario_33,2025-01-03,home,837.07
usuario_82,2025-02-19,sobre,396.57
usuario_8,2025-03-10,sobre,666.26
usuario_82,2025-02-21,contato,513.43
usuario_73,2025-02-27,login,549.39
usuario_15,2025-02-27,login,63.94
usuario_28,2025-01-02,login,666.26
usuario_73,2025-01-13,home,27.98
usuario_19,2025-03-14,login,882.02
usuario_78,2025-02-03,login,495.45
usuario_89,2025-01-04,produtos,558.38
usuario_11,2025-01-18,home,171.82
usuario_62,2025-02-03,produtos,900.0
usuario_3,2025-03-02,contato,603.33
usuario_57,2025-01-03,contato,423.54
usuario_22,2025-01-04,home,729.19
usuario_18,2025-02-27,contato,621.31
usuario_51,2025-01-17,login,414.55
usuario_16,2025-02-01,contato,423.54
usuario_68,2025-01-14,home,720.2
usuario_37,2025-01-09,login,486.46
usuario_88,2025-03-04,contato,837.07
usuario_78,2025-01-26,produtos,450.51
usuario_66,2025-02-14,blog,270.71
usuario_56,2025-03-28,blog,756.16
usuario_64,2025-01-10,produtos,180.81
usuario_88,2025-03-14,home,810.1
usuario_34,2025-01-21,sobre,495.45
usuario_98,2025-02-09,produtos,396.57
usuario_29,2025-02-11,produtos,135.86
usuario_50,2025-02-20,home,855.05
usuario_91,2025-02-02,contato,504.44
usuario_76,2025-03-31,home,279.7
usuario_72,2025-02-21,contato,792.12
usuario_82,2025-03-22,home,72.93
usuario_51,2025-01-19,blog,54.95
usuario_83,2025-02-08,blog,405.56
usuario_7,2025-01-18,home,252.73
usuario_53,2025-03-20,home,nan
usuario_52,2025-03-04,login,126.87
usuario_42,2025-03-23,produtos,387.58
usuario_29,2025-03-21,sobre,306.67
usuario_65,2025-03-04,home,72.93
usuario_49,2025-01-15,login,612.32
usuario_32,2025-01-20,login,117.88
usuario_94,2025-02-01,login,711.21
usuario_23,2025-02-11,home,81.92
usuario_86,2025-01-08,home,405.56
usuario_34,2025-01-03,blog,216.77
usuario_2,2025-02-04,blog,549.39
usuario_7,2025-03-30,login,882.02
usuario_11,2025-02-04,home,801.11
usuario_95,2025-01-05,contato,756.16
usuario_16,2025-03-24,sobre,126.87
usuario_71,2025-03-30,sobre,297.68
usuario_12,2025-01-27,home,279.7
usuario_84,2025-03-31,sobre,666.26
usuario_34,2025-01-23,login,423.54
usuario_76,2025-02-09,login,135.86
usuario_19,2025-03-20,produtos,621.31
usuario_41,2025-02-09,login,567.37
usuario_26,2025-01-30,blog,270.71
usuario_8,2025-01-17,blog,10.0
usuario_64,2025-01-20,produtos,135.86
usuario_57,2025-03-12,contato,567.37
usuario_40,2025-03-12,contato,450.51
usuario_100,2025-03-07,login,522.42
usuario_36,2025-03-29,home,648.28
usuario_48,2025-01-03,login,243.74
usuario_86,2025-03-19,sobre,522.42
usuario_28,2025-01-29,contato,846.06
usuario_96,2025-01-10,contato,243.74
usuario_71,2025-01-30,home,54.95
usuario_16,2025-01-22,login,36.97
usuario_100,2025-03-02,home,459.49
usuario_30,2025-01-10,login,873.03
usuario_54,2025-02-08,sobre,171.82
usuario_96,2025-01-02,sobre,36.97
usuario_70,2025-03-31,contato,333.64
usuario_91,2025-03-29,login,522.42
usuario_25,2025-01-08,blog,873.03
usuario_98,2025-03-09,produtos,360.61
usuario_45,2025-03-07,home,135.86
usuario_3,2025-03-04,home,72.93
usuario_43,2025-01-11,sobre,153.84
usuario_72,2025-01-13,home,252.73
usuario_84,2025-02-27,contato,738.18
usuario_96,2025-01-23,blog,189.8
usuario_7,2025-03-25,login,207.78
usuario_13,2025-01-10,login,495.45
usuario_85,2025-03-12,login,423.54
usuario_43,2025-02-14,contato,144.85
usuario_63,2025-01-07,sobre,549.39
usuario_96,2025-02-02,blog,180.81
usuario_91,2025-02-14,sobre,837.07
usuario_32,2025-03-07,blog,279.7
usuario_12,2025-01-05,login,243.74
usuario_36,2025-02-26,blog,216.77
usuario_35,2025-03-23,login,612.32
usuario_9,2025-02-03,login,216.77
usuario_95,2025-02-17,contato,erro
usuario_75,2025-03-18,produtos,396.57
usuario_68,2025-03-28,contato,162.83
usuario_61,2025-03-10,home,207.78
usuario_8,2025-03-14,home,558.38
usuario_61,2025-01-26,blog,540.4
usuario_74,2025-03-30,home,171.82
usuario_36,2025-01-10,sobre,504.44
usuario_39,2025-02-01,contato,864.04
usuario_31,2025-03-23,produtos,36.97
usuario_41,2025-03-17,login,828.08
usuario_88,2025-03-06,produtos,162.83
usuario_81,2025-03-26,home,333.64
usuario_52,2025-02-10,produtos,837.07
usuario_53,2025-02-14,blog,18.99
usuario_85,2025-02-12,sobre,234.75
usuario_51,2025-02-24,sobre,405.56
usuario_53,2025-03-19,contato,774.14
usuario_23,2025-02-27,produtos,198.79
usuario_99,2025-01-12,sobre,333.64
usuario_66,2025-02-22,produtos,198.79
usuario_94,2025-03-06,login,360.61
usuario_70,2025-01-08,produtos,837.07
usuario_61,2025-03-27,produtos,171.82
usuario_25,2025-03-16,login,585.35
usuario_90,2025-03-15,blog,720.2
usuario_59,2025-03-16,blog,351.62
usuario_88,2025-01-19,home,234.75
usuario_73,2025-02-13,blog,387.58
usuario_53,2025-02-27,login,erro
usuario_17,2025-01-16,blog,459.49
usuario_54,2025-03-01,home,36.97
usuario_72,2025-01-30,home,666.26
usuario_100,2025-03-03,produtos,
usuario_101,2025-02-27,contato,630.3
usuario_85,2025-03-19,blog,378.59
usuario_53,2025-03-14,produtos,10.0
usuario_11,2025-01-25,contato,333.64
usuario_31,2025-01-01,blog,126.87
usuario_37,2025-03-03,blog,396.57
usuario_33,2025-01-21,contato,243.74
usuario_19,2025-03-14,contato,405.56
usuario_46,2025-03-25,sobre,54.95
usuario_7,2025-01-06,login,585.35
usuario_6,2025-01-05,sobre,810.1
usuario_15,2025-03-06,produtos,639.29
usuario_32,2025-02-20,blog,171.82
usuario_8,2025-03-08,blog,783.13
usuario_87,2025-02-04,produtos,36.97
usuario_85,2025-01-18,login,36.97
usuario_96,2025-03-17,produtos,630.3
usuario_41,2025-02-06,home,nan
usuario_71,2025-01-23,home,783.13
usuario_20,2025-01-24,produtos,144.85
usuario_43,2025-01-23,contato,297.68
usuario_86,2025-02-21,home,468.48
usuario_7,2025-01-18,produtos,36.97
usuario_87,2025-03-10,sobre,333.64
usuario_15,2025-01-08,home,270.71
usuario_63,2025-01-18,home,432.53
usuario_87,2025-02-02,blog,306.67
usuario_50,2025-03-26,login,675.25
usuario_50,2025-02-09,contato,72.93
usuario_79,2025-03-03,sobre,621.31
usuario_97,2025-01-07,contato,10.0
usuario_77,2025-02-06,home,783.13
usuario_13,2025-02-03,login,567.37
usuario_63,2025-03-01,home,558.38
usuario_6,2025-01-21,contato,99.9
usuario_40,2025-03-31,login,891.01
usuario_15,2025-01-19,contato,63.94
usuario_65,2025-03-06,login,549.39
usuario_71,2025-03-05,blog,414.55
usuario_84,2025-01-08,contato,747.17
usuario_45,2025-01-13,login,36.97
usuario_3,2025-02-24,contato,360.61
usuario_47,2025-03-02,blog,504.44
usuario_43,2025-02-14,blog,747.17
usuario_8,2025-02-22,home,90.91
usuario_57,2025-02-24,blog,81.92
usuario_82,2025-03-05,produtos,846.06
usuario_14,2025-03-10,blog,333.64
usuario_60,2025-02-05,home,erro
usuario_49,2025-03-31,sobre,783.13
usuario_62,2025-01-25,produtos,360.61
usuario_5,2025-03-22,login,387.58
usuario_4,2025-02-25,contato,342.63
usuario_20,2025-03-04,blog,405.56
usuario_52,2025-02-22,login,531.41
usuario_84,2025-03-20,login,810.1
usuario_45,2025-01-09,login,666.26
usuario_5,2025-02-09,blog,576.36
usuario_11,2025-03-26,produtos,648.28
usuario_96,2025-01-26,contato,450.51
usuario_16,2025-02-12,login,756.16
usuario_18,2025-03-31,blog,18.99
usuario_63,2025-03-25,produtos,558.38
usuario_62,2025-03-23,produtos,216.77
usuario_10,2025-01-05,blog,117.88
usuario_54,2025-01-19,blog,315.66
usuario_97,2025-03-21,sobre,414.55
usuario_84,2025-01-15,contato,27.98
usuario_36,2025-01-16,home,621.31
usuario_70,2025-02-26,blog,10.0
usuario_58,2025-01-26,contato,18.99
usuario_66,2025-01-26,login,468.48
usuario_14,2025-01-05,blog,693.23
usuario_50,2025-02-08,produtos,729.19
usuario_36,2025-03-28,login,432.53
usuario_28,2025-03-03,blog,675.25
usuario_39,2025-02-04,contato,783.13
usuario_32,2025-03-15,blog,882.02
usuario_95,2025-03-23,contato,10.0
usuario_21,2025-03-06,login,126.87
usuario_45,2025-01-23,login,306.67
usuario_87,2025-01-29,home,819.09
usuario_41,2025-01-20,produtos,558.38
usuario_9,2025-03-31,contato,693.23
usuario_84,2025-03-16,login,234.75
usuario_54,2025-01-20,login,468.48
usuario_91,2025-03-25,blog,27.98
usuario_31,2025-01-05,produtos,747.17
usuario_48,2025-02-06,sobre,36.97
usuario_95,2025-03-25,sobre,324.65
usuario_48,2025-03-27,contato,54.95
usuario_5,2025-02-16,login,135.86
usuario_14,2025-01-09,blog,erro
usuario_71,2025-01-09,blog,405.56
usuario_13,2025-03-03,contato,738.18
usuario_55,2025-03-26,home,45.96
usuario_58,2025-02-15,contato,414.55
usuario_93,2025-03-07,login,10.0
usuario_46,2025-01-06,sobre,270.71
usuario_100,2025-03-20,sobre,234.75
usuario_66,2025-01-12,login,774.14
usuario_34,2025-03-16,produtos,531.41
usuario_100,2025-01-11,contato,477.47
usuario_77,2025-02-03,contato,405.56
usuario_10,2025-02-10,contato,621.31
usuario_3,2025-03-15,sobre,333.64
usuario_88,2025-01-24,home,432.53
usuario_4,2025-02-28,login,621.31
usuario_43,2025-03-03,produtos,63.94
usuario_67,2025-01-20,home,576.36
usuario_54,2025-03-21,login,369.6
usuario_33,2025-01-12,produtos,801.11
usuario_57,2025-01-19,sobre,252.73
usuario_96,2025-03-27,produtos,441.52
usuario_78,2025-03-27,login,756.16
usuario_78,2025-03-03,produtos,774.14
usuario_13,2025-02-03,blog,666.26
usuario_11,2025-03-03,produtos,270.71
usuario_98,2025-01-12,contato,792.12
usuario_36,2025-01-06,sobre,153.84
usuario_57,2025-01-24,produtos,837.07
usuario_98,2025-02-18,contato,666.26
