Loja,Produto,Mês,Quantidade_Vendida,Valor_Total_Venda
Loja C,Mouse,Abr,33,1200.0
Loja D,Notebook,Abr,99,6000.0
Loja C,Monitor,Jan,97,3300.0
Loja B,Teclado,Mar,61,6500.0
Loja C,Mouse,Jun,79,4500.0
Loja A,Mouse,Mai,4,900.0
Loja C,Monitor,Jan,93,9300.0
Loja B,Smartphone,Mar,17,2100.0
Loja A,Notebook,Jun,80,2600.0
Loja D,Notebook,Fev,47,3000.0
Loja C,Monitor,Jan,5,2600.0
Loja B,Smartphone,Mar,36,3600.0
Loja B,Tablet,Jan,98,5400.0
Loja A,Smartphone,Jan,92,9400.0
Loja B,Mouse,Jun,31,3200.0
Loja D,Smartphone,Jan,25,1500.0
Loja C,Smartphone,Abr,75,nan
Loja B,Smartphone,Mai,95,3300.0
Loja C,Teclado,Jun,80,6300.0
Loja B,Smartphone,Jan,6,9600.0
Loja C,Monitor,Mar,90,7500.0
Loja D,Monitor,Abr,90,4800.0
Loja C,Teclado,Jan,27,4700.0
Loja D,Mouse,Mar,81,1300.0
Loja A,Mouse,Mai,2,5600.0
Loja A,Tablet,Abr,17,8400.0
Loja B,Mouse,Jun,62,3400.0
Loja A,Tablet,Mar,63,9600.0
Loja B,Notebook,Fev,63,6700.0
Loja C,Smartphone,Mar,15,7400.0
Loja B,Teclado,Fev,81,8100.0
Loja B,Notebook,Mar,46,3600.0
Loja C,Monitor,Jun,10,7400.0
Loja B,Monitor,Jan,1,4400.0
Loja B,Teclado,Jan,95,1600.0
Loja D,Notebook,Jun,13,3900.0
Loja C,Tablet,Mai,95,9300.0
Loja C,Notebook,Jun,52,2900.0
Loja B,Smartphone,Abr,12,3600.0
Loja D,Notebook,Jun,44,2300.0
Loja B,Monitor,Mai,99,7300.0
Loja A,Teclado,Abr,0,4600.0
Loja A,Notebook,Abr,15,1600.0
Loja B,Mouse,Jan,55,7300.0
Loja B,Smartphone,Abr,3,300.0
Loja B,Mouse,Fev,79,5400.0
Loja D,Smartphone,Jun,44,7200.0
Loja D,Tablet,Jun,35,5400.0
Loja C,Smartphone,Fev,74,2600.0
Loja D,Tablet,Mai,0,3500.0
Loja C,Monitor,Mar,31,7000.0
Loja C,Notebook,Abr,89,4900.0
Loja A,Mouse,Jun,96,1800.0
Loja A,Teclado,Jan,71,8600.0
Loja C,Smartphone,Jan,74,4100.0
Loja B,Notebook,Abr,53,9200.0
Loja D,Mouse,Abr,63,1400.0
Loja D,Mouse,Mar,48,9800.0
Loja B,Monitor,Mai,4,8200.0
Loja B,Tablet,Fev,23,100.0
Loja B,Tablet,Fev,38,6300.0
Loja D,Teclado,Mai,69,9300.0
Loja B,Monitor,Mai,38,2500.0
Loja A,Notebook,Abr,12,8800.0
Loja A,Mouse,Jun,72,6500.0
Loja D,Monitor,Fev,60,5100.0
