id_aluno,materia,turno,faltas,nota_prova1,nota_prova2,media_final,aprovado
234,Matemática,Manhã,5.0,6.2,6.4,6.3,1
235,História,Tarde,6.0,9.3,10.0,9.6,0
236,Biologia,Tarde,1.0,4.7,7.1,5.9,0
237,Biologia,Manhã,3.0,6.6,5.8,6.2,1
238,Biologia,Manhã,5.0,8.2,5.9,7.0,1
239,Física,Tarde,1.0,7.7,5.3,6.5,1
240,Português,Noite,3.0,7.2,4.1,5.6,0
241,Física,Tarde,3.0,4.5,7.8,6.2,1
242,Matemática,Noite,3.0,4.9,5.9,5.4,0
243,História,Tarde,4.0,9.8,7.5,8.6,1
244,Português,Tarde,4.0,7.2,8.1,7.6,1
245,Português,Tarde,3.0,6.6,6.6,6.6,1
246,Biologia,Tarde,3.0,7.5,5.0,6.2,1
247,Biologia,Noite,4.0,7.3,7.2,7.2,1
248,Física,Noite,5.0,7.9,7.3,7.6,1
249,Física,Tarde,2.0,6.4,9.1,7.8,1
250,Matemática,Manhã,1.0,,9.0,7.2,1
251,Física,Manhã,6.0,5.1,8.2,6.6,0
252,Biologia,Tarde,3.0,7.8,7.7,7.8,1
253,História,Tarde,4.0,6.3,5.2,5.8,0
254,Biologia,Tarde,0.0,8.8,6.1,7.4,1
255,História,Manhã,2.0,5.5,6.6,6.0,1
256,Matemática,Manhã,4.0,8.3,7.2,7.8,1
257,Português,Tarde,1.0,6.0,5.4,5.7,0
258,Biologia,Tarde,3.0,4.2,5.8,5.0,0
259,História,Noite,2.0,7.7,4.3,6.0,1
260,Matemática,Noite,2.0,7.1,5.8,6.4,1
261,Português,Tarde,2.0,6.7,4.6,5.6,0
262,Física,Noite,,6.3,8.1,7.2,1
263,História,Tarde,1.0,5.8,6.9,6.4,1
264,Português,Manhã,5.0,6.6,7.8,7.2,1
265,Física,Tarde,2.0,3.7,4.9,4.3,0
266,Matemática,Noite,3.0,7.3,8.1,7.7,1
267,História,Noite,2.0,5.7,7.8,6.8,1
268,Português,Manhã,2.0,5.5,6.2,5.8,0
269,Matemática,Tarde,2.0,5.5,5.5,5.5,0
270,Física,Manhã,2.0,8.4,5.4,6.9,1
271,História,Manhã,1.0,9.8,6.8,8.3,1
272,Português,Tarde,5.0,7.9,6.4,7.2,1
273,História,Noite,2.0,4.9,5.3,5.1,0
274,História,Tarde,4.0,6.3,4.5,5.4,0
275,Matemática,Tarde,2.0,5.1,6.9,6.0,1
276,Matemática,Tarde,4.0,6.9,6.7,6.8,1
277,Física,Tarde,3.0,7.6,6.0,6.8,1
278,Matemática,Tarde,5.0,8.2,7.8,8.0,1
279,História,Manhã,2.0,6.8,7.1,7.0,1
280,História,Manhã,7.0,7.7,6.2,7.0,0
281,História,Tarde,6.0,5.3,10.0,7.6,0
282,Português,Tarde,4.0,7.2,6.3,6.8,1
283,Matemática,Manhã,1.0,6.8,3.3,5.0,0
284,Português,Tarde,2.0,6.0,8.0,7.0,1
285,História,Manhã,6.0,4.0,8.5,6.2,0
286,História,Tarde,4.0,7.2,4.9,6.1,1
287,História,Manhã,3.0,3.7,6.9,5.3,0
288,Física,Noite,2.0,5.9,4.9,5.4,0
289,Física,Manhã,4.0,6.5,5.8,6.2,1
290,História,Manhã,4.0,5.0,8.5,6.8,1
291,Física,Manhã,2.0,6.0,9.3,7.6,1
292,Matemática,Noite,5.0,3.4,6.3,4.8,0
293,Português,Tarde,3.0,5.5,7.1,6.3,1
294,Português,Tarde,2.0,6.2,6.4,6.3,1
295,Biologia,Manhã,3.0,2.5,7.2,4.8,0
296,Português,Noite,5.0,6.4,4.8,5.6,0
297,Biologia,Tarde,2.0,6.5,7.0,6.8,1
298,Física,Noite,5.0,7.3,7.0,7.2,1
299,Biologia,Manhã,1.0,6.9,8.5,7.7,1
300,História,Tarde,0.0,7.4,4.2,5.8,0
301,História,Noite,5.0,4.8,4.5,4.6,0
302,Física,Manhã,,5.6,7.8,6.7,1
303,História,Manhã,0.0,9.5,4.8,7.2,1
304,Matemática,Tarde,2.0,7.7,6.9,7.3,1
305,Português,Tarde,3.0,6.4,5.1,5.8,0
306,Biologia,Noite,2.0,8.7,6.1,7.4,1
307,Matemática,Manhã,5.0,8.3,7.1,7.7,1
308,Português,Manhã,4.0,7.7,6.6,7.2,1
309,Matemática,Tarde,3.0,5.8,6.7,6.2,1
310,Português,Tarde,4.0,4.4,4.4,4.4,0
311,Biologia,Noite,3.0,6.6,5.9,6.2,1
312,História,Manhã,0.0,6.0,6.8,6.4,1
313,Matemática,Tarde,4.0,6.6,6.6,6.6,1
314,Matemática,Manhã,,8.3,8.6,8.4,1
315,Física,Manhã,,5.9,7.8,6.8,1
316,História,Manhã,2.0,5.8,6.5,6.2,1
317,Física,Tarde,3.0,7.7,6.4,7.0,1
318,Física,Tarde,7.0,4.1,5.0,4.6,0
319,Matemática,Manhã,3.0,9.1,5.3,7.2,1
320,Biologia,Tarde,,6.2,8.1,7.2,1
321,Português,Manhã,5.0,7.1,6.3,6.7,1
322,Biologia,Noite,3.0,7.3,5.2,6.2,1
323,História,Tarde,3.0,7.5,5.8,6.6,1
324,Matemática,Noite,3.0,6.1,6.4,6.2,1
325,Biologia,Noite,1.0,5.0,5.5,5.2,0
326,Biologia,Manhã,,4.9,7.9,6.4,1
327,Física,Tarde,4.0,5.2,6.5,5.8,0
328,Português,Manhã,,6.2,8.1,7.2,1
329,Matemática,Tarde,3.0,7.5,5.8,6.6,1
330,História,Manhã,5.0,6.9,6.4,6.6,1
331,Português,Tarde,2.0,6.9,4.9,5.9,0
332,Matemática,Manhã,0.0,5.7,6.5,6.1,1
333,Matemática,Tarde,3.0,6.5,8.5,7.5,1
334,Matemática,Tarde,4.0,6.9,3.4,5.2,0
335,Matemática,Noite,1.0,5.2,7.7,6.4,1
336,Física,Tarde,2.0,6.9,5.3,6.1,1
337,Física,Tarde,2.0,5.4,8.9,7.2,1
338,Português,Manhã,3.0,8.1,6.1,7.1,1
339,Matemática,Noite,2.0,5.5,8.0,6.8,1
340,Física,Manhã,0.0,8.6,5.0,6.8,1
341,Português,Noite,2.0,6.4,6.9,6.6,1
342,Biologia,Noite,3.0,6.8,5.5,6.2,1
343,Matemática,Manhã,0.0,,5.2,5.8,0
344,Matemática,Noite,3.0,7.1,6.9,7.0,1
345,Matemática,Manhã,2.0,5.6,3.8,4.7,0
346,História,Manhã,5.0,3.5,6.6,5.0,0
347,Português,Manhã,1.0,3.0,9.5,6.2,1
348,História,Manhã,2.0,8.1,5.3,6.7,1
349,Matemática,Noite,1.0,8.3,7.1,7.7,1
350,Português,Noite,1.0,4.2,5.6,4.9,0
351,Matemática,Noite,1.0,,6.5,5.6,0
352,Português,Noite,1.0,8.0,7.4,7.7,1
353,História,Tarde,5.0,5.5,5.0,5.2,0
354,História,Tarde,2.0,5.3,5.8,5.6,0
355,Matemática,Manhã,1.0,8.6,8.1,8.4,1
356,Física,Noite,3.0,6.5,7.1,6.8,1
357,Português,Manhã,1.0,8.2,7.0,7.6,1
358,Matemática,Manhã,1.0,8.4,5.2,6.8,1
359,Matemática,Manhã,3.0,6.5,5.3,5.9,0
360,História,Tarde,3.0,8.3,7.4,7.8,1
361,História,Manhã,4.0,4.2,5.5,4.8,0
362,Português,Manhã,3.0,7.5,7.0,7.2,1
363,Física,Noite,2.0,4.8,5.6,5.2,0
364,Física,Tarde,4.0,4.5,7.7,6.1,1
365,Português,Manhã,6.0,6.3,8.5,7.4,0
366,Biologia,Noite,,6.7,6.2,6.4,0
367,Matemática,Tarde,5.0,5.6,6.7,6.2,1
368,Português,Noite,2.0,4.4,8.0,6.2,1
369,História,Manhã,4.0,7.2,6.6,6.9,1
370,Matemática,Tarde,3.0,6.8,9.0,7.9,1
371,História,Tarde,3.0,6.3,5.1,5.7,0
372,Matemática,Noite,5.0,4.2,8.8,6.5,1
373,Biologia,Tarde,6.0,7.4,7.6,7.5,0
374,Matemática,Tarde,1.0,5.3,5.2,5.2,0
375,Biologia,Manhã,3.0,8.4,6.7,7.6,1
376,Matemática,Tarde,4.0,7.8,5.2,6.5,1
377,Matemática,Tarde,3.0,5.9,6.4,6.2,1
378,Física,Manhã,1.0,8.3,8.7,8.5,1
379,Biologia,Manhã,2.0,5.4,7.5,6.4,1
380,Biologia,Noite,2.0,5.0,7.4,6.2,1
381,Biologia,Manhã,3.0,5.8,7.0,6.4,1
382,Física,Tarde,2.0,5.0,9.0,7.0,1
383,Matemática,Manhã,,4.9,7.3,6.1,1
384,Português,Manhã,2.0,4.6,5.5,5.0,0
385,Física,Noite,4.0,6.2,5.7,6.0,1
386,Física,Tarde,2.0,6.9,6.1,6.5,1
387,Física,Manhã,1.0,8.5,8.7,8.6,1
388,História,Manhã,1.0,7.2,2.7,5.0,0
389,Matemática,Tarde,2.0,4.3,5.6,4.9,0
390,Português,Noite,2.0,,3.6,6.2,1
391,Português,Noite,0.0,4.5,7.5,6.0,1
392,Português,Noite,3.0,6.6,4.8,5.7,0
393,Matemática,Noite,1.0,8.8,4.9,6.8,1
394,Matemática,Noite,2.0,4.8,6.6,5.7,0
395,Português,Manhã,6.0,5.7,8.7,7.2,0
396,Física,Tarde,4.0,5.8,3.8,4.8,0
397,Física,Tarde,2.0,10.0,6.3,8.2,1
398,Matemática,Noite,1.0,1.1,6.7,3.9,0
399,Matemática,Manhã,4.0,5.0,4.9,5.0,0
400,Matemática,Manhã,4.0,8.3,6.6,7.4,1
