id_curso,categoria,plataforma,horas_concluidas,avaliacao_usuario
1055,Negócios,Coursera,19.8,5.0
1056,Idiomas,Coursera,18.8,3.0
1057,Saúde,edX,16.1,5.0
1058,Idiomas,Alura,26.6,1.0
1059,Tecnologia,Outros,6.4,
1060,Saúde,Alura,19.7,4.0
1061,Tecnologia,edX,25.5,3.0
1062,Tecnologia,Alura,0.1,4.0
1063,Design,Udemy,27.9,2.0
1064,Tecnologia,Coursera,15.3,5.0
1065,Negócios,Outros,18.3,4.0
1066,Design,Udemy,23.6,4.0
1067,Design,Alura,35.3,5.0
1068,Design,Coursera,9.5,4.0
1069,Saúde,Udemy,11.7,4.0
1070,Idiomas,Coursera,17.7,4.0
1071,Saúde,Udemy,23.6,3.0
1072,Saúde,edX,12.1,
1073,Tecnologia,Udemy,20.5,4.0
1074,Idiomas,Udemy,15.9,2.0
1075,Saúde,edX,9.4,3.0
1076,Saúde,Outros,18.6,5.0
1077,Design,Udemy,24.9,4.0
1078,Design,Alura,16.2,3.0
1079,Saúde,edX,14.6,1.0
1080,Idiomas,Outros,17.5,2.0
1081,Negócios,Coursera,14.1,4.0
1082,Negócios,Coursera,17.0,5.0
1083,Design,edX,10.0,4.0
1084,Saúde,Outros,6.4,4.0
1085,Negócios,Udemy,10.1,3.0
1086,Tecnologia,Outros,8.8,3.0
1087,Idiomas,Udemy,19.7,4.0
1088,Tecnologia,Coursera,12.1,4.0
1089,Tecnologia,Coursera,13.4,3.0
1090,Tecnologia,edX,27.8,2.0
1091,Negócios,Alura,14.1,3.0
1092,Tecnologia,Coursera,21.6,3.0
1093,Idiomas,Coursera,20.2,4.0
1094,Idiomas,edX,9.5,2.0
1095,Tecnologia,Outros,22.1,2.0
1096,Negócios,edX,15.0,5.0
1097,Negócios,edX,13.6,4.0
1098,Negócios,Alura,11.5,2.0
1099,Idiomas,Outros,26.8,4.0
1100,Negócios,Alura,1.1,4.0
1101,Saúde,edX,22.1,2.0
1102,Tecnologia,edX,21.3,5.0
1103,Negócios,Alura,,3.0
1104,Tecnologia,Coursera,11.3,5.0
1105,Design,Udemy,14.4,5.0
1106,Tecnologia,Coursera,20.1,4.0
1107,Idiomas,edX,22.9,3.0
1108,Tecnologia,Alura,10.9,4.0
1109,Saúde,Udemy,16.6,3.0
1110,Idiomas,Udemy,5.3,1.0
1111,Negócios,Coursera,20.0,4.0
1112,Tecnologia,Outros,25.3,2.0
1113,Idiomas,edX,,4.0
1114,Design,Coursera,24.9,4.0
1115,Negócios,Alura,19.0,3.0
1116,Negócios,edX,20.2,4.0
1117,Tecnologia,Outros,25.2,4.0
1118,Design,Alura,19.0,4.0
1119,Tecnologia,Outros,24.7,4.0
1120,Negócios,Udemy,11.5,4.0
1121,Saúde,Coursera,17.9,1.0
1122,Negócios,Coursera,17.7,3.0
1123,Saúde,Outros,14.3,1.0
1124,Saúde,Outros,19.5,5.0
1125,Negócios,edX,16.7,1.0
1126,Tecnologia,edX,14.4,3.0
1127,Tecnologia,Outros,27.6,4.0
1128,Negócios,edX,19.8,4.0
1129,Saúde,edX,25.2,3.0
1130,Negócios,Alura,19.4,1.0
1131,Idiomas,Udemy,18.0,2.0
1132,Negócios,Alura,19.9,5.0
1133,Tecnologia,edX,0.4,4.0
1134,Design,Coursera,11.9,5.0
1135,Negócios,Alura,14.9,5.0
1136,Saúde,Coursera,13.2,4.0
1137,Idiomas,Outros,1.7,4.0
1138,Tecnologia,edX,13.7,4.0
1139,Tecnologia,Udemy,22.4,4.0
1140,Tecnologia,Alura,,4.0
1141,Idiomas,Alura,10.7,3.0
1142,Saúde,Alura,9.4,1.0
1143,Saúde,Udemy,11.9,4.0
1144,Idiomas,edX,17.2,
1145,Tecnologia,Coursera,17.7,3.0
1146,Tecnologia,edX,9.7,3.0
1147,Tecnologia,Udemy,25.3,4.0
1148,Saúde,edX,11.6,3.0
1149,Saúde,edX,14.7,3.0
1150,Saúde,Udemy,24.0,3.0
1151,Idiomas,Udemy,11.4,4.0
1152,Design,Outros,11.5,3.0
1153,Saúde,edX,21.8,4.0
1154,Negócios,Coursera,15.1,3.0
1155,Idiomas,Coursera,22.1,3.0
1156,Tecnologia,Coursera,,3.0
1157,Negócios,Udemy,24.6,4.0
1158,Negócios,Coursera,19.9,2.0
1159,Negócios,Outros,17.4,2.0
1160,Saúde,Udemy,16.2,2.0
1161,Negócios,edX,16.6,2.0
1162,Negócios,Alura,11.8,2.0
1163,Idiomas,Alura,13.6,4.0
1164,Idiomas,Outros,7.8,1.0
1165,Tecnologia,Alura,11.3,3.0
1166,Negócios,edX,11.1,5.0
1167,Saúde,Coursera,11.4,5.0
1168,Idiomas,Outros,16.0,5.0
1169,Design,edX,18.5,4.0
1170,Idiomas,Outros,21.0,3.0
1171,Design,edX,19.3,4.0
1172,Idiomas,Coursera,22.7,4.0
1173,Tecnologia,Alura,23.3,3.0
1174,Saúde,Udemy,13.1,5.0
1175,Design,Udemy,13.3,4.0
1176,Tecnologia,Alura,21.5,4.0
1177,Idiomas,Outros,19.8,3.0
1178,Idiomas,edX,10.8,2.0
1179,Tecnologia,Coursera,19.7,2.0
1180,Idiomas,Udemy,16.0,4.0
1181,Design,Outros,6.8,5.0
1182,Tecnologia,Alura,3.1,5.0
1183,Design,Coursera,16.2,3.0
1184,Tecnologia,Outros,-2.6,5.0
1185,Saúde,edX,0.6,3.0
1186,Saúde,edX,,5.0
1187,Tecnologia,Alura,11.0,4.0
1188,Saúde,Outros,14.8,4.0
1189,Saúde,Alura,21.5,3.0
1190,Tecnologia,Udemy,10.2,4.0
1191,Tecnologia,Udemy,21.3,4.0
1192,Saúde,Udemy,11.9,4.0
1193,Saúde,Udemy,16.8,5.0
1194,Tecnologia,edX,11.1,2.0
1195,Idiomas,Udemy,11.3,3.0
1196,Saúde,Udemy,19.1,5.0
1197,Negócios,Outros,12.7,4.0
1198,Saúde,Udemy,18.3,2.0
1199,Idiomas,Coursera,11.6,5.0
1200,Design,Coursera,11.8,5.0
1201,Idiomas,Udemy,5.0,4.0
1202,Design,Outros,20.0,3.0
1203,Tecnologia,Alura,26.2,4.0
1204,Negócios,Alura,14.7,2.0
1205,Design,edX,14.8,3.0
1206,Tecnologia,Udemy,10.6,5.0
1207,Idiomas,Udemy,17.8,3.0
1208,Idiomas,Coursera,16.9,4.0
1209,Negócios,Udemy,18.5,3.0
1210,Saúde,edX,19.3,5.0
1211,Saúde,Alura,15.9,5.0
1212,Design,edX,18.6,3.0
1213,Tecnologia,Alura,12.9,3.0
1214,Tecnologia,Udemy,10.5,4.0
1215,Negócios,Coursera,16.1,3.0
1216,Tecnologia,Coursera,5.4,3.0
1217,Design,Coursera,20.0,4.0
1218,Tecnologia,edX,13.4,4.0
1219,Tecnologia,Coursera,13.2,4.0
1220,Saúde,edX,8.8,3.0
1221,Tecnologia,Udemy,23.6,5.0
1222,Saúde,Alura,12.5,5.0
1223,Saúde,Alura,14.2,4.0
1224,Idiomas,Udemy,15.5,4.0
1225,Saúde,Udemy,10.0,4.0
1226,Negócios,Udemy,21.6,5.0
1227,Idiomas,Udemy,20.0,4.0
1228,Design,Coursera,12.8,1.0
1229,Tecnologia,Udemy,26.0,4.0
1230,Negócios,Outros,15.2,3.0
1231,Tecnologia,Udemy,13.6,4.0
1232,Saúde,edX,20.5,2.0
1233,Negócios,edX,22.9,4.0
1234,Design,Outros,16.3,5.0
1235,Negócios,Coursera,7.5,4.0
1236,Saúde,Outros,28.5,4.0
1237,Tecnologia,Alura,10.4,5.0
1238,Negócios,edX,22.2,4.0
1239,Negócios,Coursera,26.3,2.0
1240,Negócios,Coursera,21.5,3.0
1241,Saúde,Outros,21.8,3.0
1242,Saúde,Alura,8.1,4.0
1243,Design,Udemy,16.9,
1244,Design,Outros,18.5,4.0
1245,Design,Udemy,,2.0
1246,Saúde,Coursera,19.2,5.0
1247,Idiomas,edX,18.8,2.0
1248,Negócios,Outros,18.5,5.0
1249,Tecnologia,Outros,23.5,3.0
1250,Tecnologia,Outros,5.9,5.0
1251,Tecnologia,Udemy,14.9,4.0
1252,Tecnologia,Outros,15.0,4.0
1253,Tecnologia,Outros,11.6,5.0
1254,Idiomas,Udemy,18.2,
1255,Tecnologia,Alura,3.7,4.0
1256,Negócios,Udemy,11.1,4.0
1257,Tecnologia,edX,18.5,2.0
1258,Negócios,edX,29.2,3.0
1259,Saúde,Outros,5.9,
1260,Saúde,Udemy,17.0,2.0
1261,Negócios,Udemy,15.7,
1262,Design,Coursera,13.5,
1263,Negócios,Alura,15.5,4.0
1264,Design,Outros,1.6,3.0
1265,Idiomas,Alura,18.0,4.0
1266,Design,Outros,16.7,1.0
1267,Saúde,Alura,18.8,4.0
1268,Design,Coursera,18.2,5.0
1269,Idiomas,Coursera,6.6,4.0
1270,Saúde,Alura,16.5,3.0
1271,Idiomas,edX,,3.0
1272,Negócios,edX,16.4,3.0
1273,Design,Alura,12.0,4.0
1274,Tecnologia,Coursera,-0.4,5.0
1275,Negócios,edX,19.9,
1276,Design,Outros,12.0,2.0
1277,Negócios,edX,17.8,3.0
1278,Idiomas,edX,9.0,4.0
1279,Negócios,Udemy,19.8,2.0
1280,Design,edX,12.6,2.0
1281,Negócios,Coursera,13.0,3.0
1282,Negócios,Coursera,26.3,2.0
1283,Saúde,Udemy,13.8,5.0
1284,Idiomas,Udemy,20.1,
1285,Tecnologia,Outros,16.8,2.0
1286,Design,Alura,18.1,5.0
1287,Idiomas,Alura,13.8,4.0
1288,Negócios,Outros,20.3,4.0
1289,Tecnologia,edX,15.2,4.0
1290,Tecnologia,Outros,,4.0
1291,Tecnologia,Outros,,3.0
1292,Idiomas,Outros,18.4,5.0
1293,Negócios,Udemy,4.7,5.0
1294,Tecnologia,Alura,8.5,3.0
1295,Idiomas,edX,17.1,4.0
1296,Negócios,Outros,8.1,4.0
1297,Saúde,Alura,14.3,
1298,Negócios,Coursera,9.4,
1299,Negócios,Alura,10.2,4.0
1300,Design,Udemy,17.8,5.0
1301,Negócios,Alura,12.9,5.0
1302,Tecnologia,Outros,16.2,4.0
1303,Idiomas,Udemy,13.4,3.0
1304,Saúde,edX,6.0,4.0
1305,Tecnologia,Coursera,14.9,2.0
1306,Tecnologia,edX,16.1,4.0
1307,Idiomas,Alura,17.1,5.0
1308,Design,edX,13.0,2.0
1309,Tecnologia,edX,12.6,4.0
1310,Idiomas,Alura,19.6,5.0
1311,Design,Udemy,8.3,5.0
1312,Saúde,Outros,13.8,2.0
1313,Saúde,Udemy,16.9,5.0
1314,Negócios,Alura,7.2,2.0
1315,Tecnologia,Coursera,16.0,4.0
1316,Saúde,edX,13.0,3.0
1317,Tecnologia,Coursera,13.8,3.0
1318,Design,Coursera,9.4,4.0
1319,Idiomas,Coursera,17.9,4.0
1320,Negócios,edX,19.1,5.0
1321,Saúde,edX,11.8,3.0
1322,Tecnologia,edX,17.2,5.0
1323,Negócios,Udemy,10.8,4.0
1324,Saúde,Outros,22.3,5.0
1325,Tecnologia,Alura,18.2,3.0
1326,Negócios,Udemy,12.6,4.0
1327,Design,Alura,17.1,4.0
1328,Saúde,Alura,6.6,4.0
1329,Negócios,edX,23.9,3.0
1330,Negócios,Udemy,27.4,5.0
1331,Tecnologia,edX,24.1,3.0
1332,Negócios,Udemy,17.9,5.0
1333,Saúde,Coursera,16.8,
1334,Tecnologia,Outros,9.6,3.0
1335,Design,Outros,4.7,5.0
1336,Tecnologia,Coursera,15.1,5.0
1337,Design,edX,10.2,4.0
1338,Negócios,Alura,16.2,3.0
1339,Tecnologia,edX,18.3,4.0
1340,Idiomas,edX,9.3,1.0
1341,Design,Coursera,3.5,
1342,Negócios,Alura,,4.0
1343,Tecnologia,Udemy,20.1,3.0
1344,Negócios,Udemy,20.6,4.0
1345,Idiomas,Outros,16.1,3.0
1346,Saúde,edX,14.5,3.0
1347,Design,edX,16.5,4.0
1348,Tecnologia,Alura,15.3,3.0
1349,Idiomas,Udemy,13.1,4.0
1350,Saúde,Coursera,7.5,3.0
1351,Design,Coursera,12.1,4.0
1352,Idiomas,Coursera,17.9,3.0
1353,Negócios,edX,,3.0
1354,Negócios,Coursera,19.9,5.0
1355,Tecnologia,Alura,19.2,4.0
1356,Design,Alura,5.6,3.0
1357,Negócios,edX,7.0,4.0
1358,Tecnologia,Udemy,11.0,3.0
1359,Saúde,edX,22.2,4.0
1360,Negócios,Alura,23.6,
1361,Design,edX,,4.0
1362,Negócios,edX,11.7,1.0
1363,Idiomas,Coursera,14.5,3.0
1364,Tecnologia,Udemy,14.5,4.0
1365,Saúde,Udemy,8.0,4.0
1366,Design,Outros,17.1,4.0
1367,Idiomas,Alura,15.4,5.0
1368,Idiomas,edX,15.0,4.0
1369,Negócios,Alura,16.9,4.0
1370,Negócios,Udemy,18.8,1.0
1371,Design,Alura,7.5,3.0
1372,Saúde,edX,19.3,4.0
1373,Tecnologia,Udemy,14.7,5.0
1374,Idiomas,edX,21.1,
1375,Idiomas,Coursera,16.7,5.0
1376,Idiomas,Coursera,9.8,
1377,Design,Udemy,,2.0
1378,Saúde,Alura,15.1,4.0
1379,Saúde,Udemy,21.5,4.0
1380,Idiomas,Udemy,19.6,5.0
1381,Idiomas,Alura,14.3,3.0
1382,Saúde,Udemy,18.1,4.0
1383,Idiomas,Coursera,17.0,2.0
1384,Saúde,edX,12.4,4.0
1385,Tecnologia,Udemy,6.5,4.0
1386,Tecnologia,Alura,,1.0
1387,Design,Coursera,11.0,5.0
1388,Tecnologia,Coursera,12.1,2.0
1389,Tecnologia,edX,16.7,4.0
1390,Saúde,edX,8.2,4.0
1391,Tecnologia,edX,-4.1,5.0
1392,Design,Outros,14.4,4.0
1393,Tecnologia,Alura,15.2,3.0
1394,Design,Coursera,,4.0
1395,Saúde,Coursera,17.6,1.0
1396,Idiomas,edX,8.8,
1397,Tecnologia,Udemy,3.5,4.0
1398,Negócios,Udemy,17.4,4.0
1399,Design,Alura,9.8,5.0
1400,Idiomas,Alura,16.9,4.0
1401,Negócios,edX,4.4,3.0
1402,Tecnologia,Outros,15.4,5.0
1403,Saúde,Alura,7.1,5.0
1404,Negócios,Coursera,12.6,3.0
1405,Saúde,Coursera,11.6,4.0
1406,Saúde,edX,12.7,5.0
1407,Saúde,Outros,14.7,4.0
1408,Design,Alura,21.4,2.0
1409,Idiomas,Alura,13.8,4.0
1410,Design,edX,14.5,1.0
1411,Saúde,Alura,28.2,3.0
1412,Design,Udemy,18.7,3.0
1413,Idiomas,Udemy,1.9,2.0
1414,Saúde,edX,12.3,5.0
1415,Saúde,Outros,8.5,5.0
1416,Negócios,Outros,26.6,3.0
1417,Design,Outros,22.3,
1418,Idiomas,Coursera,17.8,5.0
1419,Idiomas,edX,19.3,4.0
1420,Idiomas,Alura,19.7,4.0
1421,Tecnologia,Udemy,26.3,5.0
1422,Idiomas,Udemy,,3.0
1423,Idiomas,Alura,7.9,4.0
1424,Design,Outros,17.4,4.0
1425,Design,edX,21.4,4.0
1426,Negócios,Alura,18.0,5.0
1427,Saúde,Udemy,23.6,4.0
1428,Design,Alura,14.4,3.0
1429,Design,Alura,18.0,4.0
1430,Idiomas,Coursera,28.6,4.0
1431,Tecnologia,Udemy,30.8,5.0
1432,Idiomas,Alura,16.7,3.0
1433,Design,edX,19.2,5.0
1434,Saúde,Outros,19.3,5.0
1435,Saúde,Alura,8.9,1.0
1436,Idiomas,Alura,14.4,3.0
1437,Negócios,Coursera,6.5,4.0
1438,Tecnologia,Udemy,16.2,5.0
1439,Design,edX,9.7,3.0
1440,Tecnologia,Udemy,15.4,3.0
1441,Saúde,edX,17.2,5.0
1442,Negócios,Alura,18.0,4.0
1443,Negócios,Udemy,18.5,5.0
1444,Tecnologia,Outros,26.8,5.0
1445,Negócios,Alura,6.2,4.0
1446,Design,Outros,22.3,2.0
1447,Idiomas,edX,19.7,2.0
1448,Idiomas,Udemy,17.9,4.0
1449,Saúde,Udemy,8.0,4.0
1450,Design,Outros,19.7,3.0
1451,Negócios,Udemy,,2.0
1452,Design,Coursera,15.0,3.0
1453,Tecnologia,edX,13.8,3.0
1454,Saúde,Alura,29.1,3.0
1455,Tecnologia,Udemy,18.5,4.0
1456,Saúde,Outros,33.9,5.0
1457,Tecnologia,Coursera,12.9,4.0
1458,Negócios,Coursera,15.5,4.0
1459,Idiomas,Alura,19.8,2.0
1460,Tecnologia,Outros,25.8,3.0
1461,Design,edX,7.8,4.0
1462,Tecnologia,edX,21.7,3.0
1463,Tecnologia,Coursera,12.2,4.0
1464,Design,Alura,13.0,2.0
1465,Design,Alura,,3.0
1466,Tecnologia,edX,16.8,4.0
1467,Design,Alura,11.1,3.0
1468,Idiomas,Alura,15.4,4.0
1469,Tecnologia,Coursera,23.6,4.0
1470,Idiomas,Coursera,15.2,5.0
1471,Design,edX,6.8,5.0
1472,Negócios,Udemy,15.0,3.0
1473,Idiomas,Outros,17.8,2.0
1474,Tecnologia,Coursera,16.5,5.0
1475,Negócios,Alura,13.0,4.0
1476,Saúde,Alura,9.1,4.0
1477,Design,Udemy,22.1,3.0
1478,Idiomas,edX,13.1,4.0
1479,Saúde,edX,18.0,3.0
1480,Tecnologia,Outros,22.4,2.0
1481,Idiomas,Coursera,21.5,4.0
1482,Idiomas,Coursera,12.3,5.0
1483,Idiomas,Coursera,11.5,3.0
1484,Tecnologia,Alura,8.1,3.0
1485,Design,Outros,7.0,5.0
1486,Tecnologia,Coursera,8.8,4.0
1487,Saúde,Alura,12.5,2.0
1488,Idiomas,edX,23.1,5.0
1489,Tecnologia,Alura,13.5,4.0
1490,Tecnologia,Udemy,13.5,3.0
1491,Idiomas,Coursera,13.8,5.0
1492,Saúde,Alura,18.0,3.0
1493,Saúde,Udemy,13.6,5.0
1494,Idiomas,Udemy,19.5,4.0
1495,Tecnologia,Coursera,,1.0
1496,Idiomas,Outros,22.0,4.0
1497,Tecnologia,Udemy,12.0,3.0
1498,Negócios,Alura,7.1,3.0
1499,Saúde,edX,-0.2,5.0
