id,data_chamada,duracao_minutos,tipo_chamada,satisfacao
241,2024-08-28,7.5,Cancelamento,4.0
242,2024-08-29,13.1,Suporte Técnico,
243,2024-08-30,11.9,Outros,4.0
244,2024-08-31,2.2,Financeiro,4.0
245,2024-09-01,11.1,Financeiro,3.0
246,2024-09-02,8.7,Outros,4.0
247,2024-09-03,31.7,Financeiro,3.0
248,2024-09-04,12.8,Suporte Técnico,
249,2024-09-05,8.8,Outros,1.0
250,2024-09-06,13.3,Financeiro,1.0
