Cidade,Taxa_Vacinacao,Casos_Doencas,Gastos_Saude_per_capita,IDH,Nivel_Risco
Cidade_38,77.87,122,1775.79,0.677,Baixo Risco
Cidade_39,86.08,128,1729.5,0.91,Baixo Risco
Cidade_40,88.45,125,756.02,0.584,Baixo Risco
Cidade_41,70.2,105,2184.55,0.782,Alto Risco
Cidade_42,90.56,120,1304.46,0.751,Baixo Risco
Cidade_43,98.66,116,586.74,0.744,Baixo Risco
Cidade_44,81.39,132,721.75,0.831,Baixo Risco
Cidade_45,77.23,123,901.68,0.929,Baixo Risco
Cidade_46,80.0,121,839.18,0.915,Baixo Risco
Cidade_47,90.65,106,660.47,0.86,Baixo Risco
Cidade_48,72.97,153,1265.97,0.896,Alto Risco
Cidade_49,66.55,97,1968.43,0.728,Alto Risco
Cidade_50,84.73,129,1046.4,0.774,Baixo Risco
Cidade_51,85.59,110,1746.93,0.745,Baixo Risco
Cidade_52,91.43,121,757.58,0.768,Baixo Risco
Cidade_53,97.11,124,1323.53,0.736,Baixo Risco
Cidade_54,93.52,131,1009.83,0.82,Baixo Risco
Cidade_55,98.51,112,1826.95,0.561,Baixo Risco
Cidade_56,82.11,128,2243.71,0.829,Baixo Risco
Cidade_57,61.17,120,2103.6,0.936,Alto Risco
Cidade_58,65.73,107,1107.91,0.784,Alto Risco
Cidade_59,78.88,114,2179.28,0.793,Baixo Risco
Cidade_60,87.28,119,2237.98,0.864,Baixo Risco
Cidade_61,87.53,98,1563.29,0.612,Baixo Risco
Cidade_62,89.04,115,2352.71,0.894,Baixo Risco
Cidade_63,99.58,126,2323.35,0.73,Baixo Risco
Cidade_64,75.71,119,1063.42,0.866,Baixo Risco
Cidade_65,80.53,115,1930.44,0.642,Baixo Risco
Cidade_66,96.84,120,629.08,0.662,Baixo Risco
Cidade_67,75.46,140,1620.01,0.63,Baixo Risco
Cidade_68,77.88,140,1230.73,0.762,Baixo Risco
Cidade_69,77.91,112,2360.2,0.804,Baixo Risco
Cidade_70,70.53,128,1817.29,0.565,Alto Risco
Cidade_71,97.15,108,2478.44,0.662,Baixo Risco
Cidade_72,80.64,129,709.51,0.581,Baixo Risco
Cidade_73,86.57,116,1254.86,0.652,Baixo Risco
Cidade_74,93.29,135,1337.54,0.933,Baixo Risco
Cidade_75,60.14,129,516.65,0.876,Alto Risco
Cidade_76,83.32,111,1448.9,0.776,Baixo Risco
Cidade_77,79.53,116,1440.28,0.883,Baixo Risco
Cidade_78,70.94,120,2272.9,0.821,Alto Risco
Cidade_79,71.1,126,1970.39,0.573,Alto Risco
Cidade_80,92.11,145,1270.93,0.725,Alto Risco
Cidade_81,77.74,105,1985.6,0.717,Baixo Risco
Cidade_82,73.02,120,1241.02,0.587,Alto Risco
Cidade_83,84.82,116,1417.52,0.931,Baixo Risco
Cidade_84,84.15,109,1723.49,0.911,Baixo Risco
Cidade_85,79.75,112,1098.56,0.906,Baixo Risco
Cidade_86,88.46,126,665.79,0.565,Baixo Risco
Cidade_87,83.7,111,1520.4,0.818,Baixo Risco
Cidade_88,79.04,135,2164.88,0.82,Baixo Risco
Cidade_89,76.59,131,2472.58,0.755,Baixo Risco
Cidade_90,90.25,127,1944.8,0.604,Baixo Risco
Cidade_91,61.05,107,1945.9,0.889,Alto Risco
Cidade_92,75.87,149,2304.76,0.614,Alto Risco
Cidade_93,80.25,127,979.93,0.699,Baixo Risco
Cidade_94,89.68,137,665.88,0.588,Baixo Risco
Cidade_95,79.71,114,1146.52,0.703,Baixo Risco
Cidade_96,93.68,111,1812.0,0.593,Baixo Risco
Cidade_97,60.2,118,1727.84,0.739,Alto Risco
Cidade_98,66.73,126,1497.74,0.936,Alto Risco
Cidade_99,84.07,127,810.73,0.719,Baixo Risco
Cidade_100,85.87,106,2057.57,0.835,Baixo Risco
