Aluno,Idade,Presenca,Atividades_Entregues,Nota_Provas,Nota_Projetos,Media_Final,Aprovado
Aluno_183,56,0.4,15,7.6,7.1,7.3,0
Aluno_184,24,0.5,20,6.4,4.7,5.6,0
Aluno_185,36,0.69,19,5.7,8.0,6.9,0
Aluno_186,38,0.72,20,6.7,7.6,7.2,0
Aluno_187,47,0.53,12,6.9,5.7,6.3,0
Aluno_188,19,0.57,13,10.0,7.3,8.6,0
Aluno_189,52,0.69,10,7.4,6.1,6.7,0
Aluno_190,28,0.6,18,6.6,7.8,7.2,0
Aluno_191,43,0.85,12,5.2,5.1,5.1,0
Aluno_192,46,0.89,17,4.7,7.2,5.9,0
Aluno_193,28,0.69,7,3.6,5.1,4.4,0
Aluno_194,28,0.78,12,5.5,7.8,6.7,1
Aluno_195,53,0.92,6,3.9,4.7,4.3,0
Aluno_196,54,0.54,17,6.3,5.7,6.0,0
Aluno_197,55,0.82,8,8.9,7.3,8.1,0
Aluno_198,20,0.45,11,4.9,2.8,3.9,0
Aluno_199,41,0.77,16,7.2,8.3,7.8,1
Aluno_200,47,0.65,10,5.2,6.9,6.1,0
Aluno_201,51,0.59,15,9.3,6.2,7.8,0
Aluno_202,20,0.42,14,9.1,6.8,8.0,0
Aluno_203,33,0.79,7,10.0,7.2,8.6,0
Aluno_204,25,0.49,12,7.3,6.2,6.8,0
Aluno_205,38,0.48,5,6.0,9.8,7.9,0
Aluno_206,35,0.76,12,6.8,9.8,8.3,1
Aluno_207,25,1.0,18,4.8,4.2,4.5,0
Aluno_208,46,0.93,19,7.8,9.2,8.5,1
Aluno_209,58,0.88,13,10.0,8.1,9.0,1
Aluno_210,45,0.68,9,3.9,5.3,4.6,0
Aluno_211,59,0.54,20,4.3,9.2,6.8,0
Aluno_212,33,0.49,15,5.6,4.7,5.2,0
Aluno_213,50,0.7,19,9.7,3.8,6.7,0
Aluno_214,21,0.5,17,5.9,9.1,7.5,0
Aluno_215,32,0.55,16,9.5,5.1,7.3,0
Aluno_216,35,0.88,15,7.9,8.7,8.3,1
Aluno_217,26,0.79,19,8.0,8.7,8.4,1
Aluno_218,33,0.62,20,3.1,5.7,4.4,0
Aluno_219,28,0.41,20,3.8,8.3,6.1,0
Aluno_220,46,0.53,6,8.8,2.8,5.8,0
Aluno_221,53,0.57,19,6.5,7.2,6.9,0
Aluno_222,21,0.75,5,3.8,6.6,5.2,0
Aluno_223,36,0.52,10,10.0,7.2,8.6,0
Aluno_224,18,0.56,19,7.1,3.8,5.5,0
Aluno_225,50,0.74,15,5.8,5.1,5.4,0
Aluno_226,20,0.97,15,10.0,7.0,8.5,1
Aluno_227,24,0.6,16,6.3,5.9,6.1,0
Aluno_228,26,0.56,19,3.7,7.1,5.4,0
Aluno_229,21,0.55,12,7.1,7.2,7.2,0
Aluno_230,42,0.85,7,4.1,7.6,5.9,0
Aluno_231,35,0.71,8,8.4,8.5,8.5,0
Aluno_232,23,0.91,9,7.2,7.4,7.3,0
Aluno_233,42,0.51,7,10.0,10.0,10.0,0
Aluno_234,59,0.95,14,10.0,7.3,8.7,1
Aluno_235,41,0.95,10,4.3,9.9,7.1,1
Aluno_236,30,0.83,13,4.9,4.2,4.6,0
Aluno_237,18,0.8,10,6.2,6.5,6.3,1
Aluno_238,38,0.55,17,7.1,7.5,7.3,0
Aluno_239,52,0.84,13,3.3,5.2,4.2,0
Aluno_240,56,0.81,10,3.8,6.9,5.4,0
Aluno_241,36,0.42,8,7.8,4.1,5.9,0
Aluno_242,42,0.81,5,8.9,3.8,6.3,0
Aluno_243,53,0.78,14,10.0,5.9,7.9,1
Aluno_244,20,0.44,17,6.9,7.9,7.4,0
Aluno_245,43,0.43,12,5.7,5.6,5.6,0
Aluno_246,57,0.61,16,7.1,7.4,7.2,0
Aluno_247,50,0.8,16,9.7,7.2,8.5,1
Aluno_248,44,0.48,12,5.7,5.5,5.6,0
Aluno_249,34,0.53,15,3.7,5.0,4.4,0
Aluno_250,50,0.65,18,7.1,5.9,6.5,0
Aluno_251,55,0.46,11,7.4,8.1,7.7,0
Aluno_252,50,0.97,18,6.5,3.1,4.8,0
Aluno_253,58,0.67,9,8.2,9.7,9.0,0
Aluno_254,50,0.91,13,6.4,8.4,7.4,1
Aluno_255,16,0.58,13,5.1,4.8,5.0,0
Aluno_256,29,0.71,18,7.5,9.9,8.7,0
Aluno_257,22,0.47,8,5.8,9.5,7.7,0
Aluno_258,46,0.8,17,2.8,8.9,5.9,0
Aluno_259,54,0.74,5,4.5,6.4,5.4,0
Aluno_260,21,0.49,16,3.6,5.2,4.4,0
Aluno_261,43,0.59,6,8.4,6.3,7.4,0
Aluno_262,28,0.56,20,7.4,8.0,7.7,0
Aluno_263,40,0.56,12,2.5,8.5,5.5,0
Aluno_264,17,0.53,20,8.4,7.1,7.7,0
Aluno_265,35,0.58,11,6.3,2.8,4.6,0
Aluno_266,34,0.67,5,7.0,6.2,6.6,0
Aluno_267,36,0.94,7,3.7,6.1,4.9,0
Aluno_268,21,0.63,5,8.1,7.8,8.0,0
Aluno_269,31,0.56,12,5.9,5.2,5.6,0
Aluno_270,18,0.65,9,8.1,6.6,7.4,0
Aluno_271,47,0.46,16,5.3,4.0,4.7,0
Aluno_272,34,0.52,11,8.0,7.4,7.7,0
Aluno_273,41,0.78,6,7.1,10.0,8.5,0
Aluno_274,42,0.78,7,8.2,8.1,8.1,0
Aluno_275,47,0.88,16,6.0,8.4,7.2,1
Aluno_276,34,0.56,5,6.0,8.8,7.4,0
Aluno_277,18,0.54,10,8.0,7.3,7.7,0
Aluno_278,52,0.62,5,10.0,8.9,9.4,0
Aluno_279,56,0.57,13,7.5,8.3,7.9,0
Aluno_280,47,0.44,17,7.6,8.6,8.1,0
Aluno_281,39,0.51,11,6.6,4.4,5.5,0
Aluno_282,28,0.94,9,10.0,5.1,7.5,0
Aluno_283,46,0.81,9,5.3,7.8,6.5,0
Aluno_284,30,0.98,6,8.2,7.6,7.9,0
Aluno_285,36,0.42,8,8.5,9.0,8.7,0
Aluno_286,32,0.96,18,8.8,4.7,6.8,1
Aluno_287,26,0.69,13,7.5,2.7,5.1,0
Aluno_288,50,0.85,13,5.7,5.9,5.8,0
Aluno_289,21,0.72,19,5.9,4.2,5.1,0
Aluno_290,52,0.95,13,7.6,10.0,8.8,1
Aluno_291,41,0.9,9,4.9,8.5,6.7,0
Aluno_292,46,0.43,6,5.8,2.9,4.4,0
Aluno_293,53,0.62,13,10.0,9.1,9.5,0
Aluno_294,45,0.74,14,4.0,7.7,5.9,0
Aluno_295,19,0.66,19,10.0,7.9,9.0,0
Aluno_296,32,0.44,8,5.5,6.9,6.2,0
Aluno_297,37,0.72,14,7.6,8.2,7.9,0
Aluno_298,46,0.85,10,6.9,9.7,8.3,1
Aluno_299,52,0.57,14,9.7,8.6,9.1,0
Aluno_300,45,0.67,16,6.0,9.7,7.8,0
