id_morador,faixa_etaria,tipo_residencia,consumo_mensal_litros,possui_cisterna
200,26-35,Apartamento,7682.18,Não
201,60+,Condomínio,9608.76,Não
202,26-35,Casa,4874.24,Não
203,26-35,Casa,7151.3,Não
204,60+,Casa,7648.01,Sim
205,46-60,Condomínio,6570.11,Não
206,26-35,Casa,7019.56,Sim
207,36-45,Casa,7092.48,Sim
208,26-35,Apartamento,4497.12,Não
209,18-25,Condomínio,7158.76,Não
210,26-35,Casa,8845.88,Não
211,46-60,Casa,7517.96,Não
212,26-35,Apartamento,8629.52,Não
213,46-60,Apartamento,7770.32,Não
214,26-35,Apartamento,8502.16,Não
215,18-25,Apartamento,9359.26,Não
216,60+,Condomínio,6310.25,Não
217,18-25,Casa,8297.39,Não
218,60+,Casa,7273.72,Não
219,26-35,Casa,8630.4,Não
220,46-60,Casa,8592.37,Não
221,60+,Casa,8791.43,Não
222,18-25,Apartamento,7431.82,Sim
223,60+,Apartamento,8611.62,Não
224,18-25,Casa,6599.66,Não
225,18-25,Apartamento,6941.98,Sim
226,18-25,Apartamento,8592.51,Não
227,26-35,Casa,7813.59,Não
228,36-45,Casa,8270.87,Não
229,26-35,Apartamento,9766.0,Sim
230,36-45,Casa,9047.76,Não
231,36-45,Apartamento,7200.41,Sim
232,26-35,Casa,8181.3,Não
233,18-25,Condomínio,8069.26,Não
234,18-25,Casa,6882.59,Não
235,36-45,Apartamento,5974.46,Não
236,46-60,Apartamento,5070.39,Não
237,60+,Condomínio,9227.49,Sim
238,26-35,Apartamento,8201.35,Não
239,18-25,Apartamento,7578.29,Não
240,26-35,Apartamento,8415.46,Não
241,26-35,Casa,8353.13,Não
242,36-45,Condomínio,6556.27,Não
243,36-45,Condomínio,9142.89,Não
244,26-35,Casa,8636.49,Não
245,26-35,Casa,5784.12,Não
246,36-45,Apartamento,8609.12,Não
247,26-35,Condomínio,8285.44,Não
248,26-35,Apartamento,6345.68,Não
249,26-35,Apartamento,8739.09,Não
250,36-45,Casa,4976.11,Não
251,36-45,Apartamento,5214.81,Não
252,36-45,Casa,6878.28,Não
253,18-25,Apartamento,4396.43,Não
254,36-45,Apartamento,7028.94,Não
255,36-45,Apartamento,5738.39,Sim
256,36-45,Apartamento,9885.38,Não
257,36-45,Condomínio,8421.0,Não
258,36-45,Condomínio,7118.11,Não
259,18-25,Casa,7395.84,Não
260,26-35,Condomínio,6663.52,Não
261,26-35,Casa,6834.52,Não
262,36-45,Condomínio,6275.3,Não
263,18-25,Casa,10024.5,Não
264,26-35,Apartamento,6354.45,Não
265,36-45,Apartamento,7105.09,Sim
266,36-45,Apartamento,7453.97,Não
267,26-35,Apartamento,8053.2,Não
268,26-35,Apartamento,8304.2,Não
269,36-45,Condomínio,7201.96,Não
270,36-45,Apartamento,6485.33,Não
271,46-60,Casa,6512.3,Não
272,46-60,Condomínio,9127.76,Não
273,26-35,Apartamento,7081.89,Não
274,26-35,Condomínio,8724.77,Sim
275,36-45,Casa,5453.05,Não
276,36-45,Casa,8193.23,Sim
277,36-45,Apartamento,7779.98,Não
278,26-35,Casa,8426.03,Não
279,26-35,Apartamento,8092.05,Não
280,18-25,Casa,7070.15,Sim
281,26-35,Apartamento,5781.17,Não
282,36-45,Apartamento,4370.07,Sim
283,18-25,Apartamento,7107.95,Não
284,60+,Casa,8157.4,Sim
285,26-35,Condomínio,8201.89,Sim
286,46-60,Casa,7235.56,Sim
287,26-35,Condomínio,6336.67,Não
288,26-35,Apartamento,8984.19,Não
289,26-35,Casa,11148.08,Não
290,26-35,Casa,5869.24,Sim
291,36-45,Apartamento,10880.58,Não
292,26-35,Apartamento,8730.43,Não
293,36-45,Casa,4727.63,Não
294,46-60,Apartamento,7189.65,Não
295,46-60,Apartamento,6465.05,Não
296,60+,Apartamento,6600.42,Não
297,60+,Apartamento,8020.9,Não
298,36-45,Casa,8144.45,Não
299,36-45,Apartamento,6812.58,Não
300,26-35,Apartamento,8147.47,Não
