id_usuario,dia_semana,modo_transporte,tempo_deslocamento_min,distancia_km
1616,Quinta,Bicicleta,31.0,20.2
1170,Terça,A Pé,36.7,9.4
1682,Quarta,Bicicleta,,10.0
1293,Segunda,Ônibus,14.2,11.7
1018,Sexta,Carro,17.6,3.2
1338,Terça,A Pé,31.1,11.5
1030,Quarta,Metrô,32.1,15.9
1474,Terça,Carro,41.0,9.7
1975,Segunda,A Pé,32.9,13.6
1198,Quinta,Metrô,33.1,4.8
1707,Terça,Ônibus,45.0,9.3
1004,Quarta,A Pé,42.4,12.3
1746,Quarta,Ônibus,61.7,15.7
1795,Quinta,Bicicleta,22.3,14.0
1261,Sexta,Carro,,11.7
1157,Quarta,Ônibus,29.1,10.0
1542,Quarta,Metrô,26.0,11.0
1174,Quinta,Carro,,17.0
1562,Quinta,Bicicleta,37.6,12.5
1529,Quarta,Ônibus,40.3,14.6
1769,Terça,Bicicleta,28.9,15.8
1485,Terça,Bicicleta,29.9,12.2
1019,Quarta,Carro,26.5,11.9
1730,Sexta,Metrô,47.7,11.3
1085,Quinta,A Pé,22.7,10.6
