id_usuario,sexo,faixa_idade,atividade,duracao_min,calorias_gastas
5363,Outro,36-45,Corrida,15.1,342.9
5326,Masculino,46-60,Outros,29.9,291.3
5030,Feminino,60+,Musculação,65.7,259.2
5214,Outro,26-35,Yoga,58.2,343.7
5674,Outro,26-35,Corrida,53.8,338.6
5909,Feminino,26-35,Bicicleta,93.4,294.9
5168,Masculino,18-25,Yoga,72.9,315.2
5363,Outro,36-45,Musculação,70.3,425.1
5388,Masculino,26-35,Corrida,58.6,445.3
5951,Outro,36-45,Corrida,36.0,421.7
5724,Masculino,60+,Outros,29.5,328.5
5070,Masculino,46-60,Corrida,46.7,
5648,Feminino,18-25,Caminhada,43.3,374.9
5973,Masculino,60+,Musculação,18.8,349.0
5094,Feminino,46-60,Bicicleta,22.8,264.4
5063,Outro,26-35,Caminhada,38.2,372.7
5222,Feminino,46-60,Bicicleta,19.4,
5816,Feminino,36-45,Outros,-5.1,462.5
5664,Masculino,18-25,Caminhada,37.1,
5620,Feminino,18-25,Musculação,40.4,393.5
5757,Outro,36-45,Corrida,55.0,503.9
5657,Masculino,26-35,Corrida,17.9,359.0
5292,Outro,18-25,Caminhada,47.9,268.7
5551,Outro,26-35,Bicicleta,56.4,241.3
5692,Masculino,46-60,Corrida,60.5,355.6
5074,Masculino,36-45,Caminhada,64.3,438.8
5675,Feminino,26-35,Musculação,37.1,337.7
5005,Outro,36-45,Musculação,78.8,392.0
5219,Masculino,18-25,Yoga,39.5,295.9
5521,Masculino,60+,Caminhada,66.2,516.4
5428,Outro,26-35,Caminhada,59.8,391.2
5290,Masculino,36-45,Yoga,30.9,315.8
5713,Masculino,26-35,Caminhada,75.9,341.0
5852,Outro,36-45,Caminhada,13.5,221.3
5919,Outro,60+,Bicicleta,60.3,438.8
5705,Feminino,46-60,Caminhada,25.4,360.6
5765,Feminino,46-60,Yoga,67.7,427.3
5745,Masculino,18-25,Corrida,31.5,497.8
5527,Masculino,46-60,Corrida,15.8,181.3
5748,Masculino,36-45,Caminhada,57.7,253.3
5850,Masculino,18-25,Corrida,27.5,245.5
5938,Outro,60+,Musculação,39.2,332.0
5311,Feminino,36-45,Musculação,2.6,353.1
5741,Outro,60+,Caminhada,26.3,557.8
5260,Feminino,46-60,Bicicleta,57.0,443.2
5128,Outro,26-35,Yoga,25.6,313.1
5355,Masculino,36-45,Outros,51.3,429.9
5756,Feminino,46-60,Musculação,30.4,446.7
5108,Outro,46-60,Caminhada,56.4,44.1
5607,Masculino,46-60,Corrida,56.3,333.4
5955,Masculino,18-25,Musculação,-15.5,317.8
5744,Masculino,36-45,Musculação,17.7,308.5
5808,Masculino,60+,Bicicleta,38.9,343.1
5086,Feminino,18-25,Outros,51.7,408.4
5215,Masculino,60+,Corrida,56.8,334.0
5138,Feminino,18-25,Yoga,55.6,187.2
5196,Outro,60+,Yoga,22.5,387.1
5942,Masculino,26-35,Bicicleta,39.0,362.6
5770,Feminino,36-45,Yoga,20.5,412.3
5246,Outro,46-60,Bicicleta,39.7,435.4
5692,Feminino,18-25,Yoga,58.9,482.6
5987,Feminino,60+,Bicicleta,41.5,255.0
5582,Outro,36-45,Corrida,41.2,390.1
5440,Masculino,18-25,Corrida,53.1,439.9
5000,Feminino,18-25,Outros,57.3,136.4
5616,Masculino,46-60,Yoga,33.8,470.3
5043,Feminino,60+,Corrida,74.3,319.6
5595,Masculino,26-35,Caminhada,51.1,287.8
5715,Feminino,36-45,Musculação,33.9,339.9
5107,Masculino,46-60,Caminhada,46.3,237.5
5196,Feminino,26-35,Outros,83.8,553.3
5960,Feminino,46-60,Outros,27.0,489.6
5299,Feminino,18-25,Caminhada,68.1,395.7
5842,Feminino,60+,Bicicleta,,366.0
5547,Feminino,36-45,Caminhada,39.4,206.3
5838,Feminino,36-45,Bicicleta,78.8,305.1
5419,Masculino,26-35,Yoga,35.8,238.6
5913,Masculino,46-60,Yoga,,231.0
5543,Masculino,60+,Outros,58.5,441.0
5218,Feminino,26-35,Musculação,70.4,383.8
5453,Feminino,60+,Bicicleta,68.3,422.6
5589,Outro,18-25,Corrida,40.5,
5062,Masculino,26-35,Yoga,,350.8
5957,Masculino,36-45,Yoga,15.0,319.2
5698,Feminino,46-60,Caminhada,38.5,525.1
5286,Masculino,46-60,Yoga,51.4,429.4
5253,Outro,60+,Musculação,39.2,214.2
5132,Masculino,46-60,Corrida,48.9,410.2
5155,Outro,26-35,Yoga,28.0,517.1
5885,Masculino,26-35,Bicicleta,,225.7
5363,Outro,18-25,Caminhada,51.0,455.1
5276,Masculino,18-25,Outros,41.7,480.0
5046,Feminino,26-35,Bicicleta,33.9,513.5
5942,Feminino,46-60,Musculação,57.0,254.9
5321,Feminino,18-25,Corrida,23.6,164.0
5986,Masculino,46-60,Yoga,33.5,381.1
5291,Feminino,60+,Musculação,43.6,343.5
5641,Masculino,60+,Bicicleta,44.8,574.5
5545,Feminino,60+,Bicicleta,43.9,124.3
5106,Masculino,36-45,Corrida,28.9,406.7
5855,Outro,26-35,Caminhada,54.1,464.3
5271,Feminino,60+,Corrida,48.5,510.8
5042,Outro,26-35,Yoga,33.7,397.6
5919,Outro,26-35,Outros,66.2,619.6
5281,Feminino,60+,Caminhada,10.8,215.7
5485,Outro,18-25,Caminhada,23.1,325.6
5270,Outro,26-35,Corrida,29.3,410.2
5240,Feminino,60+,Outros,43.6,331.0
5332,Outro,18-25,Yoga,66.9,444.5
5351,Outro,36-45,Musculação,74.7,341.2
5148,Masculino,60+,Yoga,82.6,246.6
5339,Feminino,46-60,Yoga,43.2,235.9
5603,Outro,60+,Musculação,52.2,234.8
5027,Masculino,46-60,Yoga,52.7,267.2
5763,Masculino,18-25,Musculação,54.0,267.5
5341,Outro,18-25,Bicicleta,22.0,258.0
5562,Masculino,18-25,Bicicleta,50.0,581.2
5896,Outro,26-35,Outros,48.6,344.7
5328,Feminino,18-25,Caminhada,54.7,431.7
5532,Feminino,46-60,Bicicleta,48.4,361.5
5636,Outro,18-25,Musculação,,204.3
5714,Masculino,60+,Bicicleta,42.1,140.5
5677,Outro,36-45,Corrida,31.9,370.4
5767,Outro,46-60,Yoga,61.0,436.6
5517,Outro,60+,Caminhada,73.1,288.6
5905,Feminino,36-45,Musculação,-1.8,276.8
5363,Outro,46-60,Outros,74.3,478.0
5178,Outro,26-35,Caminhada,24.1,363.4
5956,Feminino,36-45,Outros,,187.7
5041,Outro,60+,Corrida,25.9,475.4
5859,Feminino,60+,Bicicleta,7.8,438.5
5375,Masculino,60+,Outros,,426.4
5817,Feminino,26-35,Outros,49.1,363.0
5151,Outro,26-35,Bicicleta,17.4,361.4
5784,Masculino,60+,Outros,62.3,337.0
5293,Masculino,36-45,Corrida,21.0,335.1
5737,Masculino,26-35,Corrida,48.5,339.2
5978,Feminino,46-60,Outros,65.8,402.3
5582,Masculino,46-60,Bicicleta,66.9,317.9
5889,Feminino,46-60,Corrida,19.9,202.0
5142,Outro,18-25,Yoga,31.9,485.0
5808,Outro,36-45,Outros,69.6,340.9
5841,Masculino,60+,Caminhada,66.4,345.6
5084,Masculino,26-35,Musculação,65.8,310.7
5449,Outro,60+,Bicicleta,38.8,247.5
5650,Outro,46-60,Outros,36.8,501.5
5936,Outro,60+,Musculação,37.5,
5571,Masculino,46-60,Musculação,30.6,507.7
5677,Outro,36-45,Corrida,45.4,282.1
5025,Masculino,60+,Outros,-12.7,229.0
5991,Feminino,60+,Corrida,29.9,472.4
5027,Masculino,26-35,Outros,67.4,451.8
5003,Masculino,26-35,Outros,28.0,429.0
5422,Outro,18-25,Caminhada,64.7,368.4
5075,Feminino,36-45,Outros,47.3,267.1
5597,Feminino,60+,Bicicleta,53.8,372.7
5095,Outro,18-25,Musculação,46.2,326.8
5875,Outro,46-60,Outros,41.0,
5247,Feminino,60+,Outros,61.2,333.7
5515,Masculino,26-35,Musculação,,158.6
5225,Outro,36-45,Bicicleta,45.6,284.0
5035,Outro,60+,Bicicleta,51.0,377.8
5022,Outro,36-45,Musculação,54.5,284.6
5124,Masculino,36-45,Corrida,,270.3
5892,Outro,46-60,Musculação,37.5,205.0
5986,Feminino,46-60,Corrida,50.6,284.8
5708,Masculino,46-60,Bicicleta,23.7,330.9
5958,Masculino,18-25,Yoga,55.4,377.5
5643,Masculino,46-60,Bicicleta,25.1,339.0
5705,Feminino,36-45,Musculação,36.7,500.4
5741,Outro,36-45,Yoga,43.8,303.9
5976,Masculino,18-25,Corrida,37.3,325.1
5775,Outro,26-35,Musculação,54.5,343.2
5294,Feminino,18-25,Caminhada,37.7,520.7
5567,Outro,36-45,Outros,40.9,386.5
5787,Masculino,18-25,Bicicleta,65.6,130.1
5894,Feminino,26-35,Musculação,44.2,376.6
5388,Masculino,60+,Yoga,24.3,277.0
5662,Feminino,26-35,Corrida,66.7,338.2
5920,Feminino,60+,Yoga,33.6,402.3
5675,Feminino,26-35,Caminhada,35.7,455.1
5145,Masculino,26-35,Musculação,39.2,528.7
5156,Outro,26-35,Yoga,81.7,573.1
5432,Feminino,26-35,Bicicleta,44.6,255.7
5657,Masculino,18-25,Bicicleta,39.4,120.0
5087,Outro,46-60,Yoga,55.4,436.3
5205,Masculino,26-35,Caminhada,34.7,140.8
5800,Feminino,46-60,Caminhada,40.2,203.8
5529,Masculino,18-25,Bicicleta,2.7,403.7
5623,Feminino,26-35,Corrida,42.3,280.7
5088,Masculino,26-35,Caminhada,,199.2
5849,Masculino,36-45,Caminhada,18.3,382.0
5606,Outro,60+,Bicicleta,48.3,487.2
5205,Outro,36-45,Musculação,31.4,304.6
5967,Outro,60+,Outros,27.2,427.6
5535,Feminino,36-45,Corrida,,140.1
5281,Outro,26-35,Caminhada,42.3,279.4
5978,Outro,60+,Bicicleta,49.3,459.7
5319,Outro,36-45,Caminhada,45.7,354.7
5378,Feminino,18-25,Yoga,48.3,162.3
5024,Masculino,18-25,Outros,49.5,150.1
5289,Outro,18-25,Musculação,77.0,384.8
5413,Feminino,60+,Bicicleta,67.4,280.6
5167,Outro,26-35,Caminhada,43.3,460.7
5395,Outro,36-45,Outros,60.2,343.6
5644,Feminino,18-25,Bicicleta,25.1,323.3
5287,Masculino,60+,Bicicleta,56.0,505.4
5022,Masculino,18-25,Bicicleta,49.6,356.6
5494,Feminino,46-60,Bicicleta,28.4,168.7
5196,Outro,18-25,Corrida,72.7,377.1
5846,Outro,18-25,Bicicleta,13.2,474.0
5974,Outro,46-60,Caminhada,63.1,326.1
5374,Masculino,60+,Musculação,34.6,371.8
5043,Feminino,60+,Bicicleta,90.3,417.4
5193,Masculino,26-35,Corrida,22.8,449.9
5375,Outro,26-35,Bicicleta,,317.5
5418,Feminino,36-45,Corrida,64.0,278.9
5472,Feminino,60+,Yoga,60.6,606.1
5566,Feminino,46-60,Bicicleta,31.4,443.7
5053,Feminino,46-60,Corrida,32.8,255.6
5288,Outro,26-35,Bicicleta,62.7,283.2
5463,Feminino,36-45,Yoga,23.7,369.9
5966,Feminino,18-25,Bicicleta,31.1,336.9
5626,Masculino,26-35,Musculação,,296.1
5000,Feminino,18-25,Corrida,62.0,298.4
5532,Outro,26-35,Musculação,59.2,
5081,Outro,46-60,Musculação,28.9,496.7
5367,Masculino,36-45,Caminhada,38.7,499.9
5384,Masculino,18-25,Yoga,18.9,306.2
5675,Masculino,36-45,Yoga,4.6,452.6
5946,Outro,18-25,Caminhada,26.0,
5585,Feminino,46-60,Caminhada,22.8,220.2
5216,Feminino,26-35,Musculação,59.9,362.7
5783,Feminino,18-25,Bicicleta,54.3,353.2
5912,Outro,46-60,Corrida,46.8,343.7
5741,Feminino,46-60,Bicicleta,33.0,447.2
5900,Outro,26-35,Musculação,52.2,360.6
5664,Masculino,18-25,Yoga,67.4,333.6
5490,Feminino,36-45,Caminhada,20.3,460.5
5762,Feminino,36-45,Yoga,50.7,224.0
5422,Outro,36-45,Musculação,39.8,457.0
5574,Outro,60+,Yoga,26.0,408.5
5438,Feminino,36-45,Bicicleta,30.6,406.8
5882,Outro,60+,Musculação,46.3,392.0
5005,Feminino,46-60,Corrida,12.1,203.9
5236,Masculino,18-25,Bicicleta,48.1,453.8
5203,Outro,36-45,Outros,74.3,325.0
5804,Masculino,60+,Bicicleta,22.0,303.1
5315,Outro,46-60,Outros,2.7,542.3
5589,Masculino,36-45,Corrida,44.6,253.8
5464,Masculino,46-60,Corrida,17.4,457.7
5539,Masculino,60+,Corrida,54.6,
5421,Masculino,26-35,Caminhada,69.9,229.2
5492,Feminino,60+,Bicicleta,54.7,371.8
5369,Outro,36-45,Musculação,67.3,494.5
5235,Outro,46-60,Corrida,48.8,222.5
5805,Masculino,36-45,Caminhada,2.3,303.9
5261,Masculino,60+,Musculação,48.1,514.2
5635,Outro,26-35,Corrida,19.0,368.2
5463,Outro,46-60,Bicicleta,38.5,324.2
5409,Feminino,46-60,Caminhada,1.5,243.2
5179,Outro,60+,Caminhada,36.9,190.3
5813,Feminino,46-60,Yoga,55.2,261.4
5403,Outro,46-60,Yoga,57.6,343.1
5410,Outro,46-60,Corrida,62.2,361.9
5908,Feminino,46-60,Outros,22.3,289.1
5730,Outro,46-60,Caminhada,79.2,385.9
5171,Outro,60+,Yoga,55.8,
5636,Feminino,36-45,Outros,54.1,516.8
5649,Outro,26-35,Yoga,30.6,247.1
5536,Outro,36-45,Corrida,38.4,458.6
5446,Feminino,18-25,Bicicleta,39.4,576.5
5704,Masculino,60+,Musculação,31.0,319.8
5691,Feminino,18-25,Outros,14.8,428.8
5489,Masculino,46-60,Bicicleta,,445.1
5246,Feminino,46-60,Musculação,,263.7
5890,Feminino,36-45,Corrida,71.9,287.1
5682,Feminino,60+,Caminhada,41.3,376.3
5238,Feminino,26-35,Corrida,0.6,581.3
5838,Masculino,18-25,Musculação,23.3,401.3
5715,Outro,60+,Caminhada,44.5,283.6
5935,Outro,26-35,Yoga,68.1,376.6
5418,Outro,26-35,Caminhada,65.2,287.3
5471,Masculino,36-45,Yoga,51.3,240.3
5625,Feminino,18-25,Musculação,84.7,220.8
5778,Outro,60+,Bicicleta,62.3,337.6
5330,Outro,26-35,Corrida,43.8,511.9
5561,Outro,60+,Caminhada,19.2,294.1
5797,Masculino,36-45,Outros,79.7,378.1
5620,Outro,26-35,Musculação,17.2,145.3
5877,Masculino,46-60,Bicicleta,,206.5
5919,Feminino,26-35,Bicicleta,54.7,420.7
5343,Masculino,26-35,Caminhada,26.8,261.7
5783,Outro,18-25,Corrida,30.3,
5449,Masculino,36-45,Corrida,66.8,268.5
5127,Masculino,60+,Corrida,30.8,409.9
5778,Feminino,46-60,Musculação,66.4,163.6
5190,Masculino,46-60,Corrida,40.9,565.3
5739,Feminino,36-45,Outros,39.1,480.8
5547,Masculino,60+,Corrida,14.1,305.2
5633,Masculino,60+,Corrida,40.1,486.2
5643,Feminino,26-35,Musculação,79.9,513.4
5684,Outro,36-45,Corrida,22.8,300.0
5476,Feminino,60+,Musculação,40.4,326.3
5501,Feminino,36-45,Bicicleta,37.3,495.1
5587,Feminino,18-25,Outros,36.7,445.4
5542,Masculino,60+,Outros,82.3,416.7
5098,Masculino,36-45,Bicicleta,72.1,227.8
5359,Masculino,18-25,Musculação,33.1,360.6
5565,Masculino,36-45,Yoga,45.6,470.7
5641,Feminino,60+,Bicicleta,78.7,446.0
5782,Outro,18-25,Yoga,19.5,358.0
5949,Feminino,36-45,Corrida,48.8,341.5
5091,Feminino,18-25,Caminhada,26.7,273.9
5890,Outro,60+,Corrida,77.5,401.4
5968,Outro,60+,Corrida,13.6,238.7
5285,Masculino,60+,Corrida,24.4,333.1
5062,Feminino,26-35,Corrida,32.8,407.5
5934,Outro,26-35,Outros,69.4,407.1
5426,Masculino,26-35,Caminhada,54.3,255.3
5031,Masculino,26-35,Caminhada,55.7,450.4
5531,Feminino,36-45,Corrida,60.1,337.3
5869,Masculino,36-45,Musculação,80.5,323.0
5256,Outro,18-25,Corrida,60.6,413.4
5489,Feminino,36-45,Bicicleta,46.3,421.2
5587,Feminino,60+,Caminhada,53.5,496.4
5887,Masculino,26-35,Caminhada,-4.0,285.0
5326,Feminino,26-35,Caminhada,42.5,247.4
5176,Masculino,18-25,Corrida,49.7,399.2
5164,Masculino,36-45,Caminhada,75.6,312.5
5147,Outro,18-25,Musculação,39.0,302.4
5693,Outro,36-45,Corrida,47.3,403.6
5415,Masculino,60+,Corrida,28.6,453.2
5899,Outro,60+,Corrida,40.2,349.7
5450,Outro,60+,Yoga,76.8,473.7
5169,Outro,26-35,Corrida,14.5,181.4
5075,Masculino,46-60,Bicicleta,38.3,486.3
5892,Outro,36-45,Yoga,39.2,490.0
5216,Outro,36-45,Yoga,32.4,511.5
5605,Outro,18-25,Caminhada,31.7,412.5
5726,Masculino,60+,Bicicleta,16.5,451.0
5146,Feminino,18-25,Musculação,28.1,449.9
5157,Masculino,26-35,Caminhada,46.2,165.0
5659,Feminino,60+,Corrida,39.3,296.6
5992,Outro,26-35,Outros,79.6,327.4
5106,Masculino,36-45,Outros,58.6,311.2
5413,Feminino,46-60,Corrida,28.4,424.0
5469,Outro,46-60,Bicicleta,52.2,270.5
5962,Feminino,26-35,Corrida,26.4,191.9
5774,Feminino,60+,Musculação,22.1,306.6
5947,Masculino,46-60,Yoga,27.5,194.0
5484,Feminino,60+,Musculação,86.2,356.1
5757,Outro,18-25,Outros,47.6,311.3
5571,Outro,26-35,Caminhada,54.1,390.0
5570,Masculino,46-60,Outros,39.9,437.3
5296,Outro,18-25,Yoga,16.8,334.7
5273,Feminino,36-45,Yoga,19.7,317.2
5955,Masculino,18-25,Yoga,26.7,505.4
5360,Feminino,46-60,Yoga,48.8,391.2
5875,Outro,46-60,Outros,13.2,302.9
5385,Feminino,18-25,Caminhada,66.2,61.7
5113,Masculino,46-60,Bicicleta,11.6,400.5
5051,Feminino,18-25,Caminhada,85.2,341.6
5042,Masculino,26-35,Corrida,54.5,214.8
5153,Feminino,18-25,Musculação,72.3,509.8
5281,Outro,36-45,Corrida,38.3,365.2
5720,Masculino,36-45,Caminhada,44.5,415.2
5897,Masculino,18-25,Yoga,52.4,199.5
5017,Feminino,60+,Musculação,55.2,338.0
5348,Outro,60+,Caminhada,79.1,
5597,Feminino,46-60,Caminhada,72.5,430.7
5569,Masculino,26-35,Outros,103.3,388.9
5066,Outro,18-25,Bicicleta,61.3,298.4
5948,Feminino,36-45,Musculação,42.2,241.9
5285,Masculino,18-25,Yoga,17.8,303.1
5052,Outro,36-45,Bicicleta,45.6,481.3
5528,Masculino,36-45,Musculação,70.4,431.5
5294,Outro,60+,Outros,44.1,324.5
5675,Outro,18-25,Caminhada,25.8,
5955,Feminino,36-45,Musculação,59.5,362.0
5977,Outro,18-25,Caminhada,26.7,476.0
5860,Feminino,36-45,Yoga,32.9,555.2
5535,Outro,26-35,Corrida,50.3,353.6
5973,Feminino,46-60,Corrida,,400.8
5021,Feminino,26-35,Bicicleta,58.3,359.2
5591,Outro,26-35,Musculação,65.4,307.8
5020,Feminino,46-60,Yoga,77.6,345.3
5041,Feminino,46-60,Corrida,27.4,458.1
5062,Masculino,46-60,Bicicleta,57.4,311.4
5761,Outro,46-60,Musculação,48.0,448.5
5520,Feminino,60+,Caminhada,16.2,486.4
5079,Feminino,46-60,Bicicleta,85.6,269.6
5069,Outro,60+,Yoga,46.3,483.5
5377,Outro,18-25,Yoga,40.9,534.8
5298,Feminino,18-25,Outros,55.7,261.7
5625,Outro,26-35,Caminhada,59.0,526.8
5708,Feminino,60+,Yoga,70.7,164.9
5096,Masculino,18-25,Outros,,265.8
5115,Masculino,18-25,Bicicleta,12.2,
5536,Outro,60+,Yoga,35.1,126.3
5904,Outro,18-25,Caminhada,58.5,504.6
5423,Masculino,36-45,Musculação,56.2,577.2
5875,Masculino,60+,Outros,71.8,315.6
5429,Feminino,60+,Corrida,46.8,
5710,Outro,26-35,Yoga,72.6,155.9
5112,Feminino,18-25,Caminhada,25.7,540.8
5896,Outro,46-60,Bicicleta,27.4,83.1
5650,Outro,46-60,Musculação,69.8,377.5
5364,Outro,46-60,Caminhada,20.9,149.3
5724,Feminino,36-45,Corrida,15.7,261.3
5751,Masculino,46-60,Musculação,25.2,268.0
5296,Feminino,36-45,Yoga,31.1,453.8
5813,Feminino,46-60,Bicicleta,27.0,297.3
5494,Feminino,18-25,Caminhada,47.8,427.6
5081,Masculino,26-35,Bicicleta,76.0,274.7
5141,Outro,46-60,Corrida,55.3,307.2
5548,Masculino,46-60,Bicicleta,65.7,181.7
5375,Outro,26-35,Corrida,,423.7
5512,Masculino,36-45,Bicicleta,39.1,226.2
5790,Masculino,46-60,Caminhada,46.4,257.6
5109,Outro,46-60,Outros,83.4,264.5
5032,Masculino,46-60,Bicicleta,25.0,368.2
5347,Masculino,60+,Corrida,10.7,416.2
5252,Outro,26-35,Bicicleta,86.7,244.2
5557,Masculino,60+,Musculação,69.1,266.9
5518,Outro,46-60,Outros,67.1,432.6
5280,Masculino,46-60,Yoga,58.8,399.8
5992,Outro,36-45,Corrida,40.0,328.9
5298,Outro,46-60,Outros,51.2,172.3
5687,Outro,26-35,Outros,33.9,459.6
5867,Masculino,60+,Corrida,44.2,252.1
5039,Masculino,36-45,Outros,36.4,473.2
5001,Outro,46-60,Caminhada,8.0,295.3
