id_checkin,dia_semana,horario,tempo_treino_min,plano
5076,Terça,Noite,60.8,Plus
5077,Segunda,Tarde,75.0,Plus
5078,Terça,Manhã,51.9,Plus
5079,Sexta,Manhã,73.0,Premium
5080,Sexta,Manhã,63.3,Plus
5081,Segunda,Noite,85.7,Básico
5082,Segunda,Manhã,74.7,Plus
5083,Segunda,Manhã,80.2,Plus
5084,Quarta,Tarde,,Básico
5085,Terça,Manhã,57.3,Básico
5086,Sexta,Noite,74.7,Premium
5087,Segunda,Noite,61.7,Premium
5088,Terça,Manhã,84.9,Plus
5089,Quarta,Noite,26.5,Básico
5090,Segunda,Manhã,72.5,Premium
5091,Segunda,Manhã,65.8,Premium
5092,Terça,Manhã,65.9,Básico
5093,Segunda,Tarde,41.1,Plus
5094,Sexta,Manhã,80.1,Premium
5095,Quinta,Noite,58.7,Plus
5096,Quarta,Manhã,62.0,Premium
5097,Segunda,Tarde,53.1,
5098,Segunda,Tarde,53.9,Plus
5099,Segunda,Noite,70.6,Plus
5100,Terça,Tarde,84.8,Básico
5101,Sexta,Manhã,61.0,Básico
5102,Segunda,Manhã,58.6,Plus
5103,Terça,Manhã,101.1,Plus
5104,Segunda,Manhã,54.1,Básico
5105,Sábado,Tarde,62.2,Plus
5106,Quinta,Manhã,44.8,Básico
5107,Quinta,Manhã,50.7,Premium
5108,Segunda,Noite,,Básico
5109,Segunda,Manhã,56.3,Básico
5110,Quarta,Manhã,62.9,Plus
5111,Sexta,Tarde,63.1,Premium
5112,Quinta,Tarde,53.5,Básico
5113,Segunda,Noite,54.3,Básico
5114,Terça,Manhã,77.4,Básico
5115,Quinta,Manhã,52.6,Premium
5116,Segunda,Tarde,92.4,Básico
5117,Quarta,Manhã,95.4,Básico
5118,Sábado,Tarde,66.3,Premium
5119,Quarta,Manhã,70.6,Básico
5120,Segunda,Tarde,48.8,Plus
5121,Segunda,Noite,53.1,Plus
5122,Sábado,Manhã,61.6,Plus
5123,Sexta,Manhã,77.3,Plus
5124,Sábado,Noite,32.0,Básico
5125,Terça,Manhã,62.7,Básico
5126,Terça,Noite,57.2,Plus
5127,Terça,Noite,60.1,Básico
5128,Quinta,Manhã,60.2,Premium
5129,Quinta,Noite,66.7,Básico
5130,Sexta,Tarde,55.3,Básico
5131,Terça,Manhã,73.4,Básico
5132,Quarta,Manhã,61.4,Premium
5133,Terça,Manhã,69.0,Básico
5134,Sexta,Manhã,49.9,Básico
5135,Quinta,Noite,41.5,
5136,Quinta,Manhã,62.5,Plus
5137,Segunda,Tarde,76.3,Básico
5138,Segunda,Manhã,76.4,Básico
5139,Terça,Manhã,91.1,Premium
5140,Terça,Tarde,80.2,Básico
5141,Quinta,Manhã,60.5,Básico
5142,Terça,Manhã,94.2,Plus
5143,Segunda,Tarde,83.3,Básico
5144,Terça,Tarde,56.5,Plus
5145,Sábado,Noite,54.6,Premium
5146,Segunda,Noite,74.1,Plus
5147,Sábado,Noite,50.9,Básico
5148,Quinta,Manhã,52.1,Básico
5149,Terça,Manhã,57.9,Básico
5150,Quarta,Manhã,32.7,Plus
5151,Terça,Tarde,89.9,Básico
5152,Quarta,Manhã,60.8,Básico
5153,Sexta,Tarde,82.3,Premium
5154,Sexta,Manhã,79.8,Básico
5155,Terça,Manhã,62.1,Básico
5156,Sexta,Noite,34.9,Básico
5157,Quinta,Tarde,58.7,Básico
5158,Quarta,Manhã,69.4,Básico
5159,Quarta,Tarde,70.9,Básico
5160,Sexta,Manhã,37.2,Básico
5161,Quarta,Manhã,62.7,Básico
5162,Quinta,Noite,89.5,Básico
5163,Sexta,Manhã,49.1,Básico
5164,Quinta,Tarde,92.5,Básico
5165,Quarta,Manhã,84.4,Plus
5166,Segunda,Noite,55.8,Básico
5167,Quarta,Manhã,49.8,Plus
5168,Segunda,Manhã,57.6,Básico
5169,Segunda,Tarde,98.3,Básico
5170,Segunda,Manhã,77.5,Plus
5171,Quarta,Manhã,80.7,Básico
5172,Terça,Manhã,58.3,
5173,Segunda,Tarde,35.8,Plus
5174,Segunda,Manhã,49.9,Plus
5175,Sexta,Tarde,56.7,Plus
5176,Segunda,Manhã,81.5,Básico
5177,Quarta,Noite,64.8,Plus
5178,Terça,Noite,68.6,Básico
5179,Segunda,Manhã,52.5,Básico
5180,Terça,Tarde,44.8,Básico
5181,Terça,Manhã,48.2,Premium
5182,Quarta,Tarde,61.1,Plus
5183,Sexta,Tarde,73.8,Básico
5184,Sexta,Tarde,80.1,Plus
5185,Terça,Manhã,59.8,Premium
5186,Quinta,Tarde,51.8,Premium
5187,Segunda,Manhã,66.9,
5188,Quarta,Noite,43.5,Básico
5189,Sexta,Tarde,61.4,Plus
5190,Sábado,Noite,61.2,Básico
5191,Quinta,Noite,69.2,Básico
5192,Terça,Tarde,43.3,Premium
5193,Segunda,Noite,72.5,Plus
5194,Quarta,Noite,44.2,Premium
5195,Sexta,Manhã,84.3,Básico
5196,Segunda,Manhã,58.1,Básico
5197,Quinta,Manhã,61.9,Premium
5198,Quarta,Manhã,70.7,Básico
5199,Segunda,Manhã,76.8,Plus
5200,Quarta,Tarde,65.0,Básico
5201,Sexta,Tarde,71.1,Básico
5202,Terça,Tarde,51.3,Plus
5203,Sexta,Noite,72.8,Plus
5204,Sexta,Manhã,73.7,Plus
5205,Segunda,Tarde,61.9,Premium
5206,Sexta,Manhã,49.3,Básico
5207,Segunda,Manhã,69.6,Premium
5208,Segunda,Manhã,51.5,
5209,Quinta,Noite,98.6,Plus
5210,Sexta,Manhã,57.0,
5211,Quarta,Tarde,93.8,Básico
5212,Segunda,Manhã,59.9,Básico
5213,Sábado,Manhã,57.7,Básico
5214,Sábado,Manhã,56.7,Básico
5215,Terça,Manhã,74.7,Premium
5216,Quarta,Manhã,43.9,Básico
5217,Terça,Manhã,82.1,Plus
5218,Quinta,Noite,81.3,Premium
5219,Terça,Manhã,37.5,Básico
5220,Segunda,Manhã,66.8,Básico
5221,Quinta,Noite,,Básico
5222,Quarta,Manhã,91.1,Básico
5223,Quarta,Noite,47.4,Plus
5224,Segunda,Noite,40.8,Básico
5225,Quinta,Tarde,76.5,Plus
5226,Sexta,Manhã,75.1,Premium
5227,Sábado,Manhã,53.5,Plus
5228,Sexta,Noite,92.9,Básico
5229,Sexta,Tarde,43.0,Plus
5230,Sábado,Noite,,Básico
5231,Terça,Manhã,41.2,Básico
5232,Quarta,Noite,68.5,Básico
5233,Terça,Noite,81.7,Básico
5234,Sexta,Manhã,70.1,Básico
5235,Sexta,Manhã,44.8,Plus
5236,Quarta,Tarde,53.9,Premium
5237,Sábado,Tarde,64.2,Básico
5238,Terça,Noite,,Plus
5239,Sexta,Tarde,,Premium
5240,Quinta,Tarde,58.5,Básico
5241,Sexta,Manhã,77.6,Básico
5242,Segunda,Noite,56.3,Plus
5243,Segunda,Noite,72.0,Básico
5244,Quarta,Tarde,66.2,Básico
5245,Sábado,Manhã,58.5,Plus
5246,Terça,Noite,64.0,Básico
5247,Quinta,Manhã,,Premium
5248,Sexta,Tarde,67.3,Plus
5249,Sábado,Manhã,86.8,Plus
5250,Quarta,Manhã,76.7,Plus
5251,Sábado,Noite,51.3,Plus
5252,Quinta,Noite,68.0,Premium
5253,Segunda,Manhã,44.8,Premium
5254,Sexta,Manhã,59.0,Plus
5255,Quarta,Manhã,48.9,Básico
5256,Segunda,Tarde,91.3,Premium
5257,Sexta,Tarde,,Plus
5258,Segunda,Tarde,,Básico
5259,Sábado,Manhã,67.9,Básico
5260,Sexta,Manhã,38.8,Plus
5261,Quinta,Tarde,54.8,Premium
5262,Sexta,Manhã,65.9,Plus
5263,Quarta,Manhã,49.3,Premium
5264,Quinta,Manhã,51.7,Plus
5265,Sexta,Manhã,50.1,Plus
5266,Segunda,Manhã,60.8,Plus
5267,Sábado,Manhã,59.6,Plus
5268,Sexta,Tarde,74.5,
5269,Terça,Manhã,66.3,Básico
5270,Segunda,Noite,80.5,Básico
5271,Quinta,Manhã,,Plus
5272,Segunda,Tarde,64.7,Premium
5273,Terça,Noite,68.6,Básico
5274,Sexta,Noite,58.5,Plus
5275,Segunda,Tarde,43.4,Plus
5276,Sábado,Manhã,43.9,Plus
5277,Segunda,Noite,71.7,
5278,Segunda,Manhã,80.1,Premium
5279,Quinta,Noite,77.5,Premium
5280,Segunda,Noite,58.6,Plus
5281,Sexta,Tarde,74.1,Plus
5282,Segunda,Noite,46.7,Plus
5283,Quinta,Manhã,,Plus
5284,Sexta,Manhã,87.1,Premium
5285,Segunda,Tarde,75.6,Básico
5286,Segunda,Tarde,98.9,Premium
5287,Quarta,Manhã,85.5,Básico
5288,Segunda,Noite,63.3,Plus
5289,Terça,Tarde,52.2,Básico
5290,Terça,Manhã,52.9,Plus
5291,Quinta,Tarde,31.6,Básico
5292,Terça,Noite,77.2,Básico
5293,Segunda,Tarde,93.1,Básico
5294,Sábado,Manhã,37.0,Básico
5295,Quinta,Tarde,38.8,Premium
5296,Sexta,Manhã,75.9,
5297,Segunda,Tarde,56.4,Plus
5298,Quinta,Tarde,63.8,Básico
5299,Segunda,Manhã,72.1,Básico
5300,Segunda,Manhã,57.2,Básico
5301,Terça,Noite,44.5,Plus
5302,Quarta,Noite,66.5,Básico
5303,Sábado,Noite,51.8,Plus
5304,Sábado,Tarde,50.1,Premium
5305,Quarta,Noite,63.5,Básico
5306,Terça,Manhã,100.7,Básico
5307,Sexta,Manhã,68.9,Básico
5308,Quinta,Manhã,30.2,Premium
5309,Segunda,Manhã,35.1,Premium
5310,Quarta,Manhã,57.7,Premium
5311,Quarta,Noite,82.9,
5312,Quinta,Manhã,85.8,Básico
5313,Quarta,Tarde,45.5,Plus
5314,Quarta,Tarde,71.3,Básico
5315,Quinta,Noite,32.2,Plus
5316,Segunda,Tarde,91.0,Básico
5317,Segunda,Manhã,57.8,Plus
5318,Segunda,Manhã,83.0,Básico
5319,Quarta,Manhã,71.5,Plus
5320,Quarta,Manhã,61.3,Básico
5321,Segunda,Manhã,53.7,Plus
5322,Segunda,Tarde,,Básico
5323,Quinta,Manhã,75.7,Básico
5324,Sexta,Noite,49.0,Plus
5325,Quarta,Tarde,56.5,Básico
5326,Quarta,Noite,41.8,Básico
5327,Terça,Tarde,74.4,Básico
5328,Quarta,Manhã,58.5,Básico
5329,Segunda,Manhã,63.2,Básico
5330,Quarta,Manhã,63.6,Premium
5331,Quinta,Manhã,78.3,Premium
5332,Sexta,Manhã,60.0,Básico
5333,Quarta,Noite,62.1,Básico
5334,Quarta,Noite,52.8,Básico
5335,Quinta,Manhã,81.9,Básico
5336,Quinta,Tarde,72.3,Básico
5337,Sexta,Noite,71.2,Básico
5338,Segunda,Noite,75.8,Plus
5339,Sábado,Tarde,89.6,Básico
5340,Segunda,Noite,52.8,Básico
5341,Quinta,Tarde,55.8,
5342,Sábado,Tarde,,Plus
5343,Quinta,Noite,70.4,Básico
5344,Segunda,Tarde,67.6,Plus
5345,Segunda,Tarde,49.8,Plus
5346,Quinta,Noite,68.3,Plus
5347,Quarta,Manhã,69.8,
5348,Sexta,Tarde,95.0,Plus
5349,Terça,Tarde,58.3,Plus
5350,Quinta,Tarde,99.9,Premium
5351,Quinta,Tarde,43.7,Básico
5352,Quinta,Manhã,88.7,Premium
5353,Quarta,Tarde,78.4,
5354,Terça,Noite,52.9,Premium
5355,Quarta,Tarde,34.8,Premium
5356,Sábado,Manhã,73.1,Premium
5357,Quarta,Manhã,74.1,Plus
5358,Segunda,Manhã,57.9,Básico
5359,Quarta,Noite,68.9,Básico
5360,Sábado,Noite,79.2,Básico
5361,Quarta,Manhã,49.7,Básico
5362,Quarta,Manhã,76.3,Básico
5363,Quinta,Manhã,63.2,Básico
5364,Quinta,Manhã,68.0,Básico
5365,Terça,Manhã,77.1,Plus
5366,Sábado,Noite,84.1,Básico
5367,Quarta,Manhã,64.9,Básico
5368,Segunda,Manhã,64.8,Básico
5369,Terça,Tarde,68.5,Plus
5370,Sábado,Noite,50.9,Básico
5371,Quarta,Manhã,93.2,Básico
5372,Sexta,Manhã,70.3,Básico
5373,Terça,Tarde,67.5,Básico
5374,Terça,Tarde,60.9,Básico
5375,Segunda,Manhã,92.9,Premium
5376,Quarta,Noite,62.7,Básico
5377,Segunda,Tarde,56.3,Plus
5378,Quarta,Manhã,61.5,Plus
5379,Segunda,Manhã,66.5,Plus
5380,Quarta,Noite,62.4,Plus
5381,Sexta,Manhã,71.9,Básico
5382,Quarta,Noite,82.4,Básico
5383,Segunda,Manhã,101.9,Básico
5384,Sexta,Manhã,68.3,Plus
5385,Sexta,Manhã,70.1,Premium
5386,Quarta,Manhã,85.5,Plus
5387,Terça,Tarde,48.0,Básico
5388,Terça,Manhã,57.8,Básico
5389,Sexta,Manhã,49.9,Plus
5390,Terça,Tarde,66.4,Plus
5391,Sexta,Tarde,,Básico
5392,Segunda,Manhã,47.4,Básico
5393,Terça,Manhã,61.0,Premium
5394,Sábado,Noite,90.4,Plus
5395,Sábado,Manhã,56.8,Plus
5396,Segunda,Noite,96.7,Plus
5397,Terça,Tarde,65.0,Premium
5398,Segunda,Tarde,40.2,Plus
5399,Terça,Noite,69.0,Básico
5400,Terça,Tarde,44.3,Básico
5401,Quinta,Noite,85.8,
5402,Terça,Noite,90.9,Básico
5403,Quinta,Noite,62.1,Premium
5404,Terça,Noite,54.5,Básico
5405,Terça,Manhã,77.2,Básico
5406,Quarta,Noite,99.9,Premium
5407,Segunda,Tarde,66.9,Premium
5408,Quarta,Manhã,54.2,Básico
5409,Sexta,Tarde,33.5,Premium
5410,Quarta,Manhã,68.7,Premium
5411,Segunda,Noite,,Premium
5412,Sábado,Manhã,46.8,Premium
5413,Terça,Noite,60.6,Básico
5414,Quarta,Noite,46.8,Plus
5415,Quinta,Manhã,85.4,
5416,Quinta,Noite,81.8,Básico
5417,Quinta,Noite,49.9,Básico
5418,Segunda,Noite,75.8,Premium
5419,Terça,Tarde,48.1,Básico
5420,Segunda,Tarde,71.5,Básico
5421,Terça,Noite,85.4,Premium
5422,Quinta,Tarde,73.5,Básico
5423,Terça,Tarde,22.7,Básico
5424,Quarta,Noite,57.1,Básico
5425,Quinta,Manhã,73.7,Básico
5426,Quarta,Tarde,59.3,Premium
5427,Quinta,Noite,47.5,Premium
5428,Segunda,Tarde,63.5,Básico
5429,Segunda,Tarde,75.3,Básico
5430,Terça,Manhã,63.3,Premium
5431,Segunda,Tarde,55.5,Plus
5432,Quarta,Noite,54.2,Básico
5433,Terça,Noite,49.9,Básico
5434,Sexta,Manhã,62.3,Básico
5435,Terça,Noite,63.1,Plus
5436,Quarta,Tarde,70.5,Básico
5437,Sábado,Tarde,52.8,Premium
5438,Quarta,Noite,60.1,Básico
5439,Segunda,Manhã,60.8,Básico
5440,Quarta,Tarde,89.7,Básico
5441,Quarta,Noite,63.9,Plus
5442,Segunda,Noite,81.1,Plus
5443,Sexta,Noite,63.8,Básico
5444,Quarta,Tarde,45.1,Básico
5445,Terça,Noite,69.1,Premium
5446,Quarta,Manhã,78.8,Plus
5447,Sábado,Noite,71.8,Plus
5448,Quarta,Tarde,64.6,Premium
5449,Terça,Noite,55.5,Básico
5450,Terça,Tarde,84.0,Plus
5451,Quinta,Noite,83.1,Plus
5452,Sábado,Tarde,83.1,Básico
5453,Terça,Tarde,77.3,Básico
5454,Quinta,Manhã,97.1,Básico
5455,Sexta,Manhã,66.0,Plus
5456,Segunda,Tarde,68.5,Básico
5457,Segunda,Noite,65.5,Plus
5458,Segunda,Tarde,73.0,Premium
5459,Segunda,Tarde,35.7,Premium
5460,Quarta,Manhã,67.4,Básico
5461,Terça,Noite,73.1,Plus
5462,Quinta,Tarde,49.8,Básico
5463,Sábado,Manhã,84.8,Plus
5464,Terça,Tarde,81.5,Básico
5465,Quinta,Noite,59.9,Básico
5466,Segunda,Tarde,44.9,Básico
5467,Quinta,Tarde,72.4,Básico
5468,Terça,Tarde,62.6,Premium
5469,Terça,Manhã,41.4,Premium
5470,Terça,Noite,69.8,Básico
5471,Quarta,Manhã,73.7,Básico
5472,Quarta,Manhã,51.1,Básico
5473,Sábado,Tarde,41.7,Básico
5474,Segunda,Tarde,76.5,Básico
5475,Quarta,Tarde,67.7,Premium
5476,Terça,Tarde,45.1,Plus
5477,Terça,Noite,71.1,Básico
5478,Sexta,Noite,57.4,Premium
5479,Segunda,Manhã,93.6,Plus
5480,Sexta,Noite,77.7,Plus
5481,Segunda,Noite,53.3,Plus
5482,Sexta,Noite,60.5,Básico
5483,Quarta,Tarde,64.4,Plus
5484,Terça,Manhã,69.7,Plus
5485,Terça,Noite,53.7,Plus
5486,Quarta,Manhã,50.0,Plus
5487,Quarta,Noite,64.5,Plus
5488,Sábado,Manhã,53.3,Básico
5489,Quarta,Tarde,84.1,Básico
5490,Terça,Noite,81.2,Premium
5491,Sábado,Manhã,78.7,Básico
5492,Terça,Tarde,47.2,Básico
5493,Terça,Manhã,,Premium
5494,Terça,Manhã,56.0,Básico
5495,Segunda,Manhã,52.1,Premium
5496,Quarta,Noite,48.9,Básico
5497,Quinta,Noite,67.3,Plus
5498,Terça,Manhã,44.8,Básico
5499,Sexta,Noite,61.1,Plus
5500,Segunda,Tarde,93.8,Plus
