ID_Produto,Medicamento,Categoria,Estoque_Unidades,Preço_Unitário,Vencimento
MED0189,Azitromicina,Anti-inflamatório,247,6.76,2024-09-20
MED0190,Dipirona,Anti-inflamatório,118,18.86,2025-07-23
MED0191,Azitromicina,Antialérgico,469,37.73,2026-12-25
MED0192,Omeprazol,Antialérgico,456,38.91,2026-08-16
MED0193,Simeticona,Antialérgico,253,9.49,2025-05-27
MED0194,Cetoconazol,Antialérgico,268,5.84,2025-06-20
MED0195,Dipirona,Antifúngico,428,10.55,2024-12-28
MED0196,Dipirona,Gastrintestinal,230,29.11,2026-12-02
MED0197,Dipirona,Antialérgico,147,13.74,2025-10-23
MED0198,Cetoconazol,Antibiótico,370,14.63,2026-12-29
MED0199,Ibuprofeno,Analgésico,6,8.8,2026-01-28
MED0200,Loratadina,Antibiótico,238,12.91,2026-08-16
