Residencia,Mês,Consumo_kWh,Bandeira_Tarifária,Valor_Pago
Residencia_1,2024-01,373.9,Vermelha,320.29
Residencia_29,2024-01,365.2,Amarela,401.74
Residencia_32,2024-11,376.2,Vermelha,380.59
Residencia_8,2024-02,345.4,Verde,324.85
Residencia_46,2024-11,373.7,Vermelha,399.87
Residencia_44,2024-11,348.5,Amarela,679.93
Residencia_40,2024-11,276.5,Verde,159.0
Residencia_39,2024-03,394.7,Amarela,303.65
Residencia_15,2024-06,377.8,Verde,191.73
Residencia_27,2024-09,292.8,Amarela,452.52
Residencia_34,2024-12,356.0,Vermelha,200.96
Residencia_22,2024-07,361.9,Vermelha,673.45
Residencia_1,2024-02,354.9,Amarela,625.96
Residencia_36,2024-06,287.8,Vermelha,630.51
Residencia_19,2024-06,426.0,Vermelha,386.95
Residencia_26,2024-04,314.9,Vermelha,162.52
Residencia_7,2024-09,290.3,Verde,444.47
Residencia_49,2024-07,272.7,Verde,190.93
Residencia_36,2024-12,264.2,Amarela,199.14
Residencia_5,2024-03,304.4,Amarela,612.67
Residencia_17,2024-11,342.0,Amarela,420.83
Residencia_50,2024-05,418.3,Vermelha,418.08
Residencia_4,2024-07,417.0,Verde,635.6
Residencia_27,2024-01,330.7,Vermelha,694.26
Residencia_26,2024-02,290.7,Amarela,461.97
Residencia_49,2024-07,359.8,Amarela,520.86
Residencia_40,2024-03,376.6,Vermelha,151.71
Residencia_22,2024-03,360.6,Amarela,192.54
Residencia_28,2024-08,471.0,Verde,249.82
Residencia_39,2024-03,496.5,Amarela,223.09
Residencia_50,2024-10,328.3,Amarela,355.17
Residencia_34,2024-03,284.5,Vermelha,406.85
Residencia_50,2024-02,401.5,Vermelha,589.57
Residencia_44,2024-12,392.4,Verde,324.98
Residencia_36,2024-06,320.4,Amarela,412.16
Residencia_41,2024-10,502.8,Amarela,328.62
Residencia_32,2024-11,436.9,Verde,170.68
Residencia_16,2024-04,454.8,Verde,581.64
Residencia_17,2024-06,363.2,Vermelha,552.01
Residencia_20,2024-04,361.6,Verde,162.86
Residencia_47,2024-12,371.5,Verde,331.59
Residencia_23,2024-03,437.7,Verde,782.62
Residencia_41,2024-03,301.0,Amarela,463.95
Residencia_17,2024-04,250.5,Verde,315.47
Residencia_18,2024-07,423.1,Vermelha,535.34
Residencia_18,2024-01,320.0,Amarela,188.18
Residencia_29,2024-08,310.5,Amarela,330.53
Residencia_2,2024-09,236.9,Verde,696.48
Residencia_36,2024-08,226.6,Verde,286.95
Residencia_11,2024-05,360.1,Verde,614.79
Residencia_15,2024-11,270.2,Amarela,285.37
Residencia_48,2024-10,292.4,Amarela,610.9
Residencia_8,2024-01,357.4,Verde,505.7
Residencia_25,2024-07,369.9,Vermelha,710.14
Residencia_26,2024-05,334.1,Amarela,775.54
Residencia_20,2024-06,305.1,Amarela,190.84
Residencia_14,2024-12,405.5,Amarela,236.03
Residencia_11,2024-06,430.9,Amarela,654.43
Residencia_11,2024-09,414.6,Amarela,777.3
Residencia_20,2024-03,336.7,Verde,171.26
Residencia_12,2024-03,388.9,Amarela,458.72
Residencia_7,2024-06,372.0,Verde,582.67
Residencia_3,2024-09,208.3,Vermelha,433.16
Residencia_42,2024-01,372.4,Verde,284.01
Residencia_14,2024-07,382.5,Vermelha,602.59
Residencia_48,2024-10,401.7,Verde,465.72
Residencia_9,2024-08,349.8,Verde,678.68
Residencia_14,2024-10,383.1,Amarela,489.63
Residencia_6,2024-12,434.4,Vermelha,314.73
Residencia_38,2024-07,296.9,Verde,635.86
Residencia_20,2024-04,350.3,Vermelha,633.03
Residencia_43,2024-03,358.0,Verde,589.02
Residencia_35,2024-08,318.2,Amarela,680.48
Residencia_3,2024-01,431.0,Vermelha,597.03
Residencia_41,2024-07,507.8,Amarela,291.87
Residencia_19,2024-08,257.9,Amarela,525.67
Residencia_48,2024-09,282.8,Vermelha,489.04
Residencia_14,2024-10,380.0,Amarela,722.98
Residencia_7,2024-11,306.5,Vermelha,340.47
Residencia_20,2024-01,534.8,Verde,327.62
Residencia_1,2024-03,365.0,Verde,683.06
Residencia_9,2024-09,421.0,Amarela,448.46
Residencia_41,2024-11,475.5,Amarela,665.16
Residencia_50,2024-03,193.4,Amarela,450.61
Residencia_27,2024-06,348.5,Amarela,453.01
Residencia_41,2024-07,499.2,Vermelha,487.67
Residencia_24,2024-07,368.7,Vermelha,410.68
Residencia_43,2024-11,484.6,Amarela,779.73
Residencia_40,2024-02,327.0,Vermelha,305.34
Residencia_4,2024-04,321.8,Vermelha,460.84
Residencia_42,2024-02,354.3,Vermelha,189.67
Residencia_44,2024-10,388.4,Verde,501.7
Residencia_31,2024-11,377.5,Vermelha,546.72
Residencia_25,2024-05,253.5,Verde,164.73
Residencia_32,2024-10,388.3,Amarela,351.0
Residencia_34,2024-09,341.7,Amarela,243.73
Residencia_32,2024-09,344.9,Verde,161.45
Residencia_46,2024-10,255.8,Vermelha,588.03
Residencia_11,2024-04,381.3,Amarela,280.89
Residencia_21,2024-10,282.2,Vermelha,527.56
Residencia_43,2024-06,490.5,Amarela,684.62
Residencia_8,2024-11,262.8,Verde,764.55
Residencia_24,2024-10,355.2,Verde,264.13
Residencia_41,2024-01,372.5,Amarela,753.12
Residencia_41,2024-03,409.6,Verde,560.25
Residencia_40,2024-03,469.3,Vermelha,728.29
Residencia_26,2024-03,339.5,Amarela,689.56
Residencia_17,2024-06,522.0,Vermelha,676.34
Residencia_2,2024-06,358.5,Vermelha,634.73
Residencia_31,2024-11,351.2,Amarela,206.04
Residencia_28,2024-04,417.6,Amarela,787.24
Residencia_14,2024-02,241.9,Vermelha,778.46
Residencia_21,2024-07,393.1,Vermelha,436.35
Residencia_21,2024-11,336.5,Verde,209.68
Residencia_34,2024-10,333.0,Amarela,187.61
Residencia_21,2024-02,341.4,Vermelha,703.65
Residencia_13,2024-10,292.0,Vermelha,346.44
Residencia_45,2024-04,410.3,Vermelha,161.78
Residencia_17,2024-03,439.4,Amarela,487.29
Residencia_7,2024-06,359.0,Verde,794.85
Residencia_46,2024-12,500.8,Vermelha,404.66
Residencia_5,2024-01,317.8,Vermelha,165.28
Residencia_41,2024-05,358.2,Vermelha,250.81
Residencia_50,2024-07,360.6,Amarela,642.95
Residencia_44,2024-08,357.9,Amarela,568.35
Residencia_14,2024-02,277.8,Vermelha,241.25
Residencia_29,2024-09,446.5,Vermelha,551.93
Residencia_26,2024-09,544.3,Amarela,654.51
Residencia_26,2024-10,400.6,Vermelha,696.94
Residencia_47,2024-05,231.1,Amarela,526.9
Residencia_3,2024-08,403.3,Verde,363.77
Residencia_39,2024-11,448.5,Verde,708.3
Residencia_31,2024-07,362.0,Verde,548.3
Residencia_21,2024-11,383.3,Verde,479.77
Residencia_5,2024-04,355.9,Verde,247.2
Residencia_28,2024-08,375.8,Verde,502.28
Residencia_44,2024-08,291.2,Amarela,671.74
Residencia_25,2024-05,342.7,Amarela,216.0
Residencia_31,2024-01,322.5,Vermelha,198.61
Residencia_50,2024-09,345.0,Vermelha,673.59
Residencia_31,2024-04,346.4,Verde,712.58
Residencia_23,2024-08,252.6,Amarela,171.7
Residencia_31,2024-06,260.9,Amarela,342.78
Residencia_9,2024-10,259.7,Amarela,786.26
Residencia_3,2024-02,368.9,Vermelha,562.49
Residencia_21,2024-08,481.3,Amarela,260.04
Residencia_15,2024-05,386.7,Vermelha,316.36
Residencia_5,2024-09,258.0,Verde,605.67
Residencia_6,2024-11,330.1,Vermelha,663.84
Residencia_50,2024-07,275.2,Vermelha,261.07
Residencia_22,2024-10,443.0,Verde,485.33
Residencia_32,2024-04,245.6,Vermelha,702.22
Residencia_11,2024-09,303.0,Vermelha,317.95
Residencia_2,2024-12,471.8,Amarela,415.91
Residencia_26,2024-05,419.1,Amarela,348.04
Residencia_28,2024-09,381.1,Vermelha,386.7
Residencia_11,2024-11,281.8,Vermelha,329.58
Residencia_26,2024-01,426.3,Amarela,627.01
Residencia_34,2024-03,206.0,Vermelha,404.22
Residencia_18,2024-12,306.6,Verde,391.13
Residencia_42,2024-10,333.2,Vermelha,168.02
Residencia_12,2024-11,355.8,Vermelha,695.6
Residencia_21,2024-10,280.7,Verde,706.61
Residencia_49,2024-01,340.7,Amarela,430.81
Residencia_15,2024-02,424.1,Vermelha,172.11
Residencia_5,2024-04,181.2,Verde,187.28
Residencia_29,2024-09,313.2,Amarela,351.08
