id_cliente,departamento,forma_envio,tempo_entrega_dias,avaliacao,reembolso
15923,Eletrônicos,Econômica,4.8,4.0,Não
19192,Eletrônicos,Expressa,4.4,5.0,Não
19878,Livros,Econômica,6.8,5.0,Não
19849,Beleza,Econômica,6.4,4.0,Não
11086,Moda,Normal,6.5,4.0,Não
16759,Esporte,Econômica,5.7,2.0,Não
17102,Alimentos,Normal,,2.0,Não
10383,Moda,Normal,1.7,2.0,Não
13722,Eletrônicos,Normal,13.0,4.0,Não
12488,Eletrônicos,Expressa,3.4,4.0,Não
19781,Moda,Expressa,11.2,2.0,Não
18117,Beleza,Expressa,4.1,5.0,Não
12395,Livros,Normal,5.4,4.0,Não
10374,Esporte,Normal,10.4,5.0,Não
16933,Livros,Normal,8.5,1.0,Não
15225,Moda,Expressa,1.1,2.0,Não
19060,Eletrônicos,Normal,4.5,3.0,Não
13312,Eletrônicos,Expressa,3.1,5.0,Não
17958,Esporte,Expressa,9.8,1.0,Não
12487,Moda,Expressa,7.3,4.0,Não
13091,Alimentos,Econômica,7.0,,Não
19792,Livros,Normal,3.6,5.0,Não
16288,Esporte,Econômica,8.5,5.0,Não
15498,Moda,Normal,3.2,4.0,Não
10906,Alimentos,Normal,8.9,5.0,Sim
11261,Moda,Normal,4.4,4.0,Não
15563,Livros,Econômica,8.3,4.0,Não
19674,Eletrônicos,Normal,9.1,5.0,Sim
13894,Eletrônicos,Normal,8.1,3.0,Não
15094,Alimentos,Normal,1.1,2.0,Não
18481,Alimentos,Econômica,10.8,1.0,Sim
11613,Livros,Normal,9.6,4.0,Não
17747,Moda,Normal,7.9,5.0,Sim
14354,Alimentos,Expressa,7.2,4.0,Não
19440,Beleza,Expressa,6.0,2.0,Não
14990,Moda,Expressa,11.6,4.0,Não
13940,Alimentos,Normal,9.8,2.0,Não
11723,Livros,Normal,11.3,5.0,Não
10779,Eletrônicos,Econômica,5.1,,Não
13579,Livros,Normal,6.0,4.0,Não
16599,Livros,Normal,8.3,4.0,Não
17537,Eletrônicos,Expressa,7.6,,Não
17028,Beleza,Normal,12.6,5.0,Não
13803,Esporte,Normal,8.2,2.0,Não
19234,Eletrônicos,Econômica,8.9,5.0,Não
10077,Moda,Econômica,8.8,4.0,Não
15638,Beleza,Normal,6.4,5.0,Sim
10801,Livros,Normal,11.9,4.0,Não
16781,Beleza,Expressa,1.7,3.0,Não
17990,Eletrônicos,Econômica,7.8,3.0,Não
11354,Alimentos,Expressa,6.5,4.0,Não
16248,Livros,Econômica,10.5,4.0,Não
12759,Livros,Normal,11.8,4.0,Não
14432,Livros,Expressa,10.2,3.0,Não
17798,Moda,Expressa,7.4,4.0,Não
18599,Moda,Econômica,8.2,4.0,Não
18146,Beleza,Econômica,9.7,4.0,Sim
19641,Beleza,Econômica,8.0,5.0,Não
14765,Livros,Expressa,4.9,1.0,Não
12181,Beleza,Expressa,,1.0,Não
13398,Eletrônicos,Normal,11.3,4.0,Não
10381,Moda,Normal,0.8,5.0,Não
10182,Moda,Expressa,10.5,3.0,Não
15657,Beleza,Normal,6.0,4.0,Sim
16133,Esporte,Econômica,9.7,5.0,Não
18505,Livros,Econômica,6.3,4.0,Não
11511,Beleza,Econômica,8.4,4.0,Não
12212,Moda,Econômica,3.6,3.0,Não
10337,Livros,Econômica,7.1,5.0,Não
17719,Alimentos,Econômica,7.6,4.0,Não
10780,Eletrônicos,Econômica,6.2,,Não
14925,Beleza,Normal,7.6,3.0,Não
17678,Esporte,Expressa,,5.0,Não
18960,Alimentos,Normal,8.3,5.0,Não
12002,Eletrônicos,Normal,10.1,4.0,Não
17124,Eletrônicos,Expressa,3.5,5.0,Não
11480,Livros,Expressa,10.7,5.0,Não
16812,Livros,Econômica,11.2,2.0,Não
19551,Beleza,Econômica,4.2,3.0,Não
19404,Livros,Normal,5.4,3.0,Não
18588,Livros,Expressa,8.0,4.0,Não
10843,Beleza,Normal,6.4,5.0,Não
16347,Esporte,Expressa,4.4,2.0,Não
12107,Eletrônicos,Normal,7.1,4.0,Não
16020,Esporte,Expressa,4.6,5.0,Não
13290,Alimentos,Normal,0.7,5.0,Não
10827,Alimentos,Normal,7.7,3.0,Não
19323,Eletrônicos,Normal,5.3,3.0,Sim
11512,Moda,Econômica,6.8,4.0,Não
17914,Livros,Econômica,6.7,4.0,Não
18088,Moda,Expressa,3.1,2.0,Não
13041,Esporte,Normal,13.2,4.0,Sim
18829,Livros,Expressa,3.7,5.0,Sim
13687,Moda,Expressa,6.2,4.0,Sim
18504,Eletrônicos,Econômica,10.7,5.0,Não
11465,Livros,Normal,12.7,4.0,Não
10119,Livros,Normal,4.1,5.0,Não
17112,Livros,Expressa,8.7,3.0,Não
14523,Moda,Normal,4.2,5.0,Sim
18186,Moda,Econômica,6.4,5.0,Sim
12001,Eletrônicos,Econômica,10.5,3.0,Não
17560,Moda,Econômica,3.6,,Não
19730,Alimentos,Normal,6.1,5.0,Não
18605,Esporte,Econômica,8.4,5.0,Não
15652,Beleza,Normal,9.7,2.0,Não
15910,Moda,Econômica,6.1,4.0,Não
10246,Eletrônicos,Econômica,9.2,4.0,Não
14031,Eletrônicos,Econômica,5.5,4.0,Não
10849,Moda,Econômica,,5.0,Não
13645,Esporte,Expressa,8.7,1.0,Não
11560,Livros,Econômica,12.1,3.0,Não
15895,Esporte,Expressa,6.2,5.0,Sim
11977,Livros,Econômica,5.5,4.0,Não
14183,Livros,Expressa,11.1,5.0,Não
14519,Beleza,Econômica,10.3,4.0,Não
15499,Alimentos,Normal,9.7,5.0,Não
12165,Esporte,Expressa,9.8,3.0,Não
15382,Eletrônicos,Expressa,2.9,2.0,Não
11302,Beleza,Expressa,6.0,3.0,Não
18625,Beleza,Expressa,8.8,5.0,Sim
19662,Eletrônicos,Normal,5.5,1.0,Não
14647,Beleza,Expressa,4.7,3.0,Não
19207,Moda,Expressa,8.8,5.0,Não
15903,Esporte,Normal,4.6,4.0,Sim
18406,Livros,Normal,10.2,3.0,Não
10281,Esporte,Expressa,4.0,5.0,Não
16369,Livros,Normal,12.4,3.0,Não
13558,Eletrônicos,Normal,3.1,4.0,Não
10556,Livros,Econômica,6.0,4.0,Não
16367,Eletrônicos,Normal,11.4,5.0,Não
19004,Moda,Normal,5.2,3.0,Não
16041,Livros,Econômica,6.2,4.0,Sim
15114,Eletrônicos,Normal,4.6,5.0,Sim
17931,Beleza,Expressa,9.4,5.0,Não
18291,Beleza,Econômica,8.0,3.0,Não
13179,Beleza,Econômica,8.2,3.0,Não
16440,Livros,Econômica,,2.0,Sim
17803,Alimentos,Normal,7.5,5.0,Não
16271,Livros,Expressa,5.9,5.0,Não
10017,Eletrônicos,Normal,8.2,4.0,Não
10425,Livros,Normal,4.2,5.0,Não
11886,Eletrônicos,Expressa,12.7,5.0,Não
19160,Esporte,Expressa,5.1,4.0,Não
15420,Moda,Econômica,10.1,3.0,Sim
12947,Esporte,Normal,8.9,4.0,Não
15396,Alimentos,Expressa,13.7,,Não
11324,Alimentos,Normal,3.4,3.0,Não
12974,Alimentos,Econômica,7.6,5.0,Não
12148,Beleza,Expressa,5.9,3.0,Não
12971,Eletrônicos,Normal,4.8,2.0,Não
16325,Eletrônicos,Econômica,1.1,5.0,Não
15319,Beleza,Econômica,2.0,4.0,Não
10898,Eletrônicos,Normal,10.0,4.0,Não
17157,Alimentos,Econômica,3.7,3.0,Não
14653,Eletrônicos,Expressa,2.3,4.0,Sim
11597,Eletrônicos,Econômica,5.6,4.0,Não
16857,Eletrônicos,Econômica,9.0,4.0,Não
13863,Esporte,Expressa,9.6,2.0,Não
17423,Eletrônicos,Econômica,9.2,4.0,Não
15865,Alimentos,Normal,5.0,3.0,Não
12804,Livros,Expressa,6.8,4.0,Não
13174,Beleza,Econômica,6.4,3.0,Sim
12621,Beleza,Expressa,6.5,5.0,Sim
12791,Moda,Econômica,9.0,5.0,Não
13751,Esporte,Normal,3.9,4.0,Não
13692,Beleza,Expressa,14.0,5.0,Não
17210,Esporte,Econômica,4.3,5.0,Não
18142,Eletrônicos,Normal,3.8,4.0,Não
19775,Livros,Expressa,4.4,2.0,Sim
16335,Esporte,Expressa,6.3,4.0,Sim
16808,Beleza,Econômica,5.2,3.0,Não
13204,Livros,Expressa,,4.0,Não
11828,Moda,Expressa,10.0,5.0,Sim
16794,Beleza,Normal,0.8,5.0,Não
17343,Moda,Expressa,7.2,4.0,Não
14820,Moda,Normal,7.8,3.0,Não
13325,Alimentos,Econômica,4.1,3.0,Não
14449,Alimentos,Expressa,4.8,4.0,Não
13323,Livros,Expressa,8.4,4.0,Sim
11131,Beleza,Normal,8.4,3.0,Não
17120,Eletrônicos,Expressa,10.0,2.0,Não
16678,Beleza,Econômica,8.9,4.0,Não
14781,Esporte,Normal,3.9,4.0,Não
15667,Alimentos,Expressa,3.3,4.0,Não
16567,Moda,Econômica,4.1,3.0,Não
18368,Esporte,Normal,2.2,4.0,Não
19240,Moda,Econômica,7.9,4.0,Sim
17757,Esporte,Econômica,6.4,3.0,Sim
18940,Livros,Expressa,5.5,2.0,Não
17078,Alimentos,Expressa,4.3,4.0,Não
11502,Eletrônicos,Normal,,4.0,Não
15272,Eletrônicos,Econômica,5.9,5.0,Não
14305,Alimentos,Normal,3.4,3.0,Não
15990,Beleza,Econômica,6.9,5.0,Não
18714,Moda,Expressa,6.9,5.0,Não
16232,Beleza,Expressa,9.4,,Não
17525,Eletrônicos,Normal,11.4,4.0,Sim
17697,Livros,Econômica,11.4,3.0,Não
10836,Eletrônicos,Normal,10.2,4.0,Não
16035,Beleza,Normal,11.0,4.0,Não
12373,Moda,Econômica,7.1,5.0,Sim
18033,Eletrônicos,Normal,4.5,4.0,Não
19146,Alimentos,Normal,6.1,4.0,Não
19667,Eletrônicos,Expressa,6.4,4.0,Não
15254,Eletrônicos,Normal,0.7,3.0,Não
10510,Alimentos,Expressa,14.8,1.0,Não
12320,Alimentos,Normal,,4.0,Sim
16704,Beleza,Expressa,10.2,3.0,Não
12799,Alimentos,Econômica,12.1,3.0,Não
16974,Alimentos,Expressa,2.4,5.0,Não
16216,Moda,Expressa,2.5,5.0,Não
12724,Esporte,Expressa,-1.4,1.0,Não
14622,Alimentos,Econômica,5.9,3.0,Não
17771,Esporte,Normal,3.3,1.0,Não
15864,Alimentos,Expressa,7.5,3.0,Não
13844,Alimentos,Expressa,9.3,5.0,Não
17809,Moda,Econômica,8.0,4.0,Não
10862,Moda,Normal,3.2,4.0,Não
18934,Moda,Econômica,7.9,4.0,Não
14103,Livros,Normal,11.0,5.0,Não
13617,Alimentos,Econômica,4.6,4.0,Não
10729,Esporte,Normal,5.7,3.0,Sim
19786,Eletrônicos,Expressa,7.8,2.0,Não
15430,Livros,Expressa,10.2,1.0,Não
10309,Moda,Normal,8.2,2.0,Sim
12363,Alimentos,Expressa,11.8,3.0,Não
13891,Alimentos,Normal,10.2,5.0,Não
12929,Alimentos,Expressa,3.7,5.0,Não
14087,Moda,Econômica,4.8,4.0,Não
12326,Eletrônicos,Expressa,5.0,1.0,Não
19335,Livros,Normal,9.2,4.0,Sim
10216,Eletrônicos,Normal,4.4,4.0,Sim
11935,Esporte,Normal,4.1,2.0,Não
16401,Alimentos,Econômica,3.7,5.0,Não
16372,Moda,Normal,6.7,2.0,Não
17577,Alimentos,Expressa,11.7,3.0,Não
13474,Alimentos,Expressa,4.9,2.0,Não
12746,Alimentos,Econômica,7.3,4.0,Não
12024,Alimentos,Normal,14.2,2.0,Não
15280,Esporte,Econômica,9.7,4.0,Sim
13872,Esporte,Normal,3.1,3.0,Não
13464,Esporte,Econômica,11.3,4.0,Não
17590,Beleza,Econômica,1.1,3.0,Não
11355,Esporte,Normal,3.1,4.0,Não
10307,Moda,Normal,1.3,3.0,Não
16937,Esporte,Expressa,8.8,5.0,Não
10514,Eletrônicos,Normal,5.1,5.0,Não
15802,Livros,Econômica,1.7,3.0,Sim
19061,Eletrônicos,Normal,5.0,4.0,Sim
15657,Moda,Econômica,9.8,4.0,Não
11851,Esporte,Econômica,10.7,3.0,Não
11114,Esporte,Econômica,7.4,4.0,Não
17367,Beleza,Expressa,8.8,5.0,Não
18802,Beleza,Econômica,-2.1,3.0,Não
18277,Moda,Expressa,10.4,5.0,Não
12524,Esporte,Expressa,12.4,5.0,Não
12124,Beleza,Expressa,6.3,5.0,Sim
13238,Esporte,Econômica,3.8,4.0,Não
14432,Beleza,Expressa,2.9,5.0,Sim
14541,Esporte,Normal,8.8,5.0,Não
10797,Esporte,Normal,8.4,4.0,Sim
13490,Eletrônicos,Normal,7.9,4.0,Não
13567,Moda,Econômica,2.8,1.0,Não
16936,Moda,Econômica,4.8,3.0,Não
11224,Moda,Econômica,3.4,3.0,Não
10528,Beleza,Econômica,4.6,4.0,Não
11215,Esporte,Normal,13.3,4.0,Não
12639,Eletrônicos,Normal,,3.0,Não
16770,Moda,Normal,10.4,4.0,Não
17946,Moda,Econômica,7.6,4.0,Não
15547,Livros,Normal,2.7,3.0,Não
17240,Moda,Normal,4.1,5.0,Não
10739,Esporte,Econômica,6.7,5.0,Sim
17152,Eletrônicos,Normal,2.5,4.0,Não
15842,Livros,Normal,7.2,4.0,Não
11059,Eletrônicos,Econômica,3.5,4.0,Não
12494,Moda,Econômica,11.6,5.0,Sim
12839,Eletrônicos,Normal,9.3,4.0,Não
18848,Esporte,Normal,5.0,4.0,Não
11799,Moda,Expressa,4.5,3.0,Sim
16745,Alimentos,Econômica,9.0,5.0,Não
15219,Alimentos,Expressa,3.0,5.0,Não
19652,Eletrônicos,Expressa,5.2,2.0,Não
13887,Livros,Expressa,2.9,4.0,Sim
14306,Eletrônicos,Econômica,5.9,2.0,Não
16696,Livros,Expressa,5.3,2.0,Não
11719,Eletrônicos,Normal,,4.0,Sim
10258,Moda,Normal,10.6,4.0,Não
17161,Alimentos,Econômica,9.1,4.0,Não
17156,Eletrônicos,Normal,8.1,4.0,Sim
13678,Alimentos,Expressa,6.4,3.0,Não
18134,Alimentos,Expressa,1.0,4.0,Não
19587,Alimentos,Normal,7.1,4.0,Não
18467,Esporte,Expressa,6.3,4.0,Não
16768,Beleza,Expressa,2.8,4.0,Não
11667,Esporte,Expressa,5.8,5.0,Sim
18273,Esporte,Econômica,4.7,4.0,Não
14128,Beleza,Expressa,9.1,4.0,Não
11117,Esporte,Expressa,10.1,5.0,Não
10822,Moda,Expressa,5.4,4.0,Não
17709,Eletrônicos,Expressa,4.9,5.0,Não
17756,Beleza,Expressa,8.6,4.0,Sim
13669,Moda,Normal,9.8,4.0,Não
14300,Moda,Normal,6.4,4.0,Não
17886,Alimentos,Normal,7.1,5.0,Não
18455,Esporte,Expressa,10.2,5.0,Não
18608,Alimentos,Normal,5.2,2.0,Não
14385,Esporte,Econômica,7.1,4.0,Sim
16406,Eletrônicos,Normal,2.6,5.0,Não
17973,Livros,Econômica,5.7,2.0,Não
18425,Livros,Normal,,2.0,Não
17497,Alimentos,Econômica,7.6,2.0,Sim
18807,Esporte,Expressa,5.7,1.0,Sim
10384,Alimentos,Econômica,4.0,3.0,Não
10960,Beleza,Normal,3.0,4.0,Não
11050,Beleza,Expressa,9.3,5.0,Sim
14067,Beleza,Normal,8.3,2.0,Não
15613,Livros,Expressa,10.3,4.0,Não
12096,Livros,Expressa,4.6,5.0,Não
17885,Alimentos,Econômica,6.0,4.0,Não
10400,Esporte,Econômica,8.6,4.0,Não
10421,Alimentos,Econômica,6.9,2.0,Não
17288,Livros,Normal,11.9,4.0,Não
14267,Esporte,Econômica,8.6,2.0,Sim
12320,Alimentos,Econômica,8.4,2.0,Não
14935,Livros,Econômica,9.0,3.0,Não
11830,Moda,Econômica,7.6,,Sim
14812,Alimentos,Expressa,8.2,4.0,Não
19333,Esporte,Normal,-3.7,4.0,Não
13030,Alimentos,Normal,4.8,3.0,Não
15125,Esporte,Econômica,5.3,2.0,Sim
10233,Esporte,Normal,3.9,4.0,Não
17261,Eletrônicos,Normal,4.5,5.0,Não
16351,Livros,Normal,8.2,3.0,Não
15687,Alimentos,Normal,5.2,,Não
15403,Moda,Expressa,7.7,4.0,Não
14869,Esporte,Expressa,6.1,4.0,Não
16706,Alimentos,Expressa,12.7,1.0,Não
15527,Livros,Normal,4.2,2.0,Não
14782,Alimentos,Econômica,8.4,4.0,Não
17669,Esporte,Expressa,5.8,2.0,Não
18919,Eletrônicos,Econômica,9.2,5.0,Não
14736,Beleza,Econômica,11.1,2.0,Não
16890,Alimentos,Econômica,2.9,4.0,Não
11721,Livros,Normal,7.1,1.0,Não
12792,Moda,Expressa,9.0,,Não
11373,Beleza,Expressa,5.6,4.0,Não
19468,Beleza,Expressa,3.9,4.0,Não
18108,Livros,Normal,13.4,4.0,Sim
19051,Esporte,Expressa,15.1,4.0,Não
13392,Beleza,Expressa,6.6,4.0,Não
18670,Esporte,Expressa,7.5,4.0,Não
18343,Beleza,Expressa,8.2,4.0,Não
15836,Esporte,Normal,9.3,4.0,Não
16990,Alimentos,Expressa,7.4,5.0,Sim
13453,Livros,Econômica,6.1,3.0,Não
19885,Moda,Econômica,13.2,1.0,Não
14069,Livros,Normal,5.1,2.0,Sim
14321,Alimentos,Normal,7.3,3.0,Não
10734,Livros,Expressa,8.8,2.0,Não
12387,Beleza,Normal,-0.9,5.0,Sim
17548,Beleza,Econômica,10.9,4.0,Não
19875,Beleza,Econômica,8.5,4.0,Não
18974,Beleza,Econômica,6.6,4.0,Não
13736,Beleza,Normal,11.4,4.0,Não
17651,Alimentos,Econômica,4.1,4.0,Não
13335,Moda,Expressa,9.4,3.0,Não
15553,Livros,Expressa,6.1,4.0,Não
12604,Beleza,Expressa,10.0,1.0,Não
13330,Eletrônicos,Econômica,8.7,4.0,Não
11699,Moda,Expressa,3.7,4.0,Sim
18706,Beleza,Normal,2.7,5.0,Sim
15404,Beleza,Normal,,4.0,Não
14353,Esporte,Econômica,7.2,4.0,Sim
11832,Moda,Normal,0.5,3.0,Não
19107,Eletrônicos,Expressa,6.1,3.0,Não
14794,Livros,Expressa,7.3,4.0,Não
13054,Moda,Expressa,7.4,1.0,Não
15939,Esporte,Econômica,3.6,3.0,Não
