id_funcionario,idade,setor,anos_empresa,satisfacao,salario_mensal,home_office,demitido
43,31,RH,0.6,3.2,4399,Não,0
44,50,TI,1.8,2.0,5172,Não,0
45,49,TI,7.9,3.6,10329,Sim,0
46,44,TI,0.5,2.3,10459,Não,0
47,43,Financeiro,3.2,1.9,11542,Sim,0
48,43,Operações,0.6,4.0,10366,Não,0
49,42,TI,4.6,4.7,4406,Não,0
50,27,Financeiro,1.7,1.7,7802,Sim,0
51,30,Marketing,3.0,1.7,9873,Sim,0
52,48,RH,5.0,1.5,3147,Não,0
53,46,Operações,0.1,4.1,9877,Sim,0
54,51,RH,4.1,3.6,2661,Sim,0
55,26,TI,4.8,1.2,7640,Sim,0
56,49,RH,8.1,2.4,7380,Não,0
57,58,Financeiro,4.3,2.3,11562,Sim,0
58,36,RH,0.8,1.6,8451,Não,0
59,40,RH,6.0,3.4,7851,Não,0
60,42,TI,6.4,1.0,6907,Sim,0
61,27,RH,1.1,4.4,9659,Sim,0
62,47,Financeiro,9.0,1.3,6407,Sim,0
63,30,RH,12.3,2.6,10182,Não,0
64,52,Financeiro,7.7,4.7,8839,Sim,1
65,30,Marketing,4.3,4.3,9680,Não,1
66,44,Financeiro,1.1,1.9,3293,Sim,0
67,36,Financeiro,5.1,4.9,7058,Não,1
68,53,Marketing,3.0,2.1,7193,Não,0
69,46,TI,1.6,2.6,9300,Não,0
70,48,Operações,2.7,1.0,2937,Não,0
71,50,Operações,3.4,3.1,5121,Sim,0
72,33,Operações,1.2,1.9,3142,Não,0
73,34,Financeiro,1.5,4.6,7944,Não,0
74,49,TI,6.6,2.4,4232,Não,0
75,35,Financeiro,4.7,4.6,6248,Sim,0
76,30,Operações,4.2,4.4,8315,Não,0
77,43,Marketing,2.4,3.9,2239,Não,0
78,48,Operações,9.9,4.3,3253,Sim,0
79,55,Financeiro,6.7,2.8,7348,Sim,0
80,46,Financeiro,5.2,4.2,5675,Não,0
81,23,Operações,8.6,3.5,5632,Sim,0
82,57,RH,2.4,3.9,10360,Não,1
83,47,RH,4.1,1.9,9362,Sim,0
84,54,TI,0.4,1.2,2074,Sim,0
85,27,TI,6.1,2.5,10873,Sim,1
86,36,Operações,6.1,1.1,9744,Sim,1
87,43,RH,2.8,2.5,4917,Não,0
88,59,Financeiro,16.3,4.2,4948,Sim,0
89,44,Marketing,4.2,4.9,11715,Sim,0
90,22,TI,1.3,3.0,5738,Não,0
91,50,Financeiro,16.5,4.6,5085,Sim,0
92,25,RH,1.8,1.1,5706,Não,0
93,32,RH,2.9,1.7,8454,Não,0
94,56,TI,5.6,1.6,11699,Não,0
95,48,TI,7.6,4.0,7201,Não,0
96,22,Marketing,0.3,4.5,11316,Não,0
97,58,RH,7.9,2.3,9899,Não,0
98,21,Financeiro,5.2,3.5,10621,Não,0
99,55,TI,0.1,4.5,3813,Sim,0
100,35,RH,3.3,2.9,9243,Não,0
101,45,Marketing,2.6,2.8,11135,Sim,1
102,28,Marketing,11.7,2.2,11302,Não,0
103,36,Financeiro,1.2,3.1,7120,Sim,1
104,41,TI,1.4,3.7,9761,Não,0
105,45,Operações,2.0,4.7,8785,Não,1
106,45,RH,4.8,2.5,9620,Sim,0
107,42,RH,6.0,1.5,3168,Sim,0
108,34,Financeiro,4.9,2.0,2585,Sim,0
109,29,Operações,3.9,3.3,8000,Sim,1
110,49,RH,9.3,3.9,4679,Não,0
111,27,TI,3.3,3.7,3679,Não,1
112,35,RH,2.0,4.9,11432,Sim,0
113,41,RH,1.4,1.7,10011,Não,0
114,37,Operações,2.4,4.7,8221,Sim,0
115,54,Marketing,6.9,2.9,8436,Sim,0
116,57,Marketing,3.5,1.9,6577,Não,0
117,54,Marketing,4.3,2.6,2792,Não,0
118,55,RH,2.5,2.9,2803,Sim,0
119,45,Operações,0.3,3.8,5264,Não,0
120,46,TI,2.5,1.5,8787,Não,0
121,42,Financeiro,3.2,2.7,10361,Sim,0
122,50,RH,3.9,5.0,3234,Sim,0
123,32,RH,17.1,1.4,3541,Sim,1
124,59,TI,1.5,4.5,11414,Sim,1
125,39,TI,9.0,4.7,5939,Não,0
126,27,Financeiro,7.6,3.7,9943,Sim,0
127,55,RH,0.2,1.1,2742,Não,0
128,47,Financeiro,0.4,1.3,9888,Sim,0
129,36,TI,0.6,3.2,5003,Sim,0
130,55,TI,10.7,1.8,11327,Sim,0
131,48,Operações,7.7,3.2,7104,Não,1
132,33,Operações,3.0,2.1,9745,Sim,0
133,51,Marketing,13.2,1.3,8627,Não,0
134,43,RH,10.9,2.1,10909,Sim,0
135,43,TI,2.0,4.1,6549,Não,0
136,27,Financeiro,1.6,4.4,5581,Não,0
137,50,TI,8.1,4.3,11449,Sim,0
138,40,Financeiro,9.5,4.3,4572,Não,0
139,57,Financeiro,0.6,3.8,4214,Sim,0
140,55,RH,1.7,3.2,6023,Não,1
141,40,Marketing,4.7,1.4,6619,Sim,0
142,28,RH,2.8,4.4,10960,Sim,1
143,53,TI,0.0,1.9,11976,Não,0
144,56,RH,5.8,1.6,6048,Sim,0
145,28,TI,7.5,4.2,10819,Sim,0
146,58,Financeiro,13.9,3.7,8769,Não,0
147,24,Marketing,2.6,3.6,4857,Sim,0
148,54,RH,2.5,1.5,7697,Não,0
149,59,TI,2.3,4.6,6193,Não,0
150,55,TI,2.0,3.3,6500,Não,0
151,31,TI,4.0,4.7,7006,Sim,0
152,31,TI,5.6,3.5,4648,Sim,1
153,53,Financeiro,5.4,2.4,10162,Não,0
154,59,TI,0.2,4.1,9692,Não,0
155,56,RH,19.3,2.4,8180,Sim,0
156,24,Marketing,4.3,3.9,6432,Não,1
157,39,TI,2.7,3.2,4041,Sim,1
158,33,TI,4.5,1.9,10161,Não,0
159,48,Operações,1.0,3.5,5051,Sim,0
160,33,Financeiro,2.2,4.8,5043,Sim,1
161,31,Financeiro,3.7,3.0,10202,Não,0
162,30,TI,5.0,2.0,6899,Sim,0
163,40,Financeiro,0.5,1.8,6997,Sim,1
164,54,Financeiro,6.4,2.5,11352,Sim,0
165,32,Marketing,2.0,4.7,9713,Não,1
166,48,Financeiro,0.4,4.4,4778,Não,0
167,59,TI,1.4,4.2,6520,Sim,0
168,49,Financeiro,0.6,4.0,9372,Não,1
169,55,Operações,3.6,4.8,8214,Não,1
170,51,Marketing,4.7,3.2,10136,Sim,1
171,51,Financeiro,2.7,2.5,3066,Não,0
172,25,TI,5.4,2.7,5414,Não,0
173,50,TI,0.7,1.2,7084,Sim,0
174,28,Marketing,1.5,3.8,8788,Sim,0
175,40,RH,7.7,1.3,5767,Não,1
176,25,Operações,2.1,1.6,7876,Sim,0
177,54,TI,1.8,4.9,3608,Não,1
178,38,Financeiro,12.3,1.5,10096,Não,0
179,46,TI,8.2,2.1,11575,Sim,1
180,45,Marketing,8.1,4.5,11577,Sim,0
181,43,Operações,3.7,5.0,7147,Sim,0
182,30,Marketing,7.4,3.7,11071,Sim,0
183,35,Marketing,7.6,2.0,8404,Sim,1
184,52,Operações,2.1,3.5,9091,Sim,0
185,45,TI,2.5,1.3,7339,Sim,1
186,37,TI,21.7,2.5,11830,Não,0
187,37,Operações,3.0,1.5,7216,Não,0
188,24,Marketing,3.8,3.5,11922,Sim,0
189,53,RH,3.9,4.8,4691,Não,0
190,39,TI,1.3,4.9,6709,Sim,0
191,44,Operações,2.4,4.2,10709,Não,0
192,56,Financeiro,6.1,1.4,11747,Sim,0
193,44,Marketing,9.4,4.4,5831,Sim,0
194,57,Marketing,3.3,2.0,5725,Sim,0
195,24,Operações,0.8,1.2,9752,Não,1
196,42,RH,2.2,1.1,10240,Não,1
197,44,RH,7.8,1.7,9647,Não,0
198,21,TI,0.1,4.8,10791,Não,0
199,42,Marketing,1.5,3.7,9704,Sim,0
200,25,Marketing,2.3,2.3,7352,Sim,0
201,56,RH,9.1,3.6,2268,Sim,0
202,26,RH,3.8,4.1,11075,Não,0
203,35,RH,0.7,1.1,11520,Não,0
204,57,Marketing,0.1,5.0,2908,Sim,0
205,47,Operações,2.9,2.1,6675,Não,0
206,38,Operações,0.0,4.7,9250,Sim,0
207,29,Financeiro,13.6,1.0,2986,Não,0
208,34,TI,0.6,3.7,6605,Não,0
209,21,Operações,11.7,2.5,10434,Sim,0
210,55,TI,1.7,1.8,7237,Não,0
211,49,RH,0.0,3.3,5686,Sim,1
212,37,Operações,4.3,4.5,4881,Sim,0
213,45,Operações,0.0,4.8,8169,Sim,0
214,48,Marketing,0.4,1.4,6447,Não,0
215,36,Operações,5.8,1.3,8350,Não,0
216,38,Marketing,0.4,2.7,4396,Não,0
217,33,Financeiro,6.3,3.1,2414,Não,0
218,21,Financeiro,0.7,4.1,2782,Sim,1
219,57,RH,0.8,2.8,8868,Não,0
220,24,Marketing,0.2,2.1,7199,Não,0
221,46,Financeiro,8.3,3.4,5553,Sim,0
222,23,Operações,3.2,4.5,5471,Sim,0
223,36,Financeiro,9.3,4.9,5003,Não,0
224,52,TI,6.7,1.8,3635,Sim,0
225,47,Financeiro,1.1,2.4,5576,Não,0
226,55,Marketing,0.9,3.9,10730,Sim,0
227,37,Operações,0.8,4.0,11880,Não,1
228,33,Financeiro,19.1,1.4,5474,Sim,0
229,45,TI,3.1,1.3,7130,Sim,0
230,51,Marketing,4.8,2.7,3950,Não,0
231,30,Operações,5.4,3.5,5207,Sim,0
232,47,Operações,0.2,3.4,8187,Sim,0
233,25,Marketing,4.0,4.7,8357,Não,0
234,22,TI,0.4,4.5,7881,Sim,0
235,45,Financeiro,4.0,4.4,10142,Sim,0
236,43,Operações,3.6,4.7,8641,Não,0
237,33,Operações,2.4,4.0,5869,Não,0
238,42,TI,1.2,4.9,4821,Sim,0
239,28,TI,1.0,3.7,6783,Não,0
240,57,Financeiro,0.5,1.8,11673,Não,1
241,59,Operações,4.4,2.8,6114,Sim,0
242,27,RH,0.9,5.0,6597,Sim,0
243,53,RH,3.5,2.2,7270,Sim,0
244,53,Operações,0.3,2.8,3270,Não,0
245,28,RH,5.8,1.6,7840,Sim,0
246,59,TI,2.0,2.7,11291,Não,0
247,56,TI,7.5,4.9,6661,Não,0
248,54,Financeiro,0.9,3.4,10210,Não,0
249,50,Marketing,15.7,3.9,2810,Sim,0
250,44,Financeiro,1.3,1.5,3684,Sim,0
